Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	42680326	42680326	chr1	42680248	42680497	HDAC2SC6296	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Hdac2sc6296V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr3	32333669	32333669	chr3	32333659	32333908	HDAC2SC6296	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Hdac2sc6296V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr6	170862335	170862335	chr6	170862260	170862509	HDAC2SC6296	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Hdac2sc6296V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr8	119356465	119356465	chr8	119356293	119356542	HDAC2SC6296	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Hdac2sc6296V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr9	115983539	115983539	chr9	115983423	115983672	HDAC2SC6296	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Hdac2sc6296V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr17	41046439	41046439	chr17	41046317	41046566	HDAC2SC6296	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Hdac2sc6296V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr17	56472118	56472118	chr17	56472028	56472277	HDAC2SC6296	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Hdac2sc6296V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr17	74519373	74519373	chr17	74519218	74519467	HDAC2SC6296	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Hdac2sc6296V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr19	4769739	4769739	chr19	4769591	4769808	HDAC2SC6296	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Hdac2sc6296V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr21	42694666	42694666	chr21	42694596	42694691	HDAC2SC6296	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Hdac2sc6296V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
