Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	29707411	29707411	chr1	29704315	29707438	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr1	31014505	31014505	chr1	31013552	31015718	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr1	39059002	39059002	chr1	39058683	39060755	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr1	41085925	41085925	chr1	41084476	41087268	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr1	42680326	42680326	chr1	42679368	42681305	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr1	42702343	42702343	chr1	42700264	42702854	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr1	42757156	42757156	chr1	42757077	42760401	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr1	62677047	62677047	chr1	62675215	62677430	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr1	89546802	89546802	chr1	89545853	89546954	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr1	97198330	97198330	chr1	97193559	97202672	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr1	167880084	167880084	chr1	167877224	167880538	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr1	172324929	172324929	chr1	172315117	172325028	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr1	219945685	219945685	chr1	219945267	219948247	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr1	219947899	219947899	chr1	219945267	219948247	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr1	224972013	224972013	chr1	224971967	224976611	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr1	227772395	227772395	chr1	227769869	227773257	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr1	227805185	227805185	chr1	227797795	227807383	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr1	227853620	227853620	chr1	227838506	227854589	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr1	227900137	227900137	chr1	227899406	227900785	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr1	246083888	246083888	chr1	246083549	246086037	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr2	46078462	46078462	chr2	46075637	46079727	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr2	129090108	129090108	chr2	129089080	129090211	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr2	150315376	150315376	chr2	150312730	150316171	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr2	179939492	179939492	chr2	179936743	179940690	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr3	17661931	17661931	chr3	17659957	17662269	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr3	17774943	17774943	chr3	17774265	17777711	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr3	122393828	122393828	chr3	122392304	122395658	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr4	15743390	15743390	chr4	15742179	15746046	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr4	16087855	16087855	chr4	16085129	16088165	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr4	54536698	54536698	chr4	54535469	54537590	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr4	54547405	54547405	chr4	54546093	54548816	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr4	170014785	170014785	chr4	170013313	170015738	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr4	170052645	170052645	chr4	170052606	170054460	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr5	33594777	33594777	chr5	33593225	33596399	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr5	70922615	70922615	chr5	70922027	70923811	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr5	110601041	110601041	chr5	110596745	110603251	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr6	33034595	33034595	chr6	33033803	33038417	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr6	164027543	164027543	chr6	164026375	164028671	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr6	170792766	170792766	chr6	170791298	170793144	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr7	32909181	32909181	chr7	32908871	32910587	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr7	76917429	76917429	chr7	76914745	76918696	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr8	978684	978684	chr8	978468	980058	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr8	1011479	1011479	chr8	1011353	1013212	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr8	38514744	38514744	chr8	38511546	38518690	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr8	128573297	128573297	chr8	128570667	128573768	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr9	124737686	124737686	chr9	124735973	124737726	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr10	4169039	4169039	chr10	4167822	4169565	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr10	5621627	5621627	chr10	5621377	5622193	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr10	5624368	5624368	chr10	5622310	5624912	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr10	6363556	6363556	chr10	6363414	6366374	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr10	6387991	6387991	chr10	6385815	6389061	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr10	17523141	17523141	chr10	17522442	17524797	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr10	63691907	63691907	chr10	63690489	63694288	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr10	97953285	97953285	chr10	97949803	97954141	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
chr11	36081143	36081143	chr11	36080830	36081743	H3K9ME3	GM12878	wgEncodeBroadHistoneGm12878H3k9me3StdAln.narrowPeak
