Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	42680326	42680326	chr1	42672632	42681943	H3K79ME2	K562	wgEncodeBroadHistoneK562H3k79me2StdAln.narrowPeak
chr1	42693596	42693596	chr1	42691177	42696639	H3K79ME2	K562	wgEncodeBroadHistoneK562H3k79me2StdAln.narrowPeak
chr1	42757156	42757156	chr1	42752966	42760258	H3K79ME2	K562	wgEncodeBroadHistoneK562H3k79me2StdAln.narrowPeak
chr1	97198330	97198330	chr1	97186422	97219193	H3K79ME2	K562	wgEncodeBroadHistoneK562H3k79me2StdAln.narrowPeak
chr1	111692439	111692439	chr1	111687810	111700794	H3K79ME2	K562	wgEncodeBroadHistoneK562H3k79me2StdAln.narrowPeak
chr1	113190806	113190806	chr1	113183832	113194509	H3K79ME2	K562	wgEncodeBroadHistoneK562H3k79me2StdAln.narrowPeak
chr1	113242121	113242121	chr1	113239992	113251099	H3K79ME2	K562	wgEncodeBroadHistoneK562H3k79me2StdAln.narrowPeak
chr1	113248364	113248364	chr1	113239992	113251099	H3K79ME2	K562	wgEncodeBroadHistoneK562H3k79me2StdAln.narrowPeak
chr1	167944642	167944642	chr1	167941232	167946224	H3K79ME2	K562	wgEncodeBroadHistoneK562H3k79me2StdAln.narrowPeak
chr1	184002331	184002331	chr1	183989352	184007506	H3K79ME2	K562	wgEncodeBroadHistoneK562H3k79me2StdAln.narrowPeak
chr1	230238820	230238820	chr1	230236270	230252109	H3K79ME2	K562	wgEncodeBroadHistoneK562H3k79me2StdAln.narrowPeak
chr1	246083888	246083888	chr1	246083584	246087592	H3K79ME2	K562	wgEncodeBroadHistoneK562H3k79me2StdAln.narrowPeak
chr2	102315056	102315056	chr2	102314532	102320152	H3K79ME2	K562	wgEncodeBroadHistoneK562H3k79me2StdAln.narrowPeak
chr2	128264245	128264245	chr2	128261323	128277869	H3K79ME2	K562	wgEncodeBroadHistoneK562H3k79me2StdAln.narrowPeak
chr2	153572155	153572155	chr2	153549267	153585467	H3K79ME2	K562	wgEncodeBroadHistoneK562H3k79me2StdAln.narrowPeak
chr2	177146274	177146274	chr2	177142984	177151406	H3K79ME2	K562	wgEncodeBroadHistoneK562H3k79me2StdAln.narrowPeak
chr2	177154147	177154147	chr2	177151455	177165160	H3K79ME2	K562	wgEncodeBroadHistoneK562H3k79me2StdAln.narrowPeak
chr2	177163077	177163077	chr2	177151455	177165160	H3K79ME2	K562	wgEncodeBroadHistoneK562H3k79me2StdAln.narrowPeak
chr2	225434444	225434444	chr2	225432376	225450163	H3K79ME2	K562	wgEncodeBroadHistoneK562H3k79me2StdAln.narrowPeak
chr3	17774943	17774943	chr3	17773716	17784031	H3K79ME2	K562	wgEncodeBroadHistoneK562H3k79me2StdAln.narrowPeak
chr3	44380487	44380487	chr3	44378586	44384453	H3K79ME2	K562	wgEncodeBroadHistoneK562H3k79me2StdAln.narrowPeak
