Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr19	12995238	12998702	CMYC_MCF7	12995669	12995878	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	CMYC_MCF7	12995669	12995878	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CMYC_MCF7	12995669	12995878	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CMYC_MCF7	12995669	12995878	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CMYC_MCF7	12995669	12995878	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CMYC_MCF7	12995681	12995890	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	CMYC_MCF7	12995681	12995890	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CMYC_MCF7	12995681	12995890	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CMYC_MCF7	12995681	12995890	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CMYC_MCF7	12995681	12995890	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CMYC_MCF7	12996106	12996315	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	CMYC_MCF7	12996106	12996315	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CMYC_MCF7	12996106	12996315	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CMYC_MCF7	12996106	12996315	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CMYC_MCF7	12996106	12996315	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CMYC_MCF7	12996131	12996260	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	CMYC_MCF7	12996131	12996260	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CMYC_MCF7	12996131	12996260	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CMYC_MCF7	12996131	12996260	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CMYC_MCF7	12996131	12996260	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
