Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr5	167913602	167913602	POL2_HEPG2	167913374	167913689	NM_015238	167909308	167999307	3D	WWC1	23286	hsa04390
chr5	167913602	167913602	POL2_HEPG2	167913374	167913689	NM_001161661	167909308	167999307	3D	WWC1	23286	hsa04390
chr5	167913602	167913602	POL2_HEPG2	167913374	167913689	NM_001161662	167909308	167999307	3D	WWC1	23286	hsa04390
chr5	167913602	167913602	POL2_HEPG2	167913381	167913652	NM_015238	167909308	167999307	3D	WWC1	23286	hsa04390
chr5	167913602	167913602	POL2_HEPG2	167913381	167913652	NM_001161661	167909308	167999307	3D	WWC1	23286	hsa04390
chr5	167913602	167913602	POL2_HEPG2	167913381	167913652	NM_001161662	167909308	167999307	3D	WWC1	23286	hsa04390
chr5	167913602	167913602	POL2_HEPG2	167913394	167913636	NM_015238	167909308	167999307	3D	WWC1	23286	hsa04390
chr5	167913602	167913602	POL2_HEPG2	167913394	167913636	NM_001161661	167909308	167999307	3D	WWC1	23286	hsa04390
chr5	167913602	167913602	POL2_HEPG2	167913394	167913636	NM_001161662	167909308	167999307	3D	WWC1	23286	hsa04390
chr5	167913602	167913602	POL2_HEPG2	167913401	167913636	NM_015238	167909308	167999307	3D	WWC1	23286	hsa04390
chr5	167913602	167913602	POL2_HEPG2	167913401	167913636	NM_001161661	167909308	167999307	3D	WWC1	23286	hsa04390
chr5	167913602	167913602	POL2_HEPG2	167913401	167913636	NM_001161662	167909308	167999307	3D	WWC1	23286	hsa04390
