Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727760	7727909	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr1	7727853	7727853	chr1	7727760	7727909	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr1	230686472	230686472	chr1	230686340	230686489	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr1	230686472	230686472	chr1	230686340	230686489	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr2	144282077	144282077	chr2	144281940	144282089	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063760	221063909	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063780	221063929	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr2	238224334	238224334	chr2	238224280	238224429	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr2	238235081	238235081	chr2	238234980	238235129	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462980	4463129	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462980	4463129	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352820	99352969	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352840	99352989	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr3	122388463	122388463	chr3	122388320	122388469	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr4	10589552	10589552	chr4	10589440	10589589	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr4	10589552	10589552	chr4	10589500	10589649	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr4	54465286	54465286	chr4	54465260	54465409	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr4	54465286	54465286	chr4	54465280	54465429	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941040	57941189	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941040	57941189	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr4	186909595	186909595	chr4	186909460	186909609	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr5	55422680	55422680	chr5	55422680	55422829	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767140	70767289	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767160	70767309	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr5	78041975	78041975	chr5	78041920	78042069	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr5	78041975	78041975	chr5	78041940	78042089	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr5	137822865	137822865	chr5	137822860	137823009	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr5	137822865	137822865	chr5	137822860	137823009	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr6	42190445	42190445	chr6	42190340	42190489	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84139980	84140129	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr7	120223083	120223083	chr7	120223060	120223209	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009300	130009449	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009300	130009449	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr8	18467518	18467518	chr8	18467380	18467529	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr8	69520201	69520201	chr8	69520060	69520209	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr8	69520201	69520201	chr8	69520060	69520209	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356380	119356529	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356380	119356529	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr10	80509969	80509969	chr10	80509820	80509969	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr10	80509969	80509969	chr10	80509820	80509969	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr10	111794553	111794553	chr10	111794420	111794569	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr10	111794553	111794553	chr10	111794460	111794609	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr11	12441630	12441630	chr11	12441520	12441669	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729800	128729949	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390580	49390729	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390620	49390769	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299180	58299329	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299200	58299349	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr12	95567464	95567464	chr12	95567360	95567509	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr12	124983615	124983615	chr12	124983500	124983649	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr12	124983615	124983615	chr12	124983540	124983689	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr13	30107284	30107284	chr13	30107160	30107309	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr13	30107284	30107284	chr13	30107180	30107329	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr13	45595546	45595546	chr13	45595480	45595629	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr13	45595546	45595546	chr13	45595480	45595629	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr14	34155697	34155697	chr14	34155620	34155769	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr14	34155697	34155697	chr14	34155620	34155769	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr14	43463395	43463395	chr14	43463300	43463449	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr14	43463395	43463395	chr14	43463320	43463469	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr14	52250689	52250689	chr14	52250580	52250729	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr14	52250689	52250689	chr14	52250580	52250729	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr14	59922319	59922319	chr14	59922220	59922369	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr14	59922319	59922319	chr14	59922260	59922409	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr14	60031995	60031995	chr14	60031900	60032049	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr15	90895957	90895957	chr15	90895900	90896049	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr15	90964890	90964890	chr15	90964860	90965009	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr17	959514	959514	chr17	959380	959529	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr17	13956666	13956666	chr17	13956660	13956809	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr17	15371905	15371905	chr17	15371800	15371949	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519260	74519409	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519280	74519429	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769600	4769749	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769600	4769749	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
chr21	27484967	27484967	chr21	27484820	27484969	NHLF	NHLF-DS12829.peaks.fdr0.01.hg19.bed
chrX	22643624	22643624	chrX	22643580	22643729	NHLF	NHLF-DS12834.peaks.fdr0.01.hg19.bed
