Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7726978	7728662	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr1	30645985	30645985	chr1	30643941	30647418	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr1	31170236	31170236	chr1	31169615	31171936	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr1	36789545	36789545	chr1	36789423	36791217	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr1	40426921	40426921	chr1	40424973	40427005	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr1	113056989	113056989	chr1	113056961	113060321	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr1	113242121	113242121	chr1	113240318	113247730	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr1	113248364	113248364	chr1	113247803	113249032	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr1	119837301	119837301	chr1	119835762	119838137	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr1	168062654	168062654	chr1	168060887	168063686	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr1	183188061	183188061	chr1	183186705	183188885	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr1	201088888	201088888	chr1	201088129	201092297	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr1	202075668	202075668	chr1	202074061	202080740	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr1	223960535	223960535	chr1	223958387	223961068	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr1	230238820	230238820	chr1	230236546	230243985	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr2	72024969	72024969	chr2	72019894	72025099	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr2	73329871	73329871	chr2	73328569	73330771	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr2	129124334	129124334	chr2	129124013	129130659	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr2	129124529	129124529	chr2	129124013	129130659	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr3	12038263	12038263	chr3	12036057	12038619	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr3	134634317	134634317	chr3	134632474	134634463	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr3	141668452	141668452	chr3	141667895	141668642	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr4	5400837	5400837	chr4	5399076	5402079	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr4	6888931	6888931	chr4	6887054	6890578	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr4	7395822	7395822	chr4	7392619	7397281	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr4	7529366	7529366	chr4	7528693	7536181	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr4	7530450	7530450	chr4	7528693	7536181	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr4	7737340	7737340	chr4	7735919	7737411	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr5	1477230	1477230	chr5	1476609	1477901	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr5	137419988	137419988	chr5	137418985	137420415	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr5	137802403	137802403	chr5	137801666	137802988	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr5	159694356	159694356	chr5	159693369	159694709	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr5	170173509	170173509	chr5	170173294	170175531	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr5	177842787	177842787	chr5	177841859	177843253	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr5	178750376	178750376	chr5	178749166	178750675	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr6	31107086	31107086	chr6	31106135	31107605	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
chr7	5530781	5530781	chr7	5530640	5532978	H3K4ME1	NT2D1	wgEncodeSydhHistoneNt2d1H3k4me1UcdAln.narrowPeak
