Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727720	7727869	AOAF	AoAF-DS13523.peaks.fdr0.01.hg19.bed
chr1	7727853	7727853	chr1	7727740	7727889	AOAF	AoAF-DS13513.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680320	42680469	AOAF	AoAF-DS13513.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680320	42680469	AOAF	AoAF-DS13523.peaks.fdr0.01.hg19.bed
chr1	95145452	95145452	chr1	95145400	95145549	AOAF	AoAF-DS13523.peaks.fdr0.01.hg19.bed
chr2	144282077	144282077	chr2	144281940	144282089	AOAF	AoAF-DS13513.peaks.fdr0.01.hg19.bed
chr2	158291538	158291538	chr2	158291440	158291589	AOAF	AoAF-DS13523.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063740	221063889	AOAF	AoAF-DS13523.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063760	221063909	AOAF	AoAF-DS13513.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462940	4463089	AOAF	AoAF-DS13523.peaks.fdr0.01.hg19.bed
chr4	54465286	54465286	chr4	54465260	54465409	AOAF	AoAF-DS13523.peaks.fdr0.01.hg19.bed
chr4	54465286	54465286	chr4	54465240	54465389	AOAF	AoAF-DS13513.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941040	57941189	AOAF	AoAF-DS13513.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941040	57941189	AOAF	AoAF-DS13523.peaks.fdr0.01.hg19.bed
chr4	170580817	170580817	chr4	170580720	170580869	AOAF	AoAF-DS13513.peaks.fdr0.01.hg19.bed
chr4	186909595	186909595	chr4	186909520	186909669	AOAF	AoAF-DS13513.peaks.fdr0.01.hg19.bed
chr4	186909595	186909595	chr4	186909520	186909669	AOAF	AoAF-DS13523.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767120	70767269	AOAF	AoAF-DS13523.peaks.fdr0.01.hg19.bed
chr5	137802403	137802403	chr5	137802280	137802429	AOAF	AoAF-DS13513.peaks.fdr0.01.hg19.bed
chr5	137822865	137822865	chr5	137822780	137822929	AOAF	AoAF-DS13523.peaks.fdr0.01.hg19.bed
chr5	137822865	137822865	chr5	137822800	137822949	AOAF	AoAF-DS13513.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84140000	84140149	AOAF	AoAF-DS13513.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84140000	84140149	AOAF	AoAF-DS13523.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009320	130009469	AOAF	AoAF-DS13523.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009340	130009489	AOAF	AoAF-DS13513.peaks.fdr0.01.hg19.bed
chr8	26437075	26437075	chr8	26436960	26437109	AOAF	AoAF-DS13513.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356400	119356549	AOAF	AoAF-DS13513.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356340	119356489	AOAF	AoAF-DS13523.peaks.fdr0.01.hg19.bed
chr9	14199421	14199421	chr9	14199300	14199449	AOAF	AoAF-DS13513.peaks.fdr0.01.hg19.bed
chr10	29402288	29402288	chr10	29402140	29402289	AOAF	AoAF-DS13513.peaks.fdr0.01.hg19.bed
chr10	111794553	111794553	chr10	111794440	111794589	AOAF	AoAF-DS13513.peaks.fdr0.01.hg19.bed
chr10	111794553	111794553	chr10	111794440	111794589	AOAF	AoAF-DS13523.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729800	128729949	AOAF	AoAF-DS13523.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390620	49390769	AOAF	AoAF-DS13523.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390640	49390789	AOAF	AoAF-DS13513.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299200	58299349	AOAF	AoAF-DS13513.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299220	58299369	AOAF	AoAF-DS13523.peaks.fdr0.01.hg19.bed
chr12	124983615	124983615	chr12	124983540	124983689	AOAF	AoAF-DS13523.peaks.fdr0.01.hg19.bed
chr12	124983615	124983615	chr12	124983540	124983689	AOAF	AoAF-DS13513.peaks.fdr0.01.hg19.bed
chr13	103374376	103374376	chr13	103374240	103374389	AOAF	AoAF-DS13523.peaks.fdr0.01.hg19.bed
chr13	103374376	103374376	chr13	103374340	103374489	AOAF	AoAF-DS13513.peaks.fdr0.01.hg19.bed
chr14	34155697	34155697	chr14	34155620	34155769	AOAF	AoAF-DS13523.peaks.fdr0.01.hg19.bed
chr14	34155697	34155697	chr14	34155640	34155789	AOAF	AoAF-DS13513.peaks.fdr0.01.hg19.bed
chr14	43463395	43463395	chr14	43463300	43463449	AOAF	AoAF-DS13523.peaks.fdr0.01.hg19.bed
chr14	43463395	43463395	chr14	43463300	43463449	AOAF	AoAF-DS13513.peaks.fdr0.01.hg19.bed
chr14	52250689	52250689	chr14	52250560	52250709	AOAF	AoAF-DS13513.peaks.fdr0.01.hg19.bed
chr14	52250689	52250689	chr14	52250640	52250789	AOAF	AoAF-DS13523.peaks.fdr0.01.hg19.bed
chr14	59922319	59922319	chr14	59922260	59922409	AOAF	AoAF-DS13513.peaks.fdr0.01.hg19.bed
chr14	59922319	59922319	chr14	59922260	59922409	AOAF	AoAF-DS13523.peaks.fdr0.01.hg19.bed
chr17	959514	959514	chr17	959400	959549	AOAF	AoAF-DS13513.peaks.fdr0.01.hg19.bed
chr17	42754776	42754776	chr17	42754640	42754789	AOAF	AoAF-DS13523.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519260	74519409	AOAF	AoAF-DS13513.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519300	74519449	AOAF	AoAF-DS13523.peaks.fdr0.01.hg19.bed
chr19	1847697	1847697	chr19	1847680	1847829	AOAF	AoAF-DS13523.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769600	4769749	AOAF	AoAF-DS13523.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769600	4769749	AOAF	AoAF-DS13513.peaks.fdr0.01.hg19.bed
chr20	48407126	48407126	chr20	48407040	48407189	AOAF	AoAF-DS13513.peaks.fdr0.01.hg19.bed
chr20	48407126	48407126	chr20	48407060	48407209	AOAF	AoAF-DS13523.peaks.fdr0.01.hg19.bed
