Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	36789545	36789545	chr1	36785719	36790226	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr1	113248364	113248364	chr1	113246547	113250843	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr1	183241261	183241261	chr1	183241069	183242957	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr2	46078462	46078462	chr2	46075880	46079648	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr2	102315056	102315056	chr2	102312733	102318526	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr2	128264245	128264245	chr2	128264134	128268010	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr2	144282077	144282077	chr2	144281036	144284059	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr2	153572155	153572155	chr2	153571249	153577325	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr2	225434444	225434444	chr2	225433952	225436063	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr2	238224334	238224334	chr2	238222693	238225919	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr3	44380487	44380487	chr3	44378814	44381932	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr4	55526919	55526919	chr4	55523596	55528718	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr4	88313178	88313178	chr4	88311383	88313312	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr4	170580817	170580817	chr4	170579465	170583440	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr5	137802403	137802403	chr5	137798740	137806454	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr5	137805651	137805651	chr5	137798740	137806454	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr5	167913602	167913602	chr5	167912675	167915162	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr6	6712344	6712344	chr6	6711989	6714233	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr6	16332729	16332729	chr6	16331444	16340280	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr6	26103176	26103176	chr6	26103054	26105156	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr6	52436647	52436647	chr6	52435564	52443411	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr6	84140037	84140037	chr6	84138982	84141613	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr6	136359445	136359445	chr6	136357553	136362354	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr6	160210060	160210060	chr6	160208396	160213640	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr6	170862335	170862335	chr6	170860464	170866346	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr7	130012956	130012956	chr7	130012081	130014460	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr8	26437075	26437075	chr8	26433050	26439125	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr8	119017884	119017884	chr8	119015257	119019267	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr9	115983539	115983539	chr9	115980855	115986675	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr9	122564128	122564128	chr9	122564115	122565644	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr10	13341377	13341377	chr10	13340711	13342847	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr10	71890629	71890629	chr10	71890347	71893507	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr10	114715688	114715688	chr10	114708643	114716855	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr11	8886259	8886259	chr11	8885034	8886552	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr11	35161075	35161075	chr11	35159342	35168916	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr11	47600437	47600437	chr11	47598557	47602357	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr11	118231583	118231583	chr11	118229492	118231718	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr12	6340387	6340387	chr12	6337062	6341900	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr12	124983615	124983615	chr12	124981097	124984066	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr13	30107284	30107284	chr13	30105321	30107514	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr13	111365588	111365588	chr13	111363541	111367920	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr15	90895957	90895957	chr15	90895017	90896239	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr16	637211	637211	chr16	636573	639966	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr16	15980246	15980246	chr16	15979941	15983334	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr16	57024661	57024661	chr16	57021926	57025341	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr16	57771125	57771125	chr16	57768396	57771912	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr16	70743024	70743024	chr16	70733623	70743109	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr17	48273154	48273154	chr17	48271056	48290527	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr17	73871466	73871466	chr17	73870804	73875344	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr17	78726260	78726260	chr17	78723810	78727256	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr19	1847697	1847697	chr19	1845891	1849185	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr19	2238666	2238666	chr19	2234012	2238897	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr19	49621963	49621963	chr19	49621209	49622503	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr19	53634926	53634926	chr19	53634705	53636832	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr22	18560569	18560569	chr22	18558939	18563083	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
chr22	38144617	38144617	chr22	38141180	38145125	H3K9AC	NHDFAD	wgEncodeBroadHistoneNhdfadH3k9acStdAln.narrowPeak
