Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727760	7727909	NHDF_NEO	NHDF_Neo-DS11923.peaks.fdr0.01.hg19.bed
chr1	7727853	7727853	chr1	7727760	7727909	NHDF_NEO	NHDF_Neo-DS11918.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063740	221063889	NHDF_NEO	NHDF_Neo-DS11923.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063740	221063889	NHDF_NEO	NHDF_Neo-DS11918.peaks.fdr0.01.hg19.bed
chr2	238224334	238224334	chr2	238224280	238224429	NHDF_NEO	NHDF_Neo-DS11918.peaks.fdr0.01.hg19.bed
chr2	238224334	238224334	chr2	238224300	238224449	NHDF_NEO	NHDF_Neo-DS11923.peaks.fdr0.01.hg19.bed
chr2	238235081	238235081	chr2	238235080	238235229	NHDF_NEO	NHDF_Neo-DS11918.peaks.fdr0.01.hg19.bed
chr3	52968725	52968725	chr3	52968720	52968869	NHDF_NEO	NHDF_Neo-DS11923.peaks.fdr0.01.hg19.bed
chr3	122388463	122388463	chr3	122388320	122388469	NHDF_NEO	NHDF_Neo-DS11923.peaks.fdr0.01.hg19.bed
chr3	122388463	122388463	chr3	122388320	122388469	NHDF_NEO	NHDF_Neo-DS11918.peaks.fdr0.01.hg19.bed
chr4	40196548	40196548	chr4	40196480	40196629	NHDF_NEO	NHDF_Neo-DS11918.peaks.fdr0.01.hg19.bed
chr4	55526919	55526919	chr4	55526820	55526969	NHDF_NEO	NHDF_Neo-DS11918.peaks.fdr0.01.hg19.bed
chr4	55526919	55526919	chr4	55526880	55527029	NHDF_NEO	NHDF_Neo-DS11923.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941020	57941169	NHDF_NEO	NHDF_Neo-DS11923.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941040	57941189	NHDF_NEO	NHDF_Neo-DS11918.peaks.fdr0.01.hg19.bed
chr4	148974601	148974601	chr4	148974520	148974669	NHDF_NEO	NHDF_Neo-DS11918.peaks.fdr0.01.hg19.bed
chr4	148974601	148974601	chr4	148974540	148974689	NHDF_NEO	NHDF_Neo-DS11923.peaks.fdr0.01.hg19.bed
