Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr3	4463007	4463007	CFOS_HUVEC	4462859	4463202	NM_001099952	4435031	4525030	5D	ITPR1	3708	hsa05205
chr3	4463007	4463007	CFOS_HUVEC	4462859	4463202	NM_002222	4435031	4525030	5D	ITPR1	3708	hsa05205
chr3	4463007	4463007	CFOS_HUVEC	4462859	4463202	NM_001168272	4435031	4525030	5D	ITPR1	3708	hsa05205
chr11	35109674	35109674	CFOS_HUVEC	35109362	35109705	NM_001202556	35060416	35150415	5D	CD44	960	hsa05205
chr11	35109674	35109674	CFOS_HUVEC	35109362	35109705	NM_001202555	35060416	35150415	5D	CD44	960	hsa05205
chr11	35109674	35109674	CFOS_HUVEC	35109362	35109705	NM_000610	35060416	35150415	5D	CD44	960	hsa05205
chr11	35109674	35109674	CFOS_HUVEC	35109362	35109705	NM_001202557	35060416	35150415	5D	CD44	960	hsa05205
chr11	35109674	35109674	CFOS_HUVEC	35109362	35109705	NM_001001390	35060416	35150415	5D	CD44	960	hsa05205
chr11	35109674	35109674	CFOS_HUVEC	35109362	35109705	NM_001001391	35060416	35150415	5D	CD44	960	hsa05205
chr11	35109674	35109674	CFOS_HUVEC	35109362	35109705	NM_001001389	35060416	35150415	5D	CD44	960	hsa05205
chr11	35109674	35109674	CFOS_HUVEC	35109362	35109705	NM_001001392	35060416	35150415	5D	CD44	960	hsa05205
chr15	90907875	90907875	CFOS_HUVEC	90907532	90907875	NM_003870	90831472	90921471	5D	IQGAP1	8826	hsa05205
