Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	42680326	42680326	chr1	42680314	42680567	FOXA1SC101058	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Foxa1sc101058Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr6	42190445	42190445	chr6	42190189	42190458	FOXA1SC101058	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Foxa1sc101058Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr8	119356465	119356465	chr8	119356257	119356533	FOXA1SC101058	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Foxa1sc101058Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr9	123791935	123791935	chr9	123791795	123792064	FOXA1SC101058	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Foxa1sc101058Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr16	1481019	1481019	chr16	1480842	1481093	FOXA1SC101058	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Foxa1sc101058Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr17	13956666	13956666	chr17	13956565	13956834	FOXA1SC101058	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Foxa1sc101058Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr17	41046439	41046439	chr17	41046256	41046467	FOXA1SC101058	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Foxa1sc101058Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr17	56472118	56472118	chr17	56472029	56472298	FOXA1SC101058	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Foxa1sc101058Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr19	4769739	4769739	chr19	4769533	4769802	FOXA1SC101058	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Foxa1sc101058Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr21	42694666	42694666	chr21	42694502	42694762	FOXA1SC101058	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Foxa1sc101058Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
