Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727720	7727869	HAEPIC	HAEpiC-DS12673.peaks.fdr0.01.hg19.bed
chr1	7727853	7727853	chr1	7727740	7727889	HAEPIC	HAEpiC-DS12663.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680320	42680469	HAEPIC	HAEpiC-DS12663.peaks.fdr0.01.hg19.bed
chr2	102315056	102315056	chr2	102314960	102315109	HAEPIC	HAEpiC-DS12663.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063780	221063929	HAEPIC	HAEpiC-DS12663.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063800	221063949	HAEPIC	HAEpiC-DS12673.peaks.fdr0.01.hg19.bed
chr2	230039816	230039816	chr2	230039680	230039829	HAEPIC	HAEpiC-DS12663.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462940	4463089	HAEPIC	HAEpiC-DS12673.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462960	4463109	HAEPIC	HAEpiC-DS12663.peaks.fdr0.01.hg19.bed
chr3	78650559	78650559	chr3	78650520	78650669	HAEPIC	HAEpiC-DS12673.peaks.fdr0.01.hg19.bed
chr3	78650559	78650559	chr3	78650500	78650649	HAEPIC	HAEpiC-DS12663.peaks.fdr0.01.hg19.bed
chr3	122388463	122388463	chr3	122388320	122388469	HAEPIC	HAEpiC-DS12673.peaks.fdr0.01.hg19.bed
chr3	122388463	122388463	chr3	122388320	122388469	HAEPIC	HAEpiC-DS12663.peaks.fdr0.01.hg19.bed
chr3	148466362	148466362	chr3	148466240	148466389	HAEPIC	HAEpiC-DS12663.peaks.fdr0.01.hg19.bed
chr3	172087897	172087897	chr3	172087760	172087909	HAEPIC	HAEpiC-DS12673.peaks.fdr0.01.hg19.bed
chr4	40196548	40196548	chr4	40196540	40196689	HAEPIC	HAEpiC-DS12663.peaks.fdr0.01.hg19.bed
chr4	40196548	40196548	chr4	40196540	40196689	HAEPIC	HAEpiC-DS12673.peaks.fdr0.01.hg19.bed
