Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727720	7727869	HMVEC_LBL	HMVEC_LBl-DS13372.peaks.fdr0.01.hg19.bed
chr2	102315056	102315056	chr2	102314960	102315109	HMVEC_LBL	HMVEC_LBl-DS13375.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462960	4463109	HMVEC_LBL	HMVEC_LBl-DS13372.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462980	4463129	HMVEC_LBL	HMVEC_LBl-DS13375.peaks.fdr0.01.hg19.bed
chr3	52968725	52968725	chr3	52968720	52968869	HMVEC_LBL	HMVEC_LBl-DS13372.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352820	99352969	HMVEC_LBL	HMVEC_LBl-DS13375.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352840	99352989	HMVEC_LBL	HMVEC_LBl-DS13372.peaks.fdr0.01.hg19.bed
chr4	40196548	40196548	chr4	40196520	40196669	HMVEC_LBL	HMVEC_LBl-DS13372.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941120	57941269	HMVEC_LBL	HMVEC_LBl-DS13372.peaks.fdr0.01.hg19.bed
chr4	111077160	111077160	chr4	111077020	111077169	HMVEC_LBL	HMVEC_LBl-DS13375.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767140	70767289	HMVEC_LBL	HMVEC_LBl-DS13375.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767140	70767289	HMVEC_LBL	HMVEC_LBl-DS13372.peaks.fdr0.01.hg19.bed
chr5	159880355	159880355	chr5	159880320	159880469	HMVEC_LBL	HMVEC_LBl-DS13372.peaks.fdr0.01.hg19.bed
chr6	26008875	26008875	chr6	26008740	26008889	HMVEC_LBL	HMVEC_LBl-DS13372.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84140000	84140149	HMVEC_LBL	HMVEC_LBl-DS13375.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84140020	84140169	HMVEC_LBL	HMVEC_LBl-DS13372.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009320	130009469	HMVEC_LBL	HMVEC_LBl-DS13372.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009340	130009489	HMVEC_LBL	HMVEC_LBl-DS13375.peaks.fdr0.01.hg19.bed
