Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727740	7727889	HMVEC_DNEO	HMVEC_dNeo-DS12937.peaks.fdr0.01.hg19.bed
chr1	7727853	7727853	chr1	7727740	7727889	HMVEC_DNEO	HMVEC_dNeo-DS12929.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680320	42680469	HMVEC_DNEO	HMVEC_dNeo-DS12929.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680320	42680469	HMVEC_DNEO	HMVEC_dNeo-DS12937.peaks.fdr0.01.hg19.bed
chr2	102315056	102315056	chr2	102314920	102315069	HMVEC_DNEO	HMVEC_dNeo-DS12937.peaks.fdr0.01.hg19.bed
chr2	102315056	102315056	chr2	102314960	102315109	HMVEC_DNEO	HMVEC_dNeo-DS12929.peaks.fdr0.01.hg19.bed
chr3	37952593	37952593	chr3	37952580	37952729	HMVEC_DNEO	HMVEC_dNeo-DS12929.peaks.fdr0.01.hg19.bed
chr3	37962689	37962689	chr3	37962620	37962769	HMVEC_DNEO	HMVEC_dNeo-DS12929.peaks.fdr0.01.hg19.bed
chr3	37962689	37962689	chr3	37962640	37962789	HMVEC_DNEO	HMVEC_dNeo-DS12937.peaks.fdr0.01.hg19.bed
chr3	37969438	37969438	chr3	37969340	37969489	HMVEC_DNEO	HMVEC_dNeo-DS12929.peaks.fdr0.01.hg19.bed
chr3	37969438	37969438	chr3	37969340	37969489	HMVEC_DNEO	HMVEC_dNeo-DS12937.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352820	99352969	HMVEC_DNEO	HMVEC_dNeo-DS12937.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352840	99352989	HMVEC_DNEO	HMVEC_dNeo-DS12929.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767160	70767309	HMVEC_DNEO	HMVEC_dNeo-DS12929.peaks.fdr0.01.hg19.bed
chr5	137802403	137802403	chr5	137802380	137802529	HMVEC_DNEO	HMVEC_dNeo-DS12937.peaks.fdr0.01.hg19.bed
chr5	137805651	137805651	chr5	137805520	137805669	HMVEC_DNEO	HMVEC_dNeo-DS12929.peaks.fdr0.01.hg19.bed
chr5	137805651	137805651	chr5	137805520	137805669	HMVEC_DNEO	HMVEC_dNeo-DS12937.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009300	130009449	HMVEC_DNEO	HMVEC_dNeo-DS12929.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009320	130009469	HMVEC_DNEO	HMVEC_dNeo-DS12937.peaks.fdr0.01.hg19.bed
