Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727703	7727898	CTCFSC5916	T47D	spp.optimal.wgEncodeHaibTfbsT47dCtcfsc5916V0416102Dmso2AlnRep0_VS_wgEncodeHaibTfbsT47dControlV0416102Dmso2AlnRep2.narrowPeak
chr3	52968725	52968725	chr3	52968715	52968930	CTCFSC5916	T47D	spp.optimal.wgEncodeHaibTfbsT47dCtcfsc5916V0416102Dmso2AlnRep0_VS_wgEncodeHaibTfbsT47dControlV0416102Dmso2AlnRep2.narrowPeak
chr4	3454453	3454453	chr4	3454299	3454514	CTCFSC5916	T47D	spp.optimal.wgEncodeHaibTfbsT47dCtcfsc5916V0416102Dmso2AlnRep0_VS_wgEncodeHaibTfbsT47dControlV0416102Dmso2AlnRep2.narrowPeak
chr6	130073290	130073290	chr6	130073099	130073314	CTCFSC5916	T47D	spp.optimal.wgEncodeHaibTfbsT47dCtcfsc5916V0416102Dmso2AlnRep0_VS_wgEncodeHaibTfbsT47dControlV0416102Dmso2AlnRep2.narrowPeak
chr6	170862335	170862335	chr6	170862206	170862421	CTCFSC5916	T47D	spp.optimal.wgEncodeHaibTfbsT47dCtcfsc5916V0416102Dmso2AlnRep0_VS_wgEncodeHaibTfbsT47dControlV0416102Dmso2AlnRep2.narrowPeak
chr9	4090723	4090723	chr9	4090564	4090779	CTCFSC5916	T47D	spp.optimal.wgEncodeHaibTfbsT47dCtcfsc5916V0416102Dmso2AlnRep0_VS_wgEncodeHaibTfbsT47dControlV0416102Dmso2AlnRep2.narrowPeak
chr11	128729844	128729844	chr11	128729820	128730035	CTCFSC5916	T47D	spp.optimal.wgEncodeHaibTfbsT47dCtcfsc5916V0416102Dmso2AlnRep0_VS_wgEncodeHaibTfbsT47dControlV0416102Dmso2AlnRep2.narrowPeak
chr12	58299249	58299249	chr12	58299154	58299422	CTCFSC5916	T47D	spp.optimal.wgEncodeHaibTfbsT47dCtcfsc5916V0416102Dmso2AlnRep0_VS_wgEncodeHaibTfbsT47dControlV0416102Dmso2AlnRep2.narrowPeak
chr17	959514	959514	chr17	959346	959561	CTCFSC5916	T47D	spp.optimal.wgEncodeHaibTfbsT47dCtcfsc5916V0416102Dmso2AlnRep0_VS_wgEncodeHaibTfbsT47dControlV0416102Dmso2AlnRep2.narrowPeak
chr17	74519373	74519373	chr17	74519305	74519427	CTCFSC5916	T47D	spp.optimal.wgEncodeHaibTfbsT47dCtcfsc5916V0416102Dmso2AlnRep0_VS_wgEncodeHaibTfbsT47dControlV0416102Dmso2AlnRep2.narrowPeak
