Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr2	238635136	238635136	chr2	238634993	238635336	CFOS	HUVEC	spp.optimal.wgEncodeSydhTfbsHuvecCfosUcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.narrowPeak
chr3	4463007	4463007	chr3	4462859	4463202	CFOS	HUVEC	spp.optimal.wgEncodeSydhTfbsHuvecCfosUcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.narrowPeak
chr5	70767268	70767268	chr5	70767023	70767366	CFOS	HUVEC	spp.optimal.wgEncodeSydhTfbsHuvecCfosUcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.narrowPeak
chr7	16568528	16568528	chr7	16568214	16568557	CFOS	HUVEC	spp.optimal.wgEncodeSydhTfbsHuvecCfosUcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.narrowPeak
chr8	23685394	23685394	chr8	23685347	23685690	CFOS	HUVEC	spp.optimal.wgEncodeSydhTfbsHuvecCfosUcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.narrowPeak
chr8	119356465	119356465	chr8	119356269	119356498	CFOS	HUVEC	spp.optimal.wgEncodeSydhTfbsHuvecCfosUcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.narrowPeak
chr9	21674948	21674948	chr9	21674922	21675112	CFOS	HUVEC	spp.optimal.wgEncodeSydhTfbsHuvecCfosUcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.narrowPeak
chr10	111794553	111794553	chr10	111794390	111794733	CFOS	HUVEC	spp.optimal.wgEncodeSydhTfbsHuvecCfosUcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.narrowPeak
chr11	35109674	35109674	chr11	35109362	35109705	CFOS	HUVEC	spp.optimal.wgEncodeSydhTfbsHuvecCfosUcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.narrowPeak
chr11	47907640	47907640	chr11	47907595	47907938	CFOS	HUVEC	spp.optimal.wgEncodeSydhTfbsHuvecCfosUcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.narrowPeak
chr13	111365588	111365588	chr13	111365289	111365632	CFOS	HUVEC	spp.optimal.wgEncodeSydhTfbsHuvecCfosUcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.narrowPeak
chr14	34155697	34155697	chr14	34155460	34155803	CFOS	HUVEC	spp.optimal.wgEncodeSydhTfbsHuvecCfosUcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.narrowPeak
chr15	90907875	90907875	chr15	90907532	90907875	CFOS	HUVEC	spp.optimal.wgEncodeSydhTfbsHuvecCfosUcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.narrowPeak
chr16	64433030	64433030	chr16	64432775	64433118	CFOS	HUVEC	spp.optimal.wgEncodeSydhTfbsHuvecCfosUcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.narrowPeak
chr18	54308995	54308995	chr18	54308994	54309337	CFOS	HUVEC	spp.optimal.wgEncodeSydhTfbsHuvecCfosUcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.narrowPeak
chr20	48407126	48407126	chr20	48406811	48407154	CFOS	HUVEC	spp.optimal.wgEncodeSydhTfbsHuvecCfosUcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.narrowPeak
