Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	36789545	36789545	chr1	36788466	36789907	H3K27AC	GM12878	wgEncodeBroadHistoneGm12878H3k27acStdAln.narrowPeak
chr1	40426921	40426921	chr1	40425221	40427361	H3K27AC	GM12878	wgEncodeBroadHistoneGm12878H3k27acStdAln.narrowPeak
chr1	89546802	89546802	chr1	89546098	89547725	H3K27AC	GM12878	wgEncodeBroadHistoneGm12878H3k27acStdAln.narrowPeak
chr1	111692439	111692439	chr1	111680056	111695469	H3K27AC	GM12878	wgEncodeBroadHistoneGm12878H3k27acStdAln.narrowPeak
chr1	113248364	113248364	chr1	113245663	113250391	H3K27AC	GM12878	wgEncodeBroadHistoneGm12878H3k27acStdAln.narrowPeak
chr1	167635556	167635556	chr1	167635189	167652330	H3K27AC	GM12878	wgEncodeBroadHistoneGm12878H3k27acStdAln.narrowPeak
chr1	172324929	172324929	chr1	172321485	172331780	H3K27AC	GM12878	wgEncodeBroadHistoneGm12878H3k27acStdAln.narrowPeak
chr1	207631204	207631204	chr1	207627328	207631725	H3K27AC	GM12878	wgEncodeBroadHistoneGm12878H3k27acStdAln.narrowPeak
chr1	224972013	224972013	chr1	224969441	224972703	H3K27AC	GM12878	wgEncodeBroadHistoneGm12878H3k27acStdAln.narrowPeak
chr2	37865695	37865695	chr2	37860104	37865771	H3K27AC	GM12878	wgEncodeBroadHistoneGm12878H3k27acStdAln.narrowPeak
chr2	46078462	46078462	chr2	46075957	46080958	H3K27AC	GM12878	wgEncodeBroadHistoneGm12878H3k27acStdAln.narrowPeak
chr2	158291538	158291538	chr2	158289622	158302478	H3K27AC	GM12878	wgEncodeBroadHistoneGm12878H3k27acStdAln.narrowPeak
chr3	23204023	23204023	chr3	23201324	23205563	H3K27AC	GM12878	wgEncodeBroadHistoneGm12878H3k27acStdAln.narrowPeak
chr3	44380487	44380487	chr3	44378859	44382531	H3K27AC	GM12878	wgEncodeBroadHistoneGm12878H3k27acStdAln.narrowPeak
chr3	196019679	196019679	chr3	196017891	196020278	H3K27AC	GM12878	wgEncodeBroadHistoneGm12878H3k27acStdAln.narrowPeak
chr4	40196548	40196548	chr4	40190650	40217399	H3K27AC	GM12878	wgEncodeBroadHistoneGm12878H3k27acStdAln.narrowPeak
chr4	170580817	170580817	chr4	170579787	170582840	H3K27AC	GM12878	wgEncodeBroadHistoneGm12878H3k27acStdAln.narrowPeak
chr5	118734730	118734730	chr5	118720128	118736375	H3K27AC	GM12878	wgEncodeBroadHistoneGm12878H3k27acStdAln.narrowPeak
chr5	159880355	159880355	chr5	159875642	159884311	H3K27AC	GM12878	wgEncodeBroadHistoneGm12878H3k27acStdAln.narrowPeak
chr5	167913602	167913602	chr5	167912755	167915173	H3K27AC	GM12878	wgEncodeBroadHistoneGm12878H3k27acStdAln.narrowPeak
chr6	16332729	16332729	chr6	16331498	16333185	H3K27AC	GM12878	wgEncodeBroadHistoneGm12878H3k27acStdAln.narrowPeak
chr6	20408918	20408918	chr6	20406910	20412628	H3K27AC	GM12878	wgEncodeBroadHistoneGm12878H3k27acStdAln.narrowPeak
chr6	22322003	22322003	chr6	22321683	22323857	H3K27AC	GM12878	wgEncodeBroadHistoneGm12878H3k27acStdAln.narrowPeak
chr6	26103176	26103176	chr6	26102623	26105592	H3K27AC	GM12878	wgEncodeBroadHistoneGm12878H3k27acStdAln.narrowPeak
