Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr19	12995238	12998702	GATA2_K562B	12997138	12997242	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	GATA2_K562B	12997138	12997242	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	GATA2_K562B	12997138	12997242	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	GATA2_K562B	12997138	12997242	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	GATA2_K562B	12997915	12998184	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	GATA2_K562B	12997915	12998184	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	GATA2_K562B	12997915	12998184	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	GATA2_K562B	12997915	12998184	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	GATA2_K562B	12998377	12998525	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	GATA2_K562B	12998377	12998525	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	GATA2_K562B	12998377	12998525	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	GATA2_K562B	12998377	12998525	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa01100
chrX	55041618	55041619	GATA2_K562B	55041483	55041670	NM_000032	55041448	55042009	INTRON3	ALAS2	212	hsa01100
chrX	55041618	55041619	GATA2_K562B	55041483	55041670	NM_001037967	55041448	55042009	INTRON3	ALAS2	212	hsa01100
chrX	55041618	55041619	GATA2_K562B	55041483	55041670	NM_001037968	55041448	55042009	INTRON3	ALAS2	212	hsa01100
