Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	36789545	36789545	chr1	36785293	36790490	H3K4ME3	NHDFNEO	wgEncodeUwHistoneNhdfneoH3k4me3StdAln.narrowPeak
chr1	113248364	113248364	chr1	113246251	113250885	H3K4ME3	NHDFNEO	wgEncodeUwHistoneNhdfneoH3k4me3StdAln.narrowPeak
chr2	102315056	102315056	chr2	102312476	102318796	H3K4ME3	NHDFNEO	wgEncodeUwHistoneNhdfneoH3k4me3StdAln.narrowPeak
chr2	144282077	144282077	chr2	144281296	144284030	H3K4ME3	NHDFNEO	wgEncodeUwHistoneNhdfneoH3k4me3StdAln.narrowPeak
chr2	153572155	153572155	chr2	153571760	153577474	H3K4ME3	NHDFNEO	wgEncodeUwHistoneNhdfneoH3k4me3StdAln.narrowPeak
chr3	19931169	19931169	chr3	19930200	19932188	H3K4ME3	NHDFNEO	wgEncodeUwHistoneNhdfneoH3k4me3StdAln.narrowPeak
chr3	44380487	44380487	chr3	44378709	44382715	H3K4ME3	NHDFNEO	wgEncodeUwHistoneNhdfneoH3k4me3StdAln.narrowPeak
chr3	155743406	155743406	chr3	155742404	155743593	H3K4ME3	NHDFNEO	wgEncodeUwHistoneNhdfneoH3k4me3StdAln.narrowPeak
chr4	55526919	55526919	chr4	55523153	55528174	H3K4ME3	NHDFNEO	wgEncodeUwHistoneNhdfneoH3k4me3StdAln.narrowPeak
chr4	88313178	88313178	chr4	88309350	88313492	H3K4ME3	NHDFNEO	wgEncodeUwHistoneNhdfneoH3k4me3StdAln.narrowPeak
chr4	170580817	170580817	chr4	170579898	170583839	H3K4ME3	NHDFNEO	wgEncodeUwHistoneNhdfneoH3k4me3StdAln.narrowPeak
chr5	137802403	137802403	chr5	137798891	137804418	H3K4ME3	NHDFNEO	wgEncodeUwHistoneNhdfneoH3k4me3StdAln.narrowPeak
chr5	149310446	149310446	chr5	149309312	149310783	H3K4ME3	NHDFNEO	wgEncodeUwHistoneNhdfneoH3k4me3StdAln.narrowPeak
chr5	167913602	167913602	chr5	167912878	167915658	H3K4ME3	NHDFNEO	wgEncodeUwHistoneNhdfneoH3k4me3StdAln.narrowPeak
chr5	173738576	173738576	chr5	173738568	173739403	H3K4ME3	NHDFNEO	wgEncodeUwHistoneNhdfneoH3k4me3StdAln.narrowPeak
chr6	26103176	26103176	chr6	26102978	26105201	H3K4ME3	NHDFNEO	wgEncodeUwHistoneNhdfneoH3k4me3StdAln.narrowPeak
chr6	46457835	46457835	chr6	46457496	46460198	H3K4ME3	NHDFNEO	wgEncodeUwHistoneNhdfneoH3k4me3StdAln.narrowPeak
