Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	42680326	42680326	chr1	42680255	42680494	ELF1SC631	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Elf1sc631V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr6	160210060	160210060	chr6	160209831	160210070	ELF1SC631	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Elf1sc631V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr6	170862335	170862335	chr6	170862297	170862513	ELF1SC631	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Elf1sc631V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr7	130009352	130009352	chr7	130009265	130009504	ELF1SC631	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Elf1sc631V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr8	119356465	119356465	chr8	119356226	119356465	ELF1SC631	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Elf1sc631V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr9	115983539	115983539	chr9	115983419	115983658	ELF1SC631	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Elf1sc631V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr17	56472118	56472118	chr17	56472005	56472244	ELF1SC631	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Elf1sc631V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr19	4769739	4769739	chr19	4769560	4769799	ELF1SC631	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Elf1sc631V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr21	42694666	42694666	chr21	42694493	42694732	ELF1SC631	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Elf1sc631V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr22	18560569	18560569	chr22	18560495	18560757	ELF1SC631	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Elf1sc631V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
