Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727720	7727869	PANC1	PANC1-DS9873.peaks.fdr0.01.hg19.bed
chr1	36789545	36789545	chr1	36789460	36789609	PANC1	PANC1-DS9873.peaks.fdr0.01.hg19.bed
chr1	86514749	86514749	chr1	86514640	86514789	PANC1	PANC1-DS9955.peaks.fdr0.01.hg19.bed
chr2	102315056	102315056	chr2	102314960	102315109	PANC1	PANC1-DS9955.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462940	4463089	PANC1	PANC1-DS9873.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462940	4463089	PANC1	PANC1-DS9955.peaks.fdr0.01.hg19.bed
chr3	196019679	196019679	chr3	196019580	196019729	PANC1	PANC1-DS9873.peaks.fdr0.01.hg19.bed
chr4	40196548	40196548	chr4	40196480	40196629	PANC1	PANC1-DS9873.peaks.fdr0.01.hg19.bed
chr4	177255406	177255406	chr4	177255360	177255509	PANC1	PANC1-DS9873.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767140	70767289	PANC1	PANC1-DS9955.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767160	70767309	PANC1	PANC1-DS9873.peaks.fdr0.01.hg19.bed
chr5	137805651	137805651	chr5	137805520	137805669	PANC1	PANC1-DS9873.peaks.fdr0.01.hg19.bed
chr5	149310446	149310446	chr5	149310440	149310589	PANC1	PANC1-DS9873.peaks.fdr0.01.hg19.bed
chr6	42190445	42190445	chr6	42190300	42190449	PANC1	PANC1-DS9955.peaks.fdr0.01.hg19.bed
chr6	42190445	42190445	chr6	42190300	42190449	PANC1	PANC1-DS9873.peaks.fdr0.01.hg19.bed
chr6	138409766	138409766	chr6	138409620	138409769	PANC1	PANC1-DS9873.peaks.fdr0.01.hg19.bed
chr6	170862335	170862335	chr6	170862180	170862469	PANC1	PANC1-DS9955.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009300	130009449	PANC1	PANC1-DS9873.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356340	119356489	PANC1	PANC1-DS9873.peaks.fdr0.01.hg19.bed
chr11	12290811	12290811	chr11	12290780	12290929	PANC1	PANC1-DS9955.peaks.fdr0.01.hg19.bed
chr11	119235403	119235403	chr11	119235340	119235489	PANC1	PANC1-DS9955.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390620	49390769	PANC1	PANC1-DS9955.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299220	58299369	PANC1	PANC1-DS9955.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299220	58299369	PANC1	PANC1-DS9873.peaks.fdr0.01.hg19.bed
chr17	4316477	4316477	chr17	4316340	4316489	PANC1	PANC1-DS9873.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519280	74519429	PANC1	PANC1-DS9955.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519280	74519429	PANC1	PANC1-DS9873.peaks.fdr0.01.hg19.bed
chr19	495721	495721	chr19	495600	495749	PANC1	PANC1-DS9955.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769640	4769789	PANC1	PANC1-DS9955.peaks.fdr0.01.hg19.bed
chr19	49621963	49621963	chr19	49621840	49621989	PANC1	PANC1-DS9873.peaks.fdr0.01.hg19.bed
