Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727680	7727876	RAD21	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878Rad21V0416101AlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
chr3	52968725	52968725	chr3	52968719	52968954	RAD21	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878Rad21IggrabAlnRep0_VS_wgEncodeSydhTfbsGm12878InputIggrabAlnRep0.narrowPeak
chr6	130073290	130073290	chr6	130073061	130073296	RAD21	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878Rad21IggrabAlnRep0_VS_wgEncodeSydhTfbsGm12878InputIggrabAlnRep0.narrowPeak
chr8	135612744	135612744	chr8	135612630	135612819	RAD21	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878Rad21V0416101AlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
chr11	128729844	128729844	chr11	128729824	128730059	RAD21	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878Rad21IggrabAlnRep0_VS_wgEncodeSydhTfbsGm12878InputIggrabAlnRep0.narrowPeak
chr11	128729844	128729844	chr11	128729838	128730013	RAD21	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878Rad21V0416101AlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
chr12	49390676	49390676	chr12	49390583	49390818	RAD21	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878Rad21IggrabAlnRep0_VS_wgEncodeSydhTfbsGm12878InputIggrabAlnRep0.narrowPeak
chr12	49390676	49390676	chr12	49390613	49390793	RAD21	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878Rad21V0416101AlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
chr12	58299249	58299249	chr12	58299135	58299426	RAD21	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878Rad21V0416101AlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
chr12	58299249	58299249	chr12	58299170	58299392	RAD21	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878Rad21IggrabAlnRep0_VS_wgEncodeSydhTfbsGm12878InputIggrabAlnRep0.narrowPeak
chr17	74519373	74519373	chr17	74519268	74519466	RAD21	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878Rad21V0416101AlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
chr17	74519373	74519373	chr17	74519285	74519453	RAD21	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878Rad21IggrabAlnRep0_VS_wgEncodeSydhTfbsGm12878InputIggrabAlnRep0.narrowPeak
chr21	38539118	38539118	chr21	38539059	38539294	RAD21	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878Rad21IggrabAlnRep0_VS_wgEncodeSydhTfbsGm12878InputIggrabAlnRep0.narrowPeak
chr21	38539118	38539118	chr21	38539106	38539252	RAD21	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878Rad21V0416101AlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
