Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	36789545	36789545	chr1	36787969	36789816	H3K4ME3	HL60	wgEncodeUwHistoneHl60H3k4me3StdAln.narrowPeak
chr2	102315056	102315056	chr2	102313011	102317074	H3K4ME3	HL60	wgEncodeUwHistoneHl60H3k4me3StdAln.narrowPeak
chr2	153572155	153572155	chr2	153571889	153577111	H3K4ME3	HL60	wgEncodeUwHistoneHl60H3k4me3StdAln.narrowPeak
chr3	44380487	44380487	chr3	44379051	44381752	H3K4ME3	HL60	wgEncodeUwHistoneHl60H3k4me3StdAln.narrowPeak
chr4	88313178	88313178	chr4	88307831	88313225	H3K4ME3	HL60	wgEncodeUwHistoneHl60H3k4me3StdAln.narrowPeak
chr5	137802403	137802403	chr5	137799020	137802405	H3K4ME3	HL60	wgEncodeUwHistoneHl60H3k4me3StdAln.narrowPeak
chr5	167913602	167913602	chr5	167913029	167915031	H3K4ME3	HL60	wgEncodeUwHistoneHl60H3k4me3StdAln.narrowPeak
chr6	84140037	84140037	chr6	84140014	84141315	H3K4ME3	HL60	wgEncodeUwHistoneHl60H3k4me3StdAln.narrowPeak
chr6	160210060	160210060	chr6	160208375	160214105	H3K4ME3	HL60	wgEncodeUwHistoneHl60H3k4me3StdAln.narrowPeak
chr6	170862335	170862335	chr6	170859991	170865256	H3K4ME3	HL60	wgEncodeUwHistoneHl60H3k4me3StdAln.narrowPeak
chr8	26437075	26437075	chr8	26433786	26437701	H3K4ME3	HL60	wgEncodeUwHistoneHl60H3k4me3StdAln.narrowPeak
chr9	115983539	115983539	chr9	115980938	115985387	H3K4ME3	HL60	wgEncodeUwHistoneHl60H3k4me3StdAln.narrowPeak
chr10	13341377	13341377	chr10	13341344	13342694	H3K4ME3	HL60	wgEncodeUwHistoneHl60H3k4me3StdAln.narrowPeak
chr11	35161075	35161075	chr11	35160063	35163908	H3K4ME3	HL60	wgEncodeUwHistoneHl60H3k4me3StdAln.narrowPeak
chr11	47600437	47600437	chr11	47599251	47602079	H3K4ME3	HL60	wgEncodeUwHistoneHl60H3k4me3StdAln.narrowPeak
chr12	49390676	49390676	chr12	49390333	49391451	H3K4ME3	HL60	wgEncodeUwHistoneHl60H3k4me3StdAln.narrowPeak
chr12	125354102	125354102	chr12	125352996	125354580	H3K4ME3	HL60	wgEncodeUwHistoneHl60H3k4me3StdAln.narrowPeak
chr13	111365588	111365588	chr13	111363682	111367984	H3K4ME3	HL60	wgEncodeUwHistoneHl60H3k4me3StdAln.narrowPeak
chr14	51407579	51407579	chr14	51407545	51408333	H3K4ME3	HL60	wgEncodeUwHistoneHl60H3k4me3StdAln.narrowPeak
chr15	90895957	90895957	chr15	90894869	90896427	H3K4ME3	HL60	wgEncodeUwHistoneHl60H3k4me3StdAln.narrowPeak
chr16	57024661	57024661	chr16	57021943	57026816	H3K4ME3	HL60	wgEncodeUwHistoneHl60H3k4me3StdAln.narrowPeak
chr16	57771125	57771125	chr16	57768210	57771182	H3K4ME3	HL60	wgEncodeUwHistoneHl60H3k4me3StdAln.narrowPeak
chr17	4316477	4316477	chr17	4316131	4316812	H3K4ME3	HL60	wgEncodeUwHistoneHl60H3k4me3StdAln.narrowPeak
chr19	1847697	1847697	chr19	1846395	1849378	H3K4ME3	HL60	wgEncodeUwHistoneHl60H3k4me3StdAln.narrowPeak
chr19	2238666	2238666	chr19	2234809	2240722	H3K4ME3	HL60	wgEncodeUwHistoneHl60H3k4me3StdAln.narrowPeak
chr19	4784552	4784552	chr19	4784491	4785487	H3K4ME3	HL60	wgEncodeUwHistoneHl60H3k4me3StdAln.narrowPeak
chr19	49621963	49621963	chr19	49621122	49623607	H3K4ME3	HL60	wgEncodeUwHistoneHl60H3k4me3StdAln.narrowPeak
chr22	17587679	17587679	chr22	17586623	17588066	H3K4ME3	HL60	wgEncodeUwHistoneHl60H3k4me3StdAln.narrowPeak
chr22	18560569	18560569	chr22	18559213	18562445	H3K4ME3	HL60	wgEncodeUwHistoneHl60H3k4me3StdAln.narrowPeak
