Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr1	202075668	202075668	ERALPHAA_ECC1	202075526	202075769	NR_037663	202016140	202106139	3D	PTPN7	5778	hsa04010
chr1	202075668	202075668	ERALPHAA_ECC1	202075526	202075769	NR_037664	202016140	202106139	3D	PTPN7	5778	hsa04010
chr1	202075668	202075668	ERALPHAA_ECC1	202075526	202075769	NM_001199797	202016140	202106139	3D	PTPN7	5778	hsa04010
chr1	202075668	202075668	ERALPHAA_ECC1	202075526	202075769	NM_080588	202016140	202106139	3D	PTPN7	5778	hsa04010
chr1	202075668	202075668	ERALPHAA_ECC1	202075526	202075769	NM_002832	202016140	202106139	3D	PTPN7	5778	hsa04010
chr1	202075668	202075668	ERALPHAA_ECC1	202075542	202075751	NR_037663	202016140	202106139	3D	PTPN7	5778	hsa04010
chr1	202075668	202075668	ERALPHAA_ECC1	202075542	202075751	NR_037664	202016140	202106139	3D	PTPN7	5778	hsa04010
chr1	202075668	202075668	ERALPHAA_ECC1	202075542	202075751	NM_001199797	202016140	202106139	3D	PTPN7	5778	hsa04010
chr1	202075668	202075668	ERALPHAA_ECC1	202075542	202075751	NM_080588	202016140	202106139	3D	PTPN7	5778	hsa04010
chr1	202075668	202075668	ERALPHAA_ECC1	202075542	202075751	NM_002832	202016140	202106139	3D	PTPN7	5778	hsa04010
