Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	41093829	41093829	chr1	41093373	41096224	H3K27AC	HMEC	wgEncodeBroadHistoneHmecH3k27acStdAln.narrowPeak
chr1	42680326	42680326	chr1	42678949	42681270	H3K27AC	HMEC	wgEncodeBroadHistoneHmecH3k27acStdAln.narrowPeak
chr1	113242121	113242121	chr1	113241865	113246094	H3K27AC	HMEC	wgEncodeBroadHistoneHmecH3k27acStdAln.narrowPeak
chr1	113248364	113248364	chr1	113246137	113250936	H3K27AC	HMEC	wgEncodeBroadHistoneHmecH3k27acStdAln.narrowPeak
chr1	167635556	167635556	chr1	167629900	167637198	H3K27AC	HMEC	wgEncodeBroadHistoneHmecH3k27acStdAln.narrowPeak
chr1	183241261	183241261	chr1	183239382	183243228	H3K27AC	HMEC	wgEncodeBroadHistoneHmecH3k27acStdAln.narrowPeak
chr1	195927450	195927450	chr1	195926561	195928272	H3K27AC	HMEC	wgEncodeBroadHistoneHmecH3k27acStdAln.narrowPeak
chr1	202075668	202075668	chr1	202073652	202076839	H3K27AC	HMEC	wgEncodeBroadHistoneHmecH3k27acStdAln.narrowPeak
chr1	209211967	209211967	chr1	209210735	209214458	H3K27AC	HMEC	wgEncodeBroadHistoneHmecH3k27acStdAln.narrowPeak
chr1	223960535	223960535	chr1	223958452	223960937	H3K27AC	HMEC	wgEncodeBroadHistoneHmecH3k27acStdAln.narrowPeak
chr2	46078462	46078462	chr2	46076093	46079466	H3K27AC	HMEC	wgEncodeBroadHistoneHmecH3k27acStdAln.narrowPeak
chr2	85514931	85514931	chr2	85513634	85517214	H3K27AC	HMEC	wgEncodeBroadHistoneHmecH3k27acStdAln.narrowPeak
chr2	102315056	102315056	chr2	102314303	102318652	H3K27AC	HMEC	wgEncodeBroadHistoneHmecH3k27acStdAln.narrowPeak
chr2	153572155	153572155	chr2	153571403	153576575	H3K27AC	HMEC	wgEncodeBroadHistoneHmecH3k27acStdAln.narrowPeak
chr2	159926848	159926848	chr2	159925548	159930923	H3K27AC	HMEC	wgEncodeBroadHistoneHmecH3k27acStdAln.narrowPeak
chr2	221063850	221063850	chr2	221062897	221064871	H3K27AC	HMEC	wgEncodeBroadHistoneHmecH3k27acStdAln.narrowPeak
chr2	221084497	221084497	chr2	221082855	221085905	H3K27AC	HMEC	wgEncodeBroadHistoneHmecH3k27acStdAln.narrowPeak
chr3	4463007	4463007	chr3	4462036	4464483	H3K27AC	HMEC	wgEncodeBroadHistoneHmecH3k27acStdAln.narrowPeak
chr3	19931169	19931169	chr3	19930091	19931244	H3K27AC	HMEC	wgEncodeBroadHistoneHmecH3k27acStdAln.narrowPeak
chr3	44380487	44380487	chr3	44378787	44381509	H3K27AC	HMEC	wgEncodeBroadHistoneHmecH3k27acStdAln.narrowPeak
chr4	57941159	57941159	chr4	57938337	57950532	H3K27AC	HMEC	wgEncodeBroadHistoneHmecH3k27acStdAln.narrowPeak
chr4	57941699	57941699	chr4	57938337	57950532	H3K27AC	HMEC	wgEncodeBroadHistoneHmecH3k27acStdAln.narrowPeak
chr4	88313178	88313178	chr4	88311449	88313352	H3K27AC	HMEC	wgEncodeBroadHistoneHmecH3k27acStdAln.narrowPeak
chr4	170580817	170580817	chr4	170579351	170583564	H3K27AC	HMEC	wgEncodeBroadHistoneHmecH3k27acStdAln.narrowPeak
chr5	137797379	137797379	chr5	137796165	137798022	H3K27AC	HMEC	wgEncodeBroadHistoneHmecH3k27acStdAln.narrowPeak
chr5	137802403	137802403	chr5	137798812	137804545	H3K27AC	HMEC	wgEncodeBroadHistoneHmecH3k27acStdAln.narrowPeak
chr5	167913602	167913602	chr5	167912843	167915088	H3K27AC	HMEC	wgEncodeBroadHistoneHmecH3k27acStdAln.narrowPeak
chr6	26103176	26103176	chr6	26102668	26105237	H3K27AC	HMEC	wgEncodeBroadHistoneHmecH3k27acStdAln.narrowPeak
chr6	42189847	42189847	chr6	42188517	42190274	H3K27AC	HMEC	wgEncodeBroadHistoneHmecH3k27acStdAln.narrowPeak
chr6	44421239	44421239	chr6	44419290	44422493	H3K27AC	HMEC	wgEncodeBroadHistoneHmecH3k27acStdAln.narrowPeak
