Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr2	102315056	102315056	chr2	102314938	102315177	MAX	K562	spp.optimal.wgEncodeHaibTfbsK562MaxV0416102AlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr3	122388463	122388463	chr3	122388316	122388555	MAX	K562	spp.optimal.wgEncodeHaibTfbsK562MaxV0416102AlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr4	3454453	3454453	chr4	3454264	3454503	MAX	K562	spp.optimal.wgEncodeHaibTfbsK562MaxV0416102AlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr5	10318454	10318454	chr5	10318421	10318679	MAX	K562	spp.optimal.wgEncodeHaibTfbsK562MaxV0416102AlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr6	160210060	160210060	chr6	160209999	160210282	MAX	K562	spp.optimal.wgEncodeHaibTfbsK562MaxV0416102AlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr6	170862335	170862335	chr6	170862264	170862520	MAX	K562	spp.optimal.wgEncodeHaibTfbsK562MaxV0416102AlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr12	50303926	50303926	chr12	50303767	50303970	MAX	K562	spp.optimal.wgEncodeHaibTfbsK562MaxV0416102AlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr12	58299249	58299249	chr12	58299141	58299329	MAX	K562	spp.optimal.wgEncodeHaibTfbsK562MaxV0416102AlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr17	74519373	74519373	chr17	74519269	74519508	MAX	K562	spp.optimal.wgEncodeHaibTfbsK562MaxV0416102AlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr19	1847697	1847697	chr19	1847688	1848030	MAX	K562	spp.optimal.wgEncodeHaibTfbsK562MaxV0416102AlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr19	4585170	4585170	chr19	4585023	4585262	MAX	K562	spp.optimal.wgEncodeHaibTfbsK562MaxV0416102AlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr19	4769739	4769739	chr19	4769563	4769823	MAX	K562	spp.optimal.wgEncodeHaibTfbsK562MaxV0416102AlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr22	18560569	18560569	chr22	18560565	18560975	MAX	K562	spp.optimal.wgEncodeHaibTfbsK562MaxV0416102AlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
