Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	113242121	113242121	chr1	113242022	113242291	POL24H8	K562	spp.optimal.wgEncodeHaibTfbsK562Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr5	137802403	137802403	chr5	137801032	137804772	POL24H8	K562	spp.optimal.wgEncodeHaibTfbsK562Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr5	137802403	137802403	chr5	137801032	137804772	POL24H8	K562	spp.optimal.wgEncodeHaibTfbsK562Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr5	137802403	137802403	chr5	137801032	137804772	POL24H8	K562	spp.optimal.wgEncodeHaibTfbsK562Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr5	137802403	137802403	chr5	137801032	137804772	POL24H8	K562	spp.optimal.wgEncodeHaibTfbsK562Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr5	137802403	137802403	chr5	137801032	137804772	POL24H8	K562	spp.optimal.wgEncodeHaibTfbsK562Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr5	137802403	137802403	chr5	137801032	137804772	POL24H8	K562	spp.optimal.wgEncodeHaibTfbsK562Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr5	137802403	137802403	chr5	137801032	137804772	POL24H8	K562	spp.optimal.wgEncodeHaibTfbsK562Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr5	137802403	137802403	chr5	137801032	137804772	POL24H8	K562	spp.optimal.wgEncodeHaibTfbsK562Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr5	137805651	137805651	chr5	137804778	137806744	POL24H8	K562	spp.optimal.wgEncodeHaibTfbsK562Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr5	137805651	137805651	chr5	137804778	137806744	POL24H8	K562	spp.optimal.wgEncodeHaibTfbsK562Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr5	137805651	137805651	chr5	137804778	137806744	POL24H8	K562	spp.optimal.wgEncodeHaibTfbsK562Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr5	167913602	167913602	chr5	167913380	167913623	POL24H8	K562	spp.optimal.wgEncodeHaibTfbsK562Pol24h8V0416101AlnRep0_VS_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak
chr5	167913602	167913602	chr5	167913394	167913640	POL24H8	K562	spp.optimal.wgEncodeHaibTfbsK562Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr6	26116423	26116423	chr6	26116332	26116575	POL24H8	K562	spp.optimal.wgEncodeHaibTfbsK562Pol24h8V0416101AlnRep0_VS_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak
chr6	170862335	170862335	chr6	170862175	170862483	POL24H8	K562	spp.optimal.wgEncodeHaibTfbsK562Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr6	170862335	170862335	chr6	170862282	170862396	POL24H8	K562	spp.optimal.wgEncodeHaibTfbsK562Pol24h8V0416101AlnRep0_VS_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak
chr7	32909181	32909181	chr7	32908941	32909210	POL24H8	K562	spp.optimal.wgEncodeHaibTfbsK562Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr9	115983539	115983539	chr9	115983431	115983674	POL24H8	K562	spp.optimal.wgEncodeHaibTfbsK562Pol24h8V0416101AlnRep0_VS_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak
chr11	5510283	5510283	chr11	5510042	5510285	POL24H8	K562	spp.optimal.wgEncodeHaibTfbsK562Pol24h8V0416101AlnRep0_VS_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak
chr12	125371972	125371972	chr12	125371821	125372064	POL24H8	K562	spp.optimal.wgEncodeHaibTfbsK562Pol24h8V0416101AlnRep0_VS_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak
chr13	111365588	111365588	chr13	111365489	111365800	POL24H8	K562	spp.optimal.wgEncodeHaibTfbsK562Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr13	111365588	111365588	chr13	111365578	111365695	POL24H8	K562	spp.optimal.wgEncodeHaibTfbsK562Pol24h8V0416101AlnRep0_VS_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak
chr19	4769739	4769739	chr19	4769552	4769795	POL24H8	K562	spp.optimal.wgEncodeHaibTfbsK562Pol24h8V0416101AlnRep0_VS_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak
chr19	49621963	49621963	chr19	49621852	49622095	POL24H8	K562	spp.optimal.wgEncodeHaibTfbsK562Pol24h8V0416101AlnRep0_VS_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak
chr19	49621963	49621963	chr19	49621924	49622036	POL24H8	K562	spp.optimal.wgEncodeHaibTfbsK562Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr22	18560569	18560569	chr22	18560412	18560655	POL24H8	K562	spp.optimal.wgEncodeHaibTfbsK562Pol24h8V0416101AlnRep0_VS_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak
