Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr2	162900888	162900888	chr2	162899153	162901535	H3K36ME3	CACO2	wgEncodeUwHistoneCaco2H3k36me3StdAln.narrowPeak
chr5	137754694	137754694	chr5	137754144	137755140	H3K36ME3	CACO2	wgEncodeUwHistoneCaco2H3k36me3StdAln.narrowPeak
chr5	137802403	137802403	chr5	137801334	137804355	H3K36ME3	CACO2	wgEncodeUwHistoneCaco2H3k36me3StdAln.narrowPeak
chr6	170847180	170847180	chr6	170845723	170847289	H3K36ME3	CACO2	wgEncodeUwHistoneCaco2H3k36me3StdAln.narrowPeak
chr7	32909181	32909181	chr7	32908822	32910426	H3K36ME3	CACO2	wgEncodeUwHistoneCaco2H3k36me3StdAln.narrowPeak
chr8	22108610	22108610	chr8	22107126	22108614	H3K36ME3	CACO2	wgEncodeUwHistoneCaco2H3k36me3StdAln.narrowPeak
chr10	61565653	61565653	chr10	61565423	61571814	H3K36ME3	CACO2	wgEncodeUwHistoneCaco2H3k36me3StdAln.narrowPeak
chr10	61570573	61570573	chr10	61565423	61571814	H3K36ME3	CACO2	wgEncodeUwHistoneCaco2H3k36me3StdAln.narrowPeak
chr10	82273078	82273078	chr10	82272576	82279223	H3K36ME3	CACO2	wgEncodeUwHistoneCaco2H3k36me3StdAln.narrowPeak
chr11	2712285	2712285	chr11	2706539	2714570	H3K36ME3	CACO2	wgEncodeUwHistoneCaco2H3k36me3StdAln.narrowPeak
chr11	47807773	47807773	chr11	47806173	47808295	H3K36ME3	CACO2	wgEncodeUwHistoneCaco2H3k36me3StdAln.narrowPeak
chr12	6340387	6340387	chr12	6339109	6342207	H3K36ME3	CACO2	wgEncodeUwHistoneCaco2H3k36me3StdAln.narrowPeak
chr12	33025611	33025611	chr12	33025231	33026801	H3K36ME3	CACO2	wgEncodeUwHistoneCaco2H3k36me3StdAln.narrowPeak
chr12	49422093	49422093	chr12	49421014	49424199	H3K36ME3	CACO2	wgEncodeUwHistoneCaco2H3k36me3StdAln.narrowPeak
chr13	21986319	21986319	chr13	21984714	21986493	H3K36ME3	CACO2	wgEncodeUwHistoneCaco2H3k36me3StdAln.narrowPeak
chr13	95918062	95918062	chr13	95917312	95919114	H3K36ME3	CACO2	wgEncodeUwHistoneCaco2H3k36me3StdAln.narrowPeak
chr13	111286591	111286591	chr13	111286492	111291045	H3K36ME3	CACO2	wgEncodeUwHistoneCaco2H3k36me3StdAln.narrowPeak
chr16	4864178	4864178	chr16	4863218	4864523	H3K36ME3	CACO2	wgEncodeUwHistoneCaco2H3k36me3StdAln.narrowPeak
chr16	4923090	4923090	chr16	4922563	4923928	H3K36ME3	CACO2	wgEncodeUwHistoneCaco2H3k36me3StdAln.narrowPeak
chr17	959514	959514	chr17	958923	960640	H3K36ME3	CACO2	wgEncodeUwHistoneCaco2H3k36me3StdAln.narrowPeak
chr19	49206984	49206984	chr19	49206604	49207454	H3K36ME3	CACO2	wgEncodeUwHistoneCaco2H3k36me3StdAln.narrowPeak
chr19	49207205	49207205	chr19	49206604	49207454	H3K36ME3	CACO2	wgEncodeUwHistoneCaco2H3k36me3StdAln.narrowPeak
chr22	24036656	24036656	chr22	24034956	24037041	H3K36ME3	CACO2	wgEncodeUwHistoneCaco2H3k36me3StdAln.narrowPeak
