Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr6	160210060	160210060	ELF1SC631_HEPG2	160209831	160210070	NM_000636	160124353	160214352	5D	SOD2	6648	hsa04146
chr6	160210060	160210060	ELF1SC631_HEPG2	160209831	160210070	NM_001024466	160124353	160214352	5D	SOD2	6648	hsa04146
chr6	160210060	160210060	ELF1SC631_HEPG2	160209831	160210070	NM_001024465	160124353	160214352	5D	SOD2	6648	hsa04146
chr22	18560569	18560569	ELF1SC631_GM12878	18560478	18560832	NM_017929	18558685	18560684	5P1	PEX26	55670	hsa04146
chr22	18560569	18560569	ELF1SC631_GM12878	18560478	18560832	NM_001199319	18558685	18560684	5P1	PEX26	55670	hsa04146
chr22	18560569	18560569	ELF1SC631_GM12878	18560478	18560832	NM_001127649	18558759	18560758	5P1	PEX26	55670	hsa04146
chr22	18560569	18560569	ELF1SC631_K562	18560454	18560827	NM_017929	18558685	18560684	5P1	PEX26	55670	hsa04146
chr22	18560569	18560569	ELF1SC631_K562	18560454	18560827	NM_001199319	18558685	18560684	5P1	PEX26	55670	hsa04146
chr22	18560569	18560569	ELF1SC631_K562	18560454	18560827	NM_001127649	18558759	18560758	5P1	PEX26	55670	hsa04146
chr22	18560569	18560569	ELF1SC631_HEPG2	18560495	18560757	NM_017929	18558685	18560684	5P1	PEX26	55670	hsa04146
chr22	18560569	18560569	ELF1SC631_HEPG2	18560495	18560757	NM_001199319	18558685	18560684	5P1	PEX26	55670	hsa04146
chr22	18560569	18560569	ELF1SC631_HEPG2	18560495	18560757	NM_001127649	18558759	18560758	5P1	PEX26	55670	hsa04146
