Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	36789545	36789545	chr1	36785376	36790615	H3K4ME2	NHDFAD	wgEncodeBroadHistoneNhdfadH3k4me2StdAln.narrowPeak
chr1	42693596	42693596	chr1	42691419	42693630	H3K4ME2	NHDFAD	wgEncodeBroadHistoneNhdfadH3k4me2StdAln.narrowPeak
chr1	113248364	113248364	chr1	113244718	113251164	H3K4ME2	NHDFAD	wgEncodeBroadHistoneNhdfadH3k4me2StdAln.narrowPeak
chr1	168090310	168090310	chr1	168090258	168091723	H3K4ME2	NHDFAD	wgEncodeBroadHistoneNhdfadH3k4me2StdAln.narrowPeak
chr1	172353470	172353470	chr1	172349746	172354068	H3K4ME2	NHDFAD	wgEncodeBroadHistoneNhdfadH3k4me2StdAln.narrowPeak
chr1	183188061	183188061	chr1	183186546	183188918	H3K4ME2	NHDFAD	wgEncodeBroadHistoneNhdfadH3k4me2StdAln.narrowPeak
chr1	183241261	183241261	chr1	183239355	183243179	H3K4ME2	NHDFAD	wgEncodeBroadHistoneNhdfadH3k4me2StdAln.narrowPeak
chr1	224972013	224972013	chr1	224971311	224974122	H3K4ME2	NHDFAD	wgEncodeBroadHistoneNhdfadH3k4me2StdAln.narrowPeak
chr1	230238820	230238820	chr1	230237812	230242995	H3K4ME2	NHDFAD	wgEncodeBroadHistoneNhdfadH3k4me2StdAln.narrowPeak
chr2	46078462	46078462	chr2	46075652	46079557	H3K4ME2	NHDFAD	wgEncodeBroadHistoneNhdfadH3k4me2StdAln.narrowPeak
chr2	102315056	102315056	chr2	102314393	102319960	H3K4ME2	NHDFAD	wgEncodeBroadHistoneNhdfadH3k4me2StdAln.narrowPeak
chr2	144282077	144282077	chr2	144280428	144284387	H3K4ME2	NHDFAD	wgEncodeBroadHistoneNhdfadH3k4me2StdAln.narrowPeak
chr2	153572155	153572155	chr2	153571335	153578149	H3K4ME2	NHDFAD	wgEncodeBroadHistoneNhdfadH3k4me2StdAln.narrowPeak
chr2	159926848	159926848	chr2	159926764	159930201	H3K4ME2	NHDFAD	wgEncodeBroadHistoneNhdfadH3k4me2StdAln.narrowPeak
chr2	221063850	221063850	chr2	221063294	221064484	H3K4ME2	NHDFAD	wgEncodeBroadHistoneNhdfadH3k4me2StdAln.narrowPeak
chr2	225434444	225434444	chr2	225434205	225436043	H3K4ME2	NHDFAD	wgEncodeBroadHistoneNhdfadH3k4me2StdAln.narrowPeak
chr2	230039816	230039816	chr2	230038678	230041259	H3K4ME2	NHDFAD	wgEncodeBroadHistoneNhdfadH3k4me2StdAln.narrowPeak
chr2	238210048	238210048	chr2	238204711	238210160	H3K4ME2	NHDFAD	wgEncodeBroadHistoneNhdfadH3k4me2StdAln.narrowPeak
chr2	238224334	238224334	chr2	238222725	238225310	H3K4ME2	NHDFAD	wgEncodeBroadHistoneNhdfadH3k4me2StdAln.narrowPeak
chr2	238635136	238635136	chr2	238634858	238635717	H3K4ME2	NHDFAD	wgEncodeBroadHistoneNhdfadH3k4me2StdAln.narrowPeak
chr3	19931169	19931169	chr3	19929773	19932094	H3K4ME2	NHDFAD	wgEncodeBroadHistoneNhdfadH3k4me2StdAln.narrowPeak
chr3	44380487	44380487	chr3	44378659	44382542	H3K4ME2	NHDFAD	wgEncodeBroadHistoneNhdfadH3k4me2StdAln.narrowPeak
chr3	155743406	155743406	chr3	155742403	155743649	H3K4ME2	NHDFAD	wgEncodeBroadHistoneNhdfadH3k4me2StdAln.narrowPeak
chr4	3454453	3454453	chr4	3453374	3454502	H3K4ME2	NHDFAD	wgEncodeBroadHistoneNhdfadH3k4me2StdAln.narrowPeak
