Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chrX	146993388	146993389	POL2_MCF10AES	146993327	146993520	NM_001185075	146991468	146993467	5P1	FMR1	2332	hsa03013
chrX	146993388	146993389	POL2_MCF10AES	146993327	146993520	NM_001185076	146991468	146993467	5P1	FMR1	2332	hsa03013
chrX	146993388	146993389	POL2_MCF10AES	146993327	146993520	NR_033699	146991468	146993467	5P1	FMR1	2332	hsa03013
chrX	146993388	146993389	POL2_MCF10AES	146993327	146993520	NM_002024	146991468	146993467	5P1	FMR1	2332	hsa03013
chrX	146993388	146993389	POL2_MCF10AES	146993327	146993520	NM_001185082	146991468	146993467	5P1	FMR1	2332	hsa03013
chrX	146993388	146993389	POL2_MCF10AES	146993327	146993520	NM_001185081	146991468	146993467	5P1	FMR1	2332	hsa03013
chrX	146993388	146993389	POL2_MCF10AES	146993327	146993520	NR_033700	146991468	146993467	5P1	FMR1	2332	hsa03013
chrX	146993388	146993389	POL2_MCF10AES	146993364	146993484	NM_001185075	146991468	146993467	5P1	FMR1	2332	hsa03013
chrX	146993388	146993389	POL2_MCF10AES	146993364	146993484	NM_001185076	146991468	146993467	5P1	FMR1	2332	hsa03013
chrX	146993388	146993389	POL2_MCF10AES	146993364	146993484	NR_033699	146991468	146993467	5P1	FMR1	2332	hsa03013
chrX	146993388	146993389	POL2_MCF10AES	146993364	146993484	NM_002024	146991468	146993467	5P1	FMR1	2332	hsa03013
chrX	146993388	146993389	POL2_MCF10AES	146993364	146993484	NM_001185082	146991468	146993467	5P1	FMR1	2332	hsa03013
chrX	146993388	146993389	POL2_MCF10AES	146993364	146993484	NM_001185081	146991468	146993467	5P1	FMR1	2332	hsa03013
chrX	146993388	146993389	POL2_MCF10AES	146993364	146993484	NR_033700	146991468	146993467	5P1	FMR1	2332	hsa03013
