Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr17	13956666	13956666	P300_HEPG2	13956655	13956938	NM_001303	13872718	13962717	5D	COX10	1352	hsa01100
chr17	41046439	41046439	P300_HEPG2	41046329	41046685	NM_000151	41042813	41050812	5P2	G6PC	2538	hsa01100
chr17	41046439	41046439	P300_HEPG2	41046329	41046685	NM_001158	41012724	41102723	3D	AOC2	314	hsa01100
chr17	41046439	41046439	P300_HEPG2	41046329	41046685	NM_009590	41012724	41102723	3D	AOC2	314	hsa01100
chr17	41046439	41046439	P300_HEPG2	41046329	41046685	NM_003734	41020140	41110139	3D	AOC3	8639	hsa01100
chr17	41046439	41046439	P300_HEPG2	41046329	41046685	NM_001270397	41042813	41050812	5P2	G6PC	2538	hsa01100
chr17	41046439	41046439	P300_HEPG2	41046354	41046574	NM_000151	41042813	41050812	5P2	G6PC	2538	hsa01100
chr17	41046439	41046439	P300_HEPG2	41046354	41046574	NM_001158	41012724	41102723	3D	AOC2	314	hsa01100
chr17	41046439	41046439	P300_HEPG2	41046354	41046574	NM_009590	41012724	41102723	3D	AOC2	314	hsa01100
chr17	41046439	41046439	P300_HEPG2	41046354	41046574	NM_003734	41020140	41110139	3D	AOC3	8639	hsa01100
chr17	41046439	41046439	P300_HEPG2	41046354	41046574	NM_001270397	41042813	41050812	5P2	G6PC	2538	hsa01100
