Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727599	7728079	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr1	36789545	36789545	chr1	36788719	36789643	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr1	42680326	42680326	chr1	42680228	42680638	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr2	144282077	144282077	chr2	144281729	144282100	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr2	221063850	221063850	chr2	221063592	221064183	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr2	238224334	238224334	chr2	238223754	238224878	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr2	238235081	238235081	chr2	238234952	238235413	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr3	19931169	19931169	chr3	19930558	19931224	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr3	44380487	44380487	chr3	44379390	44380501	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr3	52968725	52968725	chr3	52968616	52969061	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr3	134437954	134437954	chr3	134437361	134438039	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr3	148466362	148466362	chr3	148466219	148466376	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr4	40196548	40196548	chr4	40196443	40196838	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr4	57941159	57941159	chr4	57940853	57941359	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr4	170580817	170580817	chr4	170580716	170581880	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr4	186909595	186909595	chr4	186909568	186909688	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr5	64106917	64106917	chr5	64106912	64107230	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr5	137797379	137797379	chr5	137796954	137797450	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr5	137805651	137805651	chr5	137805442	137807117	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr5	167913602	167913602	chr5	167913205	167914000	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr6	84140037	84140037	chr6	84139662	84140189	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr6	130073290	130073290	chr6	130072999	130073401	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr6	138409766	138409766	chr6	138409302	138409951	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr6	170862335	170862335	chr6	170862083	170862664	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr7	130009352	130009352	chr7	130009296	130009436	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr8	95316255	95316255	chr8	95315809	95316353	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr9	14199421	14199421	chr9	14199153	14199520	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr9	98541231	98541231	chr9	98541087	98541718	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr9	115983539	115983539	chr9	115983372	115984060	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr10	13341377	13341377	chr10	13341318	13342327	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr10	29430623	29430623	chr10	29429886	29431131	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr10	114715688	114715688	chr10	114715480	114716137	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr11	12290811	12290811	chr11	12290641	12291082	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr11	36056921	36056921	chr11	36056420	36056927	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr11	47600437	47600437	chr11	47600085	47600765	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr11	47907640	47907640	chr11	47907578	47907961	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr11	128729844	128729844	chr11	128729802	128730010	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr12	49390676	49390676	chr12	49390529	49390891	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr12	58299249	58299249	chr12	58299079	58299479	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr12	58705074	58705074	chr12	58704278	58705200	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr12	95567464	95567464	chr12	95567226	95568035	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr12	124983615	124983615	chr12	124982943	124983749	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr13	111365588	111365588	chr13	111364432	111366185	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr14	34155697	34155697	chr14	34155542	34155799	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr14	43463395	43463395	chr14	43463288	43463572	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr14	52250689	52250689	chr14	52250456	52250894	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr17	959514	959514	chr17	959331	959589	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr17	42754776	42754776	chr17	42754623	42754880	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr17	74519373	74519373	chr17	74519280	74519400	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr19	4769739	4769739	chr19	4769500	4769851	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr19	49621963	49621963	chr19	49621791	49622746	SM_SFM	SM_SFMDukeDNaseSeq.pk
chr22	18560569	18560569	chr22	18560349	18560953	SM_SFM	SM_SFMDukeDNaseSeq.pk
