Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727692	7727901	CTCF	A549	spp.optimal.wgEncodeHaibTfbsA549CtcfPcr1xDexaAlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr1xDexaAlnRep0.narrowPeak
chr1	7727853	7727853	chr1	7727695	7727905	CTCF	A549	spp.optimal.wgEncodeHaibTfbsA549CtcfPcr1xEtoh02AlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr1xEtoh02AlnRep1.narrowPeak
chr4	3454453	3454453	chr4	3454279	3454488	CTCF	A549	spp.optimal.wgEncodeHaibTfbsA549CtcfPcr1xEtoh02AlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr1xEtoh02AlnRep1.narrowPeak
chr4	3454453	3454453	chr4	3454305	3454488	CTCF	A549	spp.optimal.wgEncodeHaibTfbsA549CtcfPcr1xDexaAlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr1xDexaAlnRep0.narrowPeak
chr6	130073290	130073290	chr6	130073099	130073308	CTCF	A549	spp.optimal.wgEncodeHaibTfbsA549CtcfPcr1xEtoh02AlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr1xEtoh02AlnRep1.narrowPeak
chr9	4090723	4090723	chr9	4090600	4090783	CTCF	A549	spp.optimal.wgEncodeHaibTfbsA549CtcfPcr1xDexaAlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr1xDexaAlnRep0.narrowPeak
chr11	128729844	128729844	chr11	128729829	128730012	CTCF	A549	spp.optimal.wgEncodeHaibTfbsA549CtcfPcr1xDexaAlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr1xDexaAlnRep0.narrowPeak
chr11	128729844	128729844	chr11	128729821	128730030	CTCF	A549	spp.optimal.wgEncodeHaibTfbsA549CtcfPcr1xEtoh02AlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr1xEtoh02AlnRep1.narrowPeak
chr12	49390676	49390676	chr12	49390611	49390776	CTCF	A549	spp.optimal.wgEncodeHaibTfbsA549CtcfPcr1xEtoh02AlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr1xEtoh02AlnRep1.narrowPeak
chr12	49390676	49390676	chr12	49390618	49390753	CTCF	A549	spp.optimal.wgEncodeHaibTfbsA549CtcfPcr1xDexaAlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr1xDexaAlnRep0.narrowPeak
chr12	58299249	58299249	chr12	58299146	58299428	CTCF	A549	spp.optimal.wgEncodeHaibTfbsA549CtcfPcr1xEtoh02AlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr1xEtoh02AlnRep1.narrowPeak
chr12	58299249	58299249	chr12	58299168	58299423	CTCF	A549	spp.optimal.wgEncodeHaibTfbsA549CtcfPcr1xDexaAlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr1xDexaAlnRep0.narrowPeak
chr17	959514	959514	chr17	959384	959567	CTCF	A549	spp.optimal.wgEncodeHaibTfbsA549CtcfPcr1xDexaAlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr1xDexaAlnRep0.narrowPeak
chr17	74519373	74519373	chr17	74519263	74519463	CTCF	A549	spp.optimal.wgEncodeHaibTfbsA549CtcfPcr1xEtoh02AlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr1xEtoh02AlnRep1.narrowPeak
chr17	74519373	74519373	chr17	74519273	74519451	CTCF	A549	spp.optimal.wgEncodeHaibTfbsA549CtcfPcr1xDexaAlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr1xDexaAlnRep0.narrowPeak
chr18	48188791	48188791	chr18	48188606	48188815	CTCF	A549	spp.optimal.wgEncodeHaibTfbsA549CtcfPcr1xEtoh02AlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr1xEtoh02AlnRep1.narrowPeak
chr19	495721	495721	chr19	495714	495897	CTCF	A549	spp.optimal.wgEncodeHaibTfbsA549CtcfPcr1xDexaAlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr1xDexaAlnRep0.narrowPeak
chr19	495721	495721	chr19	495721	495930	CTCF	A549	spp.optimal.wgEncodeHaibTfbsA549CtcfPcr1xEtoh02AlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr1xEtoh02AlnRep1.narrowPeak
chr19	4941455	4941455	chr19	4941312	4941495	CTCF	A549	spp.optimal.wgEncodeHaibTfbsA549CtcfPcr1xDexaAlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr1xDexaAlnRep0.narrowPeak
chr21	38539118	38539118	chr21	38539056	38539239	CTCF	A549	spp.optimal.wgEncodeHaibTfbsA549CtcfPcr1xDexaAlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr1xDexaAlnRep0.narrowPeak
