Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727657	7727913	CTCF	HPF	spp.optimal.wgEncodeUwTfbsHpfCtcfStdAlnRep0_VS_wgEncodeUwTfbsHpfInputStdAlnRep1.narrowPeak
chr4	3454453	3454453	chr4	3454255	3454504	CTCF	HPF	spp.optimal.wgEncodeUwTfbsHpfCtcfStdAlnRep0_VS_wgEncodeUwTfbsHpfInputStdAlnRep1.narrowPeak
chr6	136359445	136359445	chr6	136359405	136359654	CTCF	HPF	spp.optimal.wgEncodeUwTfbsHpfCtcfStdAlnRep0_VS_wgEncodeUwTfbsHpfInputStdAlnRep1.narrowPeak
chr11	128729844	128729844	chr11	128729839	128730027	CTCF	HPF	spp.optimal.wgEncodeUwTfbsHpfCtcfStdAlnRep0_VS_wgEncodeUwTfbsHpfInputStdAlnRep1.narrowPeak
chr12	49390676	49390676	chr12	49390582	49390799	CTCF	HPF	spp.optimal.wgEncodeUwTfbsHpfCtcfStdAlnRep0_VS_wgEncodeUwTfbsHpfInputStdAlnRep1.narrowPeak
chr12	58299249	58299249	chr12	58299172	58299440	CTCF	HPF	spp.optimal.wgEncodeUwTfbsHpfCtcfStdAlnRep0_VS_wgEncodeUwTfbsHpfInputStdAlnRep1.narrowPeak
chr17	959514	959514	chr17	959409	959538	CTCF	HPF	spp.optimal.wgEncodeUwTfbsHpfCtcfStdAlnRep0_VS_wgEncodeUwTfbsHpfInputStdAlnRep1.narrowPeak
chr17	74519373	74519373	chr17	74519235	74519459	CTCF	HPF	spp.optimal.wgEncodeUwTfbsHpfCtcfStdAlnRep0_VS_wgEncodeUwTfbsHpfInputStdAlnRep1.narrowPeak
chr18	48188791	48188791	chr18	48188599	48188848	CTCF	HPF	spp.optimal.wgEncodeUwTfbsHpfCtcfStdAlnRep0_VS_wgEncodeUwTfbsHpfInputStdAlnRep1.narrowPeak
chr19	495721	495721	chr19	495706	495955	CTCF	HPF	spp.optimal.wgEncodeUwTfbsHpfCtcfStdAlnRep0_VS_wgEncodeUwTfbsHpfInputStdAlnRep1.narrowPeak
chr19	4941455	4941455	chr19	4941280	4941529	CTCF	HPF	spp.optimal.wgEncodeUwTfbsHpfCtcfStdAlnRep0_VS_wgEncodeUwTfbsHpfInputStdAlnRep1.narrowPeak
