Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr4	40196548	40196548	chr4	40196252	40196701	POL2	PBDE	spp.optimal.wgEncodeSydhTfbsPbdePol2UcdAlnRep0_VS_wgEncodeSydhTfbsPbdeInputUcdAln.narrowPeak
chr5	137805651	137805651	chr5	137804867	137806310	POL2	PBDE	spp.optimal.wgEncodeSydhTfbsPbdePol2UcdAlnRep0_VS_wgEncodeSydhTfbsPbdeInputUcdAln.narrowPeak
chr5	137805651	137805651	chr5	137804867	137806310	POL2	PBDE	spp.optimal.wgEncodeSydhTfbsPbdePol2UcdAlnRep0_VS_wgEncodeSydhTfbsPbdeInputUcdAln.narrowPeak
chr5	137805651	137805651	chr5	137804867	137806310	POL2	PBDE	spp.optimal.wgEncodeSydhTfbsPbdePol2UcdAlnRep0_VS_wgEncodeSydhTfbsPbdeInputUcdAln.narrowPeak
chr5	149310446	149310446	chr5	149310389	149310838	POL2	PBDE	spp.optimal.wgEncodeSydhTfbsPbdePol2UcdAlnRep0_VS_wgEncodeSydhTfbsPbdeInputUcdAln.narrowPeak
chr5	167913602	167913602	chr5	167913355	167913692	POL2	PBDE	spp.optimal.wgEncodeSydhTfbsPbdePol2UcdAlnRep0_VS_wgEncodeSydhTfbsPbdeInputUcdAln.narrowPeak
chr6	170862335	170862335	chr6	170862084	170862524	POL2	PBDE	spp.optimal.wgEncodeSydhTfbsPbdePol2UcdAlnRep0_VS_wgEncodeSydhTfbsPbdeInputUcdAln.narrowPeak
chr13	111365588	111365588	chr13	111365305	111365955	POL2	PBDE	spp.optimal.wgEncodeSydhTfbsPbdePol2UcdAlnRep0_VS_wgEncodeSydhTfbsPbdeInputUcdAln.narrowPeak
chr16	637211	637211	chr16	636270	637305	POL2	PBDE	spp.optimal.wgEncodeSydhTfbsPbdePol2UcdAlnRep0_VS_wgEncodeSydhTfbsPbdeInputUcdAln.narrowPeak
chr16	637211	637211	chr16	636270	637305	POL2	PBDE	spp.optimal.wgEncodeSydhTfbsPbdePol2UcdAlnRep0_VS_wgEncodeSydhTfbsPbdeInputUcdAln.narrowPeak
chr16	637211	637211	chr16	637105	637554	POL2	PBDE	spp.optimal.wgEncodeSydhTfbsPbdePol2UcdAlnRep0_VS_wgEncodeSydhTfbsPbdeInputUcdAln.narrowPeak
chr18	3653421	3653421	chr18	3652686	3654346	POL2	PBDE	spp.optimal.wgEncodeSydhTfbsPbdePol2UcdAlnRep0_VS_wgEncodeSydhTfbsPbdeInputUcdAln.narrowPeak
chr18	3653421	3653421	chr18	3652686	3654346	POL2	PBDE	spp.optimal.wgEncodeSydhTfbsPbdePol2UcdAlnRep0_VS_wgEncodeSydhTfbsPbdeInputUcdAln.narrowPeak
chr18	3653421	3653421	chr18	3652686	3654346	POL2	PBDE	spp.optimal.wgEncodeSydhTfbsPbdePol2UcdAlnRep0_VS_wgEncodeSydhTfbsPbdeInputUcdAln.narrowPeak
chr18	3653421	3653421	chr18	3652686	3654346	POL2	PBDE	spp.optimal.wgEncodeSydhTfbsPbdePol2UcdAlnRep0_VS_wgEncodeSydhTfbsPbdeInputUcdAln.narrowPeak
chr19	49621963	49621963	chr19	49621760	49622209	POL2	PBDE	spp.optimal.wgEncodeSydhTfbsPbdePol2UcdAlnRep0_VS_wgEncodeSydhTfbsPbdeInputUcdAln.narrowPeak
