Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr19	12995238	12998702	POL24H8_K562	12995735	12995863	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	POL24H8_K562	12995735	12995863	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	POL24H8_K562	12995735	12995863	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	POL24H8_K562	12995735	12995863	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	POL24H8_K562	12995831	12996074	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	POL24H8_K562	12995831	12996074	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	POL24H8_K562	12995831	12996074	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	POL24H8_K562	12995831	12996074	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	POL24H8_K562	12997118	12997244	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	POL24H8_K562	12997118	12997244	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	POL24H8_K562	12997118	12997244	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	POL24H8_K562	12997118	12997244	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	POL24H8_K562	12997848	12997977	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	POL24H8_K562	12997848	12997977	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	POL24H8_K562	12997848	12997977	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	POL24H8_K562	12997848	12997977	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	POL24H8_K562	12997879	12998122	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	POL24H8_K562	12997879	12998122	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	POL24H8_K562	12997879	12998122	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	POL24H8_K562	12997879	12998122	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	POL24H8_K562	12998395	12998473	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	POL24H8_K562	12998395	12998473	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	POL24H8_K562	12998395	12998473	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	POL24H8_K562	12998395	12998473	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa00310
