Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727693	7727914	SMC3AB9263	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3Smc3ab9263IggrabAlnRep0_VS_wgEncodeSydhTfbsHelas3InputIggrabAlnRep1.narrowPeak
chr1	202075668	202075668	chr1	202075494	202075729	SMC3AB9263	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3Smc3ab9263IggrabAlnRep0_VS_wgEncodeSydhTfbsHelas3InputIggrabAlnRep1.narrowPeak
chr3	52968725	52968725	chr3	52968710	52968945	SMC3AB9263	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3Smc3ab9263IggrabAlnRep0_VS_wgEncodeSydhTfbsHelas3InputIggrabAlnRep1.narrowPeak
chr6	130073290	130073290	chr6	130073061	130073296	SMC3AB9263	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3Smc3ab9263IggrabAlnRep0_VS_wgEncodeSydhTfbsHelas3InputIggrabAlnRep1.narrowPeak
chr12	58299249	58299249	chr12	58299163	58299426	SMC3AB9263	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3Smc3ab9263IggrabAlnRep0_VS_wgEncodeSydhTfbsHelas3InputIggrabAlnRep1.narrowPeak
chr15	90925720	90925720	chr15	90925720	90925955	SMC3AB9263	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3Smc3ab9263IggrabAlnRep0_VS_wgEncodeSydhTfbsHelas3InputIggrabAlnRep1.narrowPeak
chr17	959514	959514	chr17	959355	959590	SMC3AB9263	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3Smc3ab9263IggrabAlnRep0_VS_wgEncodeSydhTfbsHelas3InputIggrabAlnRep1.narrowPeak
chr17	74519373	74519373	chr17	74519259	74519466	SMC3AB9263	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3Smc3ab9263IggrabAlnRep0_VS_wgEncodeSydhTfbsHelas3InputIggrabAlnRep1.narrowPeak
chr21	38539118	38539118	chr21	38539058	38539293	SMC3AB9263	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3Smc3ab9263IggrabAlnRep0_VS_wgEncodeSydhTfbsHelas3InputIggrabAlnRep1.narrowPeak
chr21	42818789	42818789	chr21	42818672	42818907	SMC3AB9263	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3Smc3ab9263IggrabAlnRep0_VS_wgEncodeSydhTfbsHelas3InputIggrabAlnRep1.narrowPeak
