Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727465	7728150	D721	D721DukeDNaseSeq.pk
chr1	204940971	204940971	chr1	204939659	204942384	D721	D721DukeDNaseSeq.pk
chr2	233398214	233398214	chr2	233398174	233398259	D721	D721DukeDNaseSeq.pk
chr2	238635136	238635136	chr2	238635045	238635389	D721	D721DukeDNaseSeq.pk
chr3	12857492	12857492	chr3	12857010	12857496	D721	D721DukeDNaseSeq.pk
chr3	126265705	126265705	chr3	126265665	126266453	D721	D721DukeDNaseSeq.pk
chr3	141668452	141668452	chr3	141668278	141668496	D721	D721DukeDNaseSeq.pk
chr3	194080915	194080915	chr3	194080678	194080915	D721	D721DukeDNaseSeq.pk
chr4	7395822	7395822	chr4	7395229	7396092	D721	D721DukeDNaseSeq.pk
chr4	7529366	7529366	chr4	7528370	7529740	D721	D721DukeDNaseSeq.pk
chr5	137782203	137782203	chr5	137781229	137782767	D721	D721DukeDNaseSeq.pk
chr5	167913602	167913602	chr5	167913165	167913837	D721	D721DukeDNaseSeq.pk
chr5	173738576	173738576	chr5	173738356	173739592	D721	D721DukeDNaseSeq.pk
chr5	177842787	177842787	chr5	177842696	177843401	D721	D721DukeDNaseSeq.pk
chr5	178657016	178657016	chr5	178656472	178657446	D721	D721DukeDNaseSeq.pk
chr5	178750376	178750376	chr5	178749871	178750546	D721	D721DukeDNaseSeq.pk
chr5	179564140	179564140	chr5	179564043	179565776	D721	D721DukeDNaseSeq.pk
chr6	170862335	170862335	chr6	170862315	170862535	D721	D721DukeDNaseSeq.pk
chr7	128367891	128367891	chr7	128367700	128367979	D721	D721DukeDNaseSeq.pk
chr7	155257893	155257893	chr7	155257648	155258049	D721	D721DukeDNaseSeq.pk
chr8	25397952	25397952	chr8	25397863	25398049	D721	D721DukeDNaseSeq.pk
chr8	95687334	95687334	chr8	95687264	95687484	D721	D721DukeDNaseSeq.pk
chr8	140847891	140847891	chr8	140847633	140848226	D721	D721DukeDNaseSeq.pk
chr8	142295964	142295964	chr8	142295511	142300447	D721	D721DukeDNaseSeq.pk
chr8	143867904	143867904	chr8	143867724	143867954	D721	D721DukeDNaseSeq.pk
chr8	143887956	143887956	chr8	143887331	143890108	D721	D721DukeDNaseSeq.pk
chr9	98359187	98359187	chr9	98358623	98359229	D721	D721DukeDNaseSeq.pk
chr9	115983539	115983539	chr9	115983471	115984034	D721	D721DukeDNaseSeq.pk
chr10	5706021	5706021	chr10	5705978	5706125	D721	D721DukeDNaseSeq.pk
chr10	61570573	61570573	chr10	61570404	61570810	D721	D721DukeDNaseSeq.pk
chr10	73820000	73820000	chr10	73818901	73820504	D721	D721DukeDNaseSeq.pk
chr11	35161075	35161075	chr11	35160388	35162053	D721	D721DukeDNaseSeq.pk
chr11	44906253	44906253	chr11	44906034	44906504	D721	D721DukeDNaseSeq.pk
chr11	47600437	47600437	chr11	47599931	47600996	D721	D721DukeDNaseSeq.pk
chr11	119218529	119218529	chr11	119218392	119218658	D721	D721DukeDNaseSeq.pk
chr11	120678018	120678018	chr11	120677904	120678041	D721	D721DukeDNaseSeq.pk
chr11	128729844	128729844	chr11	128729729	128730071	D721	D721DukeDNaseSeq.pk
chr12	662447	662447	chr12	662387	662556	D721	D721DukeDNaseSeq.pk
chr12	49390676	49390676	chr12	49390420	49390936	D721	D721DukeDNaseSeq.pk
chr12	50298534	50298534	chr12	50297139	50298670	D721	D721DukeDNaseSeq.pk
chr12	50306147	50306147	chr12	50306127	50306201	D721	D721DukeDNaseSeq.pk
chr12	58299249	58299249	chr12	58299056	58299479	D721	D721DukeDNaseSeq.pk
chr12	124418673	124418673	chr12	124418126	124419765	D721	D721DukeDNaseSeq.pk
chr12	125354102	125354102	chr12	125353754	125354138	D721	D721DukeDNaseSeq.pk
chr13	111365588	111365588	chr13	111364479	111365715	D721	D721DukeDNaseSeq.pk
chr14	59922319	59922319	chr14	59922240	59922347	D721	D721DukeDNaseSeq.pk
chr14	90917191	90917191	chr14	90916987	90917467	D721	D721DukeDNaseSeq.pk
chr14	104859418	104859418	chr14	104859206	104859982	D721	D721DukeDNaseSeq.pk
chr15	99500073	99500073	chr15	99499549	99500093	D721	D721DukeDNaseSeq.pk
chr16	633353	633353	chr16	632130	634977	D721	D721DukeDNaseSeq.pk
chr16	1495299	1495299	chr16	1492263	1497388	D721	D721DukeDNaseSeq.pk
chr17	959514	959514	chr17	959022	960537	D721	D721DukeDNaseSeq.pk
chr17	3591821	3591821	chr17	3591243	3592420	D721	D721DukeDNaseSeq.pk
chr17	4316477	4316477	chr17	4316353	4316907	D721	D721DukeDNaseSeq.pk
chr17	36605489	36605489	chr17	36605426	36605554	D721	D721DukeDNaseSeq.pk
chr17	36898392	36898392	chr17	36898011	36899239	D721	D721DukeDNaseSeq.pk
chr17	73819524	73819524	chr17	73816307	73821827	D721	D721DukeDNaseSeq.pk
chr17	74519373	74519373	chr17	74519110	74519730	D721	D721DukeDNaseSeq.pk
chr17	76560376	76560376	chr17	76560104	76560433	D721	D721DukeDNaseSeq.pk
chr17	78726260	78726260	chr17	78725956	78726409	D721	D721DukeDNaseSeq.pk
chr17	79026484	79026484	chr17	79025865	79027478	D721	D721DukeDNaseSeq.pk
chr17	80757537	80757537	chr17	80757513	80758032	D721	D721DukeDNaseSeq.pk
chr17	80769811	80769811	chr17	80769729	80770243	D721	D721DukeDNaseSeq.pk
chr18	46102927	46102927	chr18	46102563	46103030	D721	D721DukeDNaseSeq.pk
chr18	48188791	48188791	chr18	48188617	48188910	D721	D721DukeDNaseSeq.pk
chr18	73865793	73865793	chr18	73863056	73866481	D721	D721DukeDNaseSeq.pk
chr19	495721	495721	chr19	495016	495955	D721	D721DukeDNaseSeq.pk
chr19	1828947	1828947	chr19	1825772	1829105	D721	D721DukeDNaseSeq.pk
chr19	3448693	3448693	chr19	3448611	3448791	D721	D721DukeDNaseSeq.pk
chr19	4555309	4555309	chr19	4554586	4555786	D721	D721DukeDNaseSeq.pk
chr19	4585170	4585170	chr19	4583777	4585394	D721	D721DukeDNaseSeq.pk
chr19	4769739	4769739	chr19	4768782	4769839	D721	D721DukeDNaseSeq.pk
chr19	4941455	4941455	chr19	4941308	4941616	D721	D721DukeDNaseSeq.pk
chr19	4953350	4953350	chr19	4952889	4953506	D721	D721DukeDNaseSeq.pk
chr19	17760939	17760939	chr19	17760761	17760965	D721	D721DukeDNaseSeq.pk
chr19	49621963	49621963	chr19	49621783	49623904	D721	D721DukeDNaseSeq.pk
chr19	51173217	51173217	chr19	51172245	51173394	D721	D721DukeDNaseSeq.pk
chr20	61279979	61279979	chr20	61279126	61280082	D721	D721DukeDNaseSeq.pk
chr21	27520110	27520110	chr21	27519962	27520158	D721	D721DukeDNaseSeq.pk
chr21	46488168	46488168	chr21	46487753	46488219	D721	D721DukeDNaseSeq.pk
chr22	17587679	17587679	chr22	17587072	17588844	D721	D721DukeDNaseSeq.pk
chr22	18560569	18560569	chr22	18560415	18561203	D721	D721DukeDNaseSeq.pk
chr22	24036656	24036656	chr22	24036600	24036814	D721	D721DukeDNaseSeq.pk
