Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727740	7727889	HMEC	HMEC-DS13921.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680320	42680469	HMEC	HMEC-DS13921.peaks.fdr0.01.hg19.bed
chr1	183188061	183188061	chr1	183188040	183188189	HMEC	HMEC-DS13921.peaks.fdr0.01.hg19.bed
chr1	195927450	195927450	chr1	195927380	195927529	HMEC	HMEC-DS13921.peaks.fdr0.01.hg19.bed
chr1	202075668	202075668	chr1	202075540	202075689	HMEC	HMEC-DS8680.peaks.fdr0.01.hg19.bed
chr1	202075668	202075668	chr1	202075560	202075709	HMEC	HMEC-DS13921.peaks.fdr0.01.hg19.bed
chr2	196196133	196196133	chr2	196196040	196196189	HMEC	HMEC-DS13921.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063780	221063929	HMEC	HMEC-DS8680.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063820	221063969	HMEC	HMEC-DS13921.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462920	4463069	HMEC	HMEC-DS8680.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462960	4463109	HMEC	HMEC-DS13921.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941020	57941169	HMEC	HMEC-DS13921.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941060	57941209	HMEC	HMEC-DS8680.peaks.fdr0.01.hg19.bed
chr4	170580817	170580817	chr4	170580720	170580869	HMEC	HMEC-DS8680.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767120	70767269	HMEC	HMEC-DS8680.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767140	70767289	HMEC	HMEC-DS13921.peaks.fdr0.01.hg19.bed
chr5	137822865	137822865	chr5	137822840	137822989	HMEC	HMEC-DS13921.peaks.fdr0.01.hg19.bed
chr5	137822865	137822865	chr5	137822840	137822989	HMEC	HMEC-DS8680.peaks.fdr0.01.hg19.bed
chr6	138409766	138409766	chr6	138409540	138409829	HMEC	HMEC-DS13921.peaks.fdr0.01.hg19.bed
chr6	138409766	138409766	chr6	138409660	138409809	HMEC	HMEC-DS8680.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009220	130009369	HMEC	HMEC-DS8680.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356320	119356469	HMEC	HMEC-DS8680.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356320	119356469	HMEC	HMEC-DS13921.peaks.fdr0.01.hg19.bed
chr10	111794553	111794553	chr10	111794520	111794669	HMEC	HMEC-DS13921.peaks.fdr0.01.hg19.bed
chr10	114715688	114715688	chr10	114715680	114715829	HMEC	HMEC-DS13921.peaks.fdr0.01.hg19.bed
chr11	12290811	12290811	chr11	12290760	12290909	HMEC	HMEC-DS13921.peaks.fdr0.01.hg19.bed
chr11	56634315	56634315	chr11	56634260	56634409	HMEC	HMEC-DS8680.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729840	128729989	HMEC	HMEC-DS8680.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299220	58299369	HMEC	HMEC-DS13921.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299200	58299349	HMEC	HMEC-DS8680.peaks.fdr0.01.hg19.bed
chr14	34155697	34155697	chr14	34155600	34155749	HMEC	HMEC-DS8680.peaks.fdr0.01.hg19.bed
chr14	34155697	34155697	chr14	34155620	34155769	HMEC	HMEC-DS13921.peaks.fdr0.01.hg19.bed
chr14	50433110	50433110	chr14	50433000	50433149	HMEC	HMEC-DS13921.peaks.fdr0.01.hg19.bed
chr17	13956666	13956666	chr17	13956580	13956729	HMEC	HMEC-DS13921.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519260	74519409	HMEC	HMEC-DS13921.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519280	74519429	HMEC	HMEC-DS8680.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769600	4769749	HMEC	HMEC-DS8680.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769600	4769749	HMEC	HMEC-DS13921.peaks.fdr0.01.hg19.bed
chr19	49621963	49621963	chr19	49621940	49622089	HMEC	HMEC-DS8680.peaks.fdr0.01.hg19.bed
chr21	37872446	37872446	chr21	37872340	37872489	HMEC	HMEC-DS13921.peaks.fdr0.01.hg19.bed
chr21	37872446	37872446	chr21	37872360	37872509	HMEC	HMEC-DS8680.peaks.fdr0.01.hg19.bed
chr22	18560569	18560569	chr22	18560560	18560709	HMEC	HMEC-DS13921.peaks.fdr0.01.hg19.bed
chr22	35917545	35917545	chr22	35917520	35917669	HMEC	HMEC-DS13921.peaks.fdr0.01.hg19.bed
chr22	38158740	38158740	chr22	38158700	38158849	HMEC	HMEC-DS13921.peaks.fdr0.01.hg19.bed
