Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr3	196019679	196019679	RAD21_H1HESC	196019488	196019723	NM_005017	196016584	196024583	5P2	PCYT1A	5130	hsa01100
chr3	196019679	196019679	RAD21_H1HESC	196019489	196019718	NM_005017	196016584	196024583	5P2	PCYT1A	5130	hsa01100
chr17	74519373	74519373	RAD21_H1HESC	74519231	74519490	NM_001166579	74476199	74566198	3D	AANAT	15	hsa01100
chr17	74519373	74519373	RAD21_H1HESC	74519231	74519490	NM_001088	74476199	74566198	3D	AANAT	15	hsa01100
chr17	74519373	74519373	RAD21_H1HESC	74519256	74519462	NM_001166579	74476199	74566198	3D	AANAT	15	hsa01100
chr17	74519373	74519373	RAD21_H1HESC	74519256	74519462	NM_001088	74476199	74566198	3D	AANAT	15	hsa01100
chr21	38539118	38539118	RAD21_H1HESC	38539088	38539299	NM_153681	38455103	38545102	5D	PIGP	51227	hsa01100
chr21	38539118	38539118	RAD21_H1HESC	38539088	38539299	NR_028352	38455458	38545457	5D	PIGP	51227	hsa01100
chr21	38539118	38539118	RAD21_H1HESC	38539088	38539299	NM_153682	38455458	38545457	5D	PIGP	51227	hsa01100
chr21	38539118	38539118	RAD21_H1HESC	38539111	38539231	NM_153681	38455103	38545102	5D	PIGP	51227	hsa01100
chr21	38539118	38539118	RAD21_H1HESC	38539111	38539231	NR_028352	38455458	38545457	5D	PIGP	51227	hsa01100
chr21	38539118	38539118	RAD21_H1HESC	38539111	38539231	NM_153682	38455458	38545457	5D	PIGP	51227	hsa01100
