Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	3197746	3197746	chr1	3190797	3203660	H3K27ME3	HELAS3	wgEncodeBroadHistoneHelas3H3k27me3StdAln.narrowPeak
chr1	4554213	4554213	chr1	4553364	4558106	H3K27ME3	HELAS3	wgEncodeBroadHistoneHelas3H3k27me3StdAln.narrowPeak
chr1	13885202	13885202	chr1	13884850	13887507	H3K27ME3	HELAS3	wgEncodeBroadHistoneHelas3H3k27me3StdAln.narrowPeak
chr1	18697148	18697148	chr1	18694885	18697635	H3K27ME3	HELAS3	wgEncodeBroadHistoneHelas3H3k27me3StdAln.narrowPeak
chr1	30141898	30141898	chr1	30136896	30142951	H3K27ME3	HELAS3	wgEncodeBroadHistoneHelas3H3k27me3StdAln.narrowPeak
chr1	31170236	31170236	chr1	31169138	31171692	H3K27ME3	HELAS3	wgEncodeBroadHistoneHelas3H3k27me3StdAln.narrowPeak
chr1	31177072	31177072	chr1	31174892	31186967	H3K27ME3	HELAS3	wgEncodeBroadHistoneHelas3H3k27me3StdAln.narrowPeak
chr1	34424392	34424392	chr1	34418779	34426748	H3K27ME3	HELAS3	wgEncodeBroadHistoneHelas3H3k27me3StdAln.narrowPeak
chr1	39059002	39059002	chr1	39058786	39063218	H3K27ME3	HELAS3	wgEncodeBroadHistoneHelas3H3k27me3StdAln.narrowPeak
chr1	41085925	41085925	chr1	41085475	41086371	H3K27ME3	HELAS3	wgEncodeUwHistoneHelas3H3k27me3StdAln.narrowPeak
chr1	41085925	41085925	chr1	41085580	41090941	H3K27ME3	HELAS3	wgEncodeBroadHistoneHelas3H3k27me3StdAln.narrowPeak
chr1	49076125	49076125	chr1	49070809	49078607	H3K27ME3	HELAS3	wgEncodeBroadHistoneHelas3H3k27me3StdAln.narrowPeak
chr1	61485567	61485567	chr1	61480960	61485591	H3K27ME3	HELAS3	wgEncodeBroadHistoneHelas3H3k27me3StdAln.narrowPeak
chr1	112823821	112823821	chr1	112816282	112831140	H3K27ME3	HELAS3	wgEncodeBroadHistoneHelas3H3k27me3StdAln.narrowPeak
chr1	112830327	112830327	chr1	112816282	112831140	H3K27ME3	HELAS3	wgEncodeBroadHistoneHelas3H3k27me3StdAln.narrowPeak
chr1	114720017	114720017	chr1	114704666	114725349	H3K27ME3	HELAS3	wgEncodeBroadHistoneHelas3H3k27me3StdAln.narrowPeak
chr1	153338750	153338750	chr1	153333894	153339611	H3K27ME3	HELAS3	wgEncodeBroadHistoneHelas3H3k27me3StdAln.narrowPeak
chr1	153416035	153416035	chr1	153415547	153418158	H3K27ME3	HELAS3	wgEncodeBroadHistoneHelas3H3k27me3StdAln.narrowPeak
chr1	153452830	153452830	chr1	153450574	153454160	H3K27ME3	HELAS3	wgEncodeBroadHistoneHelas3H3k27me3StdAln.narrowPeak
chr1	165186489	165186489	chr1	165181148	165187058	H3K27ME3	HELAS3	wgEncodeBroadHistoneHelas3H3k27me3StdAln.narrowPeak
chr1	166047795	166047795	chr1	166047284	166050634	H3K27ME3	HELAS3	wgEncodeBroadHistoneHelas3H3k27me3StdAln.narrowPeak
