Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727334	7728814	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr1	36789545	36789545	chr1	36788366	36790058	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr1	113248364	113248364	chr1	113246776	113250961	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr1	172353470	172353470	chr1	172351884	172354093	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr1	183188061	183188061	chr1	183187145	183188527	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr1	183241261	183241261	chr1	183240949	183243033	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr2	102315056	102315056	chr2	102312535	102315159	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr2	144282077	144282077	chr2	144281285	144283738	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr2	221063850	221063850	chr2	221062732	221064894	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr2	238224334	238224334	chr2	238222617	238225379	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr3	19931169	19931169	chr3	19929688	19932391	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr3	44380487	44380487	chr3	44378469	44381692	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr3	52968725	52968725	chr3	52968335	52969326	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr4	3454453	3454453	chr4	3453541	3454472	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr4	88313178	88313178	chr4	88311464	88313886	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr4	170580817	170580817	chr4	170580521	170582143	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr5	103182240	103182240	chr5	103182166	103183865	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr5	137797379	137797379	chr5	137796322	137798067	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr5	137802403	137802403	chr5	137798717	137803094	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr5	149310446	149310446	chr5	149309425	149312938	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr5	167913602	167913602	chr5	167911772	167914780	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr5	173738576	173738576	chr5	173737995	173739654	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr6	6712344	6712344	chr6	6712065	6716154	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr6	26103176	26103176	chr6	26102574	26105063	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr6	71914837	71914837	chr6	71914573	71916764	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr6	84140037	84140037	chr6	84139267	84141800	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr6	130069290	130069290	chr6	130069047	130071539	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr6	130073290	130073290	chr6	130072262	130074341	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr6	136359445	136359445	chr6	136356116	136360065	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr6	160210060	160210060	chr6	160209332	160212588	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr6	169357723	169357723	chr6	169355720	169358934	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr6	170862335	170862335	chr6	170861526	170864902	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr7	130012956	130012956	chr7	130011987	130015281	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr8	26437075	26437075	chr8	26435393	26437967	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr9	115983539	115983539	chr9	115982359	115985185	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr10	6363556	6363556	chr10	6362510	6364696	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr10	13341377	13341377	chr10	13340867	13342857	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr10	29430623	29430623	chr10	29429124	29432598	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr11	8939886	8939886	chr11	8937864	8939968	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr11	9648720	9648720	chr11	9647630	9649204	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr11	12290811	12290811	chr11	12290253	12292625	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr11	35109674	35109674	chr11	35108754	35110463	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr11	35161075	35161075	chr11	35159772	35162160	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr11	47600437	47600437	chr11	47599592	47601489	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr11	47907640	47907640	chr11	47906792	47908078	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr11	127900100	127900100	chr11	127899287	127901916	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr11	128708008	128708008	chr11	128705521	128708238	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr12	6340387	6340387	chr12	6337695	6340684	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr12	49390676	49390676	chr12	49390204	49394436	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr12	50298534	50298534	chr12	50297019	50298926	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr12	58299249	58299249	chr12	58298857	58299667	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr12	83437182	83437182	chr12	83435787	83437530	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr13	34491719	34491719	chr13	34491352	34493513	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr13	60969093	60969093	chr13	60968841	60973283	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr13	67816734	67816734	chr13	67816293	67817380	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr13	111365588	111365588	chr13	111363652	111367843	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr14	50433110	50433110	chr14	50432096	50433821	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr14	52250689	52250689	chr14	52250068	52251313	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr14	52326084	52326084	chr14	52325461	52330122	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr14	52732722	52732722	chr14	52732024	52736385	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr14	64700044	64700044	chr14	64698670	64700096	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr15	86726593	86726593	chr15	86725870	86727852	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr15	90895957	90895957	chr15	90894651	90896401	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr16	14098820	14098820	chr16	14096126	14099339	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr16	57024661	57024661	chr16	57022031	57025110	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr16	57771125	57771125	chr16	57768404	57771470	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr16	83170416	83170416	chr16	83170411	83171973	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr17	4316477	4316477	chr17	4316129	4317063	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr17	55289932	55289932	chr17	55287377	55290012	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr17	73871466	73871466	chr17	73871309	73875156	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr18	3653421	3653421	chr18	3652489	3653561	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr19	1847697	1847697	chr19	1847241	1849171	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr19	4585170	4585170	chr19	4583904	4585530	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr19	29226803	29226803	chr19	29226662	29229198	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr19	49621963	49621963	chr19	49621407	49623798	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr19	53634926	53634926	chr19	53634801	53636814	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr21	35322689	35322689	chr21	35319385	35322721	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr21	37872446	37872446	chr21	37871556	37872881	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr22	18560569	18560569	chr22	18558284	18561768	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
chr22	19733810	19733810	chr22	19731843	19734230	H2AZ	HSMM	wgEncodeBroadHistoneHsmmH2azStdAln.narrowPeak
