Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr11	128729844	128729844	RAD21_HEPG2	128729771	128730010	NM_001271010	128693162	128783161	3D	FLI1	2313	hsa05202
chr11	128729844	128729844	RAD21_HEPG2	128729771	128730010	NM_001271012	128693162	128783161	3D	FLI1	2313	hsa05202
chr11	128729844	128729844	RAD21_HEPG2	128729771	128730010	NM_001167681	128693162	128783161	3D	FLI1	2313	hsa05202
chr11	128729844	128729844	RAD21_HEPG2	128729771	128730010	NM_002017	128693162	128783161	3D	FLI1	2313	hsa05202
chr16	1481019	1481019	RAD21_HEPG2	1480908	1481127	NM_001199097	1409442	1499441	3D	BAIAP3	8938	hsa05202
chr16	1481019	1481019	RAD21_HEPG2	1480908	1481127	NM_001199099	1409442	1499441	3D	BAIAP3	8938	hsa05202
chr16	1481019	1481019	RAD21_HEPG2	1480908	1481127	NM_001199098	1409442	1499441	3D	BAIAP3	8938	hsa05202
chr16	1481019	1481019	RAD21_HEPG2	1480908	1481127	NM_003933	1409442	1499441	3D	BAIAP3	8938	hsa05202
chr16	1481019	1481019	RAD21_HEPG2	1480908	1481127	NM_001199096	1409442	1499441	3D	BAIAP3	8938	hsa05202
chr16	1481019	1481019	RAD21_HEPG2	1480896	1481135	NM_001199097	1409442	1499441	3D	BAIAP3	8938	hsa05202
chr16	1481019	1481019	RAD21_HEPG2	1480896	1481135	NM_001199099	1409442	1499441	3D	BAIAP3	8938	hsa05202
chr16	1481019	1481019	RAD21_HEPG2	1480896	1481135	NM_001199098	1409442	1499441	3D	BAIAP3	8938	hsa05202
chr16	1481019	1481019	RAD21_HEPG2	1480896	1481135	NM_003933	1409442	1499441	3D	BAIAP3	8938	hsa05202
chr16	1481019	1481019	RAD21_HEPG2	1480896	1481135	NM_001199096	1409442	1499441	3D	BAIAP3	8938	hsa05202
