Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727655	7727931	CTCF	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2CtcfV0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr1	7727853	7727853	chr1	7727663	7727913	CTCF	HEPG2	spp.optimal.wgEncodeUwTfbsHepg2CtcfStdAlnRep0_VS_wgEncodeUwTfbsHepg2InputStdAlnRep1.narrowPeak
chr1	7727853	7727853	chr1	7727671	7727893	CTCF	HEPG2	spp.optimal.wgEncodeBroadHistoneHepg2CtcfStdAlnRep0_VS_wgEncodeBroadHistoneHepg2ControlStdAlnRep0.narrowPeak
chr3	196019679	196019679	chr3	196019470	196019753	CTCF	HEPG2	spp.optimal.wgEncodeBroadHistoneHepg2CtcfStdAlnRep0_VS_wgEncodeBroadHistoneHepg2ControlStdAlnRep0.narrowPeak
chr3	196019679	196019679	chr3	196019503	196019712	CTCF	HEPG2	spp.optimal.wgEncodeUwTfbsHepg2CtcfStdAlnRep0_VS_wgEncodeUwTfbsHepg2InputStdAlnRep1.narrowPeak
chr3	196019679	196019679	chr3	196019550	196019689	CTCF	HEPG2	spp.optimal.wgEncodeOpenChromChipHepg2CtcfAlnRep0_VS_wgEncodeOpenChromChipHepg2InputAln.narrowPeak
chr4	3454453	3454453	chr4	3454276	3454487	CTCF	HEPG2	spp.optimal.wgEncodeBroadHistoneHepg2CtcfStdAlnRep0_VS_wgEncodeBroadHistoneHepg2ControlStdAlnRep0.narrowPeak
chr4	3454453	3454453	chr4	3454258	3454511	CTCF	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2CtcfV0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr4	3454453	3454453	chr4	3454289	3454487	CTCF	HEPG2	spp.optimal.wgEncodeUwTfbsHepg2CtcfStdAlnRep0_VS_wgEncodeUwTfbsHepg2InputStdAlnRep1.narrowPeak
chr6	136359445	136359445	chr6	136359411	136359620	CTCF	HEPG2	spp.optimal.wgEncodeUwTfbsHepg2CtcfStdAlnRep0_VS_wgEncodeUwTfbsHepg2InputStdAlnRep1.narrowPeak
