Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727720	7727869	SKNSH	SKNSH-DS8482.peaks.fdr0.01.hg19.bed
chr1	209211967	209211967	chr1	209211840	209211989	SKNSH	SKNSH-DS8476.peaks.fdr0.01.hg19.bed
chr2	129124529	129124529	chr2	129124500	129124649	SKNSH	SKNSH-DS8482.peaks.fdr0.01.hg19.bed
chr3	37962689	37962689	chr3	37962640	37962789	SKNSH	SKNSH-DS8476.peaks.fdr0.01.hg19.bed
chr3	37962689	37962689	chr3	37962640	37962789	SKNSH	SKNSH-DS8482.peaks.fdr0.01.hg19.bed
chr3	52968725	52968725	chr3	52968700	52968849	SKNSH	SKNSH-DS8482.peaks.fdr0.01.hg19.bed
chr4	158634768	158634768	chr4	158634640	158634789	SKNSH	SKNSH-DS8476.peaks.fdr0.01.hg19.bed
chr4	158634768	158634768	chr4	158634640	158634789	SKNSH	SKNSH-DS8482.peaks.fdr0.01.hg19.bed
chr5	159694356	159694356	chr5	159694220	159694369	SKNSH	SKNSH-DS8476.peaks.fdr0.01.hg19.bed
chr6	136359445	136359445	chr6	136359420	136359569	SKNSH	SKNSH-DS8476.peaks.fdr0.01.hg19.bed
chr6	136359445	136359445	chr6	136359440	136359589	SKNSH	SKNSH-DS8482.peaks.fdr0.01.hg19.bed
chr6	170862335	170862335	chr6	170862320	170862469	SKNSH	SKNSH-DS8476.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009340	130009489	SKNSH	SKNSH-DS8476.peaks.fdr0.01.hg19.bed
chr10	5706021	5706021	chr10	5705960	5706109	SKNSH	SKNSH-DS8476.peaks.fdr0.01.hg19.bed
chr10	63524978	63524978	chr10	63524940	63525089	SKNSH	SKNSH-DS8482.peaks.fdr0.01.hg19.bed
chr11	12290811	12290811	chr11	12290680	12290829	SKNSH	SKNSH-DS8482.peaks.fdr0.01.hg19.bed
chr11	119219123	119219123	chr11	119218980	119219129	SKNSH	SKNSH-DS8476.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390640	49390789	SKNSH	SKNSH-DS8476.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299220	58299369	SKNSH	SKNSH-DS8482.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299240	58299389	SKNSH	SKNSH-DS8476.peaks.fdr0.01.hg19.bed
chr12	116481665	116481665	chr12	116481560	116481709	SKNSH	SKNSH-DS8476.peaks.fdr0.01.hg19.bed
chr14	90917191	90917191	chr14	90917060	90917209	SKNSH	SKNSH-DS8476.peaks.fdr0.01.hg19.bed
chr14	90917191	90917191	chr14	90917100	90917249	SKNSH	SKNSH-DS8482.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519300	74519449	SKNSH	SKNSH-DS8476.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519300	74519449	SKNSH	SKNSH-DS8482.peaks.fdr0.01.hg19.bed
chr19	495721	495721	chr19	495620	495769	SKNSH	SKNSH-DS8476.peaks.fdr0.01.hg19.bed
chr19	495721	495721	chr19	495700	495849	SKNSH	SKNSH-DS8482.peaks.fdr0.01.hg19.bed
