Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727740	7727889	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr1	7727853	7727853	chr1	7727740	7727889	HCF	HCF-DS12491.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680320	42680469	HCF	HCF-DS12491.peaks.fdr0.01.hg19.bed
chr1	95145452	95145452	chr1	95145360	95145509	HCF	HCF-DS12491.peaks.fdr0.01.hg19.bed
chr1	95145452	95145452	chr1	95145380	95145529	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr2	158291538	158291538	chr2	158291460	158291609	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr2	158291538	158291538	chr2	158291460	158291609	HCF	HCF-DS12491.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063760	221063909	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063760	221063909	HCF	HCF-DS12491.peaks.fdr0.01.hg19.bed
chr2	238224334	238224334	chr2	238224280	238224429	HCF	HCF-DS12491.peaks.fdr0.01.hg19.bed
chr2	238224334	238224334	chr2	238224320	238224469	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr2	238235081	238235081	chr2	238235080	238235229	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462940	4463089	HCF	HCF-DS12491.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462940	4463089	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr3	52968725	52968725	chr3	52968720	52968869	HCF	HCF-DS12491.peaks.fdr0.01.hg19.bed
chr3	52968725	52968725	chr3	52968720	52968869	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr4	40196548	40196548	chr4	40196540	40196689	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr4	54465286	54465286	chr4	54465200	54465349	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr4	54465286	54465286	chr4	54465160	54465309	HCF	HCF-DS12491.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941020	57941169	HCF	HCF-DS12491.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941040	57941189	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr4	186909595	186909595	chr4	186909520	186909669	HCF	HCF-DS12491.peaks.fdr0.01.hg19.bed
chr4	186909595	186909595	chr4	186909520	186909669	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767160	70767309	HCF	HCF-DS12491.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767180	70767329	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr5	137802403	137802403	chr5	137802280	137802429	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr5	137802403	137802403	chr5	137802360	137802509	HCF	HCF-DS12491.peaks.fdr0.01.hg19.bed
chr5	137805651	137805651	chr5	137805620	137805769	HCF	HCF-DS12491.peaks.fdr0.01.hg19.bed
chr5	137805651	137805651	chr5	137805640	137805789	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84139960	84140109	HCF	HCF-DS12491.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84139960	84140109	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009300	130009449	HCF	HCF-DS12491.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009300	130009449	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr8	79045301	79045301	chr8	79045160	79045309	HCF	HCF-DS12491.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356320	119356469	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr11	12290811	12290811	chr11	12290740	12290889	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729800	128729949	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729800	128729949	HCF	HCF-DS12491.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390620	49390769	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390640	49390789	HCF	HCF-DS12491.peaks.fdr0.01.hg19.bed
chr12	50306147	50306147	chr12	50306140	50306289	HCF	HCF-DS12491.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299200	58299349	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299220	58299369	HCF	HCF-DS12491.peaks.fdr0.01.hg19.bed
chr12	95567464	95567464	chr12	95567420	95567569	HCF	HCF-DS12491.peaks.fdr0.01.hg19.bed
chr12	124983615	124983615	chr12	124983540	124983689	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr12	124983615	124983615	chr12	124983560	124983709	HCF	HCF-DS12491.peaks.fdr0.01.hg19.bed
chr13	103374376	103374376	chr13	103374260	103374409	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr14	34155697	34155697	chr14	34155600	34155749	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr14	43463395	43463395	chr14	43463300	43463449	HCF	HCF-DS12491.peaks.fdr0.01.hg19.bed
chr14	43463395	43463395	chr14	43463320	43463469	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr14	52250689	52250689	chr14	52250580	52250729	HCF	HCF-DS12491.peaks.fdr0.01.hg19.bed
chr14	52250689	52250689	chr14	52250620	52250769	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr14	59922319	59922319	chr14	59922240	59922389	HCF	HCF-DS12491.peaks.fdr0.01.hg19.bed
chr14	59922319	59922319	chr14	59922240	59922389	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr17	959514	959514	chr17	959380	959529	HCF	HCF-DS12491.peaks.fdr0.01.hg19.bed
chr17	42754776	42754776	chr17	42754640	42754789	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr17	42754776	42754776	chr17	42754640	42754789	HCF	HCF-DS12491.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519280	74519429	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519280	74519429	HCF	HCF-DS12491.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769600	4769749	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769600	4769749	HCF	HCF-DS12491.peaks.fdr0.01.hg19.bed
chr20	48407126	48407126	chr20	48406980	48407129	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
chr20	48407126	48407126	chr20	48406980	48407129	HCF	HCF-DS12491.peaks.fdr0.01.hg19.bed
chr21	38539118	38539118	chr21	38539100	38539249	HCF	HCF-DS12501.peaks.fdr0.01.hg19.bed
