Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	3197746	3197746	chr1	3190530	3203750	CHORION	ChorionDukeDNaseSeq.pk
chr1	7727853	7727853	chr1	7727315	7729137	CHORION	ChorionDukeDNaseSeq.pk
chr1	21927847	21927847	chr1	21927413	21931397	CHORION	ChorionDukeDNaseSeq.pk
chr1	22224101	22224101	chr1	22223242	22224193	CHORION	ChorionDukeDNaseSeq.pk
chr1	36789545	36789545	chr1	36788264	36789665	CHORION	ChorionDukeDNaseSeq.pk
chr1	40426921	40426921	chr1	40426326	40426966	CHORION	ChorionDukeDNaseSeq.pk
chr2	102315056	102315056	chr2	102313427	102315095	CHORION	ChorionDukeDNaseSeq.pk
chr2	129124334	129124334	chr2	129124295	129124596	CHORION	ChorionDukeDNaseSeq.pk
chr2	129124529	129124529	chr2	129124295	129124596	CHORION	ChorionDukeDNaseSeq.pk
chr3	12857492	12857492	chr3	12855105	12857918	CHORION	ChorionDukeDNaseSeq.pk
chr4	7529366	7529366	chr4	7529196	7529857	CHORION	ChorionDukeDNaseSeq.pk
chr4	7530450	7530450	chr4	7530442	7530582	CHORION	ChorionDukeDNaseSeq.pk
chr4	7737340	7737340	chr4	7737152	7738274	CHORION	ChorionDukeDNaseSeq.pk
chr4	186909595	186909595	chr4	186909474	186909654	CHORION	ChorionDukeDNaseSeq.pk
chr5	1477230	1477230	chr5	1469923	1477798	CHORION	ChorionDukeDNaseSeq.pk
chr5	137782203	137782203	chr5	137779495	137782435	CHORION	ChorionDukeDNaseSeq.pk
chr5	137797379	137797379	chr5	137796954	137797458	CHORION	ChorionDukeDNaseSeq.pk
chr5	137802403	137802403	chr5	137799441	137802518	CHORION	ChorionDukeDNaseSeq.pk
chr5	137805651	137805651	chr5	137804850	137806901	CHORION	ChorionDukeDNaseSeq.pk
chr5	137822865	137822865	chr5	137822818	137823016	CHORION	ChorionDukeDNaseSeq.pk
chr5	149575122	149575122	chr5	149574141	149575816	CHORION	ChorionDukeDNaseSeq.pk
chr5	167913602	167913602	chr5	167913249	167913642	CHORION	ChorionDukeDNaseSeq.pk
chr5	173738576	173738576	chr5	173738276	173739884	CHORION	ChorionDukeDNaseSeq.pk
chr5	177842787	177842787	chr5	177842650	177843432	CHORION	ChorionDukeDNaseSeq.pk
chr5	179564140	179564140	chr5	179561701	179568564	CHORION	ChorionDukeDNaseSeq.pk
chr6	31107086	31107086	chr6	31106751	31107701	CHORION	ChorionDukeDNaseSeq.pk
chr6	163568621	163568621	chr6	163568549	163571576	CHORION	ChorionDukeDNaseSeq.pk
chr7	155257893	155257893	chr7	155240233	155265363	CHORION	ChorionDukeDNaseSeq.pk
chr8	978684	978684	chr8	978517	979494	CHORION	ChorionDukeDNaseSeq.pk
chr8	140847891	140847891	chr8	140847597	140848261	CHORION	ChorionDukeDNaseSeq.pk
chr8	142295964	142295964	chr8	142295579	142297836	CHORION	ChorionDukeDNaseSeq.pk
chr8	143867904	143867904	chr8	143866891	143868016	CHORION	ChorionDukeDNaseSeq.pk
chr8	143887956	143887956	chr8	143873941	143890941	CHORION	ChorionDukeDNaseSeq.pk
chr9	98359187	98359187	chr9	98359035	98359301	CHORION	ChorionDukeDNaseSeq.pk
chr9	115983539	115983539	chr9	115983426	115983972	CHORION	ChorionDukeDNaseSeq.pk
chr10	1436857	1436857	chr10	1436256	1437090	CHORION	ChorionDukeDNaseSeq.pk
chr10	1447104	1447104	chr10	1440503	1447202	CHORION	ChorionDukeDNaseSeq.pk
chr10	1509657	1509657	chr10	1507788	1509699	CHORION	ChorionDukeDNaseSeq.pk
chr10	6276573	6276573	chr10	6272930	6276947	CHORION	ChorionDukeDNaseSeq.pk
chr10	13341377	13341377	chr10	13341355	13342334	CHORION	ChorionDukeDNaseSeq.pk
chr10	29409191	29409191	chr10	29409188	29409601	CHORION	ChorionDukeDNaseSeq.pk
chr10	43814048	43814048	chr10	43813675	43814119	CHORION	ChorionDukeDNaseSeq.pk
chr10	72504762	72504762	chr10	72503584	72504779	CHORION	ChorionDukeDNaseSeq.pk
chr10	73820000	73820000	chr10	73819491	73820577	CHORION	ChorionDukeDNaseSeq.pk
chr10	128602100	128602100	chr10	128602055	128602804	CHORION	ChorionDukeDNaseSeq.pk
chr11	2933064	2933064	chr11	2928771	2942178	CHORION	ChorionDukeDNaseSeq.pk
chr11	35161075	35161075	chr11	35160984	35161483	CHORION	ChorionDukeDNaseSeq.pk
chr11	36056921	36056921	chr11	36056397	36056934	CHORION	ChorionDukeDNaseSeq.pk
chr11	47600437	47600437	chr11	47600054	47601060	CHORION	ChorionDukeDNaseSeq.pk
chr11	69352136	69352136	chr11	69351830	69353780	CHORION	ChorionDukeDNaseSeq.pk
chr11	128729844	128729844	chr11	128729783	128730037	CHORION	ChorionDukeDNaseSeq.pk
chr11	133772837	133772837	chr11	133772794	133772929	CHORION	ChorionDukeDNaseSeq.pk
chr11	134538497	134538497	chr11	134534509	134538554	CHORION	ChorionDukeDNaseSeq.pk
chr12	49390676	49390676	chr12	49388676	49393496	CHORION	ChorionDukeDNaseSeq.pk
chr12	50298534	50298534	chr12	50297300	50298741	CHORION	ChorionDukeDNaseSeq.pk
chr12	50303926	50303926	chr12	50303519	50304019	CHORION	ChorionDukeDNaseSeq.pk
chr12	52986186	52986186	chr12	52986053	52986393	CHORION	ChorionDukeDNaseSeq.pk
chr12	58299249	58299249	chr12	58299107	58299453	CHORION	ChorionDukeDNaseSeq.pk
chr12	124418673	124418673	chr12	124418155	124421335	CHORION	ChorionDukeDNaseSeq.pk
