Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	36789545	36789545	chr1	36786050	36790199	H3K4ME3	HCF	wgEncodeUwHistoneHcfH3k4me3StdAln.narrowPeak
chr1	113248364	113248364	chr1	113246593	113250887	H3K4ME3	HCF	wgEncodeUwHistoneHcfH3k4me3StdAln.narrowPeak
chr2	102315056	102315056	chr2	102312774	102318199	H3K4ME3	HCF	wgEncodeUwHistoneHcfH3k4me3StdAln.narrowPeak
chr3	44380487	44380487	chr3	44378892	44381718	H3K4ME3	HCF	wgEncodeUwHistoneHcfH3k4me3StdAln.narrowPeak
chr3	58165232	58165232	chr3	58165215	58165835	H3K4ME3	HCF	wgEncodeUwHistoneHcfH3k4me3StdAln.narrowPeak
chr4	88313178	88313178	chr4	88310414	88313297	H3K4ME3	HCF	wgEncodeUwHistoneHcfH3k4me3StdAln.narrowPeak
chr4	170580817	170580817	chr4	170579778	170582781	H3K4ME3	HCF	wgEncodeUwHistoneHcfH3k4me3StdAln.narrowPeak
chr5	137802403	137802403	chr5	137798907	137804114	H3K4ME3	HCF	wgEncodeUwHistoneHcfH3k4me3StdAln.narrowPeak
chr5	167913602	167913602	chr5	167913102	167915020	H3K4ME3	HCF	wgEncodeUwHistoneHcfH3k4me3StdAln.narrowPeak
chr5	173738576	173738576	chr5	173738491	173739737	H3K4ME3	HCF	wgEncodeUwHistoneHcfH3k4me3StdAln.narrowPeak
chr6	84140037	84140037	chr6	84139164	84141516	H3K4ME3	HCF	wgEncodeUwHistoneHcfH3k4me3StdAln.narrowPeak
chr6	136359445	136359445	chr6	136357001	136363009	H3K4ME3	HCF	wgEncodeUwHistoneHcfH3k4me3StdAln.narrowPeak
chr6	160210060	160210060	chr6	160208691	160213099	H3K4ME3	HCF	wgEncodeUwHistoneHcfH3k4me3StdAln.narrowPeak
chr6	170862335	170862335	chr6	170860324	170864945	H3K4ME3	HCF	wgEncodeUwHistoneHcfH3k4me3StdAln.narrowPeak
chr8	26437075	26437075	chr8	26433334	26439115	H3K4ME3	HCF	wgEncodeUwHistoneHcfH3k4me3StdAln.narrowPeak
chr9	115983539	115983539	chr9	115981848	115985394	H3K4ME3	HCF	wgEncodeUwHistoneHcfH3k4me3StdAln.narrowPeak
chr10	13341377	13341377	chr10	13340858	13342709	H3K4ME3	HCF	wgEncodeUwHistoneHcfH3k4me3StdAln.narrowPeak
chr10	114715688	114715688	chr10	114708693	114716796	H3K4ME3	HCF	wgEncodeUwHistoneHcfH3k4me3StdAln.narrowPeak
chr11	35161075	35161075	chr11	35159862	35164019	H3K4ME3	HCF	wgEncodeUwHistoneHcfH3k4me3StdAln.narrowPeak
chr11	47600437	47600437	chr11	47598821	47602295	H3K4ME3	HCF	wgEncodeUwHistoneHcfH3k4me3StdAln.narrowPeak
chr12	49390676	49390676	chr12	49390363	49391238	H3K4ME3	HCF	wgEncodeUwHistoneHcfH3k4me3StdAln.narrowPeak
chr13	111365588	111365588	chr13	111363552	111370411	H3K4ME3	HCF	wgEncodeUwHistoneHcfH3k4me3StdAln.narrowPeak
chr15	90895957	90895957	chr15	90894907	90896324	H3K4ME3	HCF	wgEncodeUwHistoneHcfH3k4me3StdAln.narrowPeak
chr16	57771125	57771125	chr16	57768323	57771321	H3K4ME3	HCF	wgEncodeUwHistoneHcfH3k4me3StdAln.narrowPeak
chr17	36605489	36605489	chr17	36605257	36606469	H3K4ME3	HCF	wgEncodeUwHistoneHcfH3k4me3StdAln.narrowPeak
chr17	48273154	48273154	chr17	48271238	48279525	H3K4ME3	HCF	wgEncodeUwHistoneHcfH3k4me3StdAln.narrowPeak
chr19	1847697	1847697	chr19	1846186	1849119	H3K4ME3	HCF	wgEncodeUwHistoneHcfH3k4me3StdAln.narrowPeak
chr19	4585170	4585170	chr19	4584072	4585504	H3K4ME3	HCF	wgEncodeUwHistoneHcfH3k4me3StdAln.narrowPeak
chr19	49621963	49621963	chr19	49621436	49623417	H3K4ME3	HCF	wgEncodeUwHistoneHcfH3k4me3StdAln.narrowPeak
chr22	18560569	18560569	chr22	18559283	18562366	H3K4ME3	HCF	wgEncodeUwHistoneHcfH3k4me3StdAln.narrowPeak
chr22	38144617	38144617	chr22	38141140	38145256	H3K4ME3	HCF	wgEncodeUwHistoneHcfH3k4me3StdAln.narrowPeak
