Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727431	7728083	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
chr1	29707411	29707411	chr1	29707067	29707412	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
chr1	31177072	31177072	chr1	31177039	31177744	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
chr1	36789545	36789545	chr1	36788149	36789800	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
chr1	153416035	153416035	chr1	153415948	153416040	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
chr2	177146274	177146274	chr2	177146054	177146304	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
chr2	221063850	221063850	chr2	221063620	221064106	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
chr2	238224334	238224334	chr2	238223682	238224400	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
chr3	4463007	4463007	chr3	4462883	4463217	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
chr3	52968725	52968725	chr3	52968647	52969036	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
chr3	122388463	122388463	chr3	122388198	122388557	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
chr4	3454453	3454453	chr4	3454377	3454475	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
chr4	57941159	57941159	chr4	57941009	57941352	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
chr4	170580817	170580817	chr4	170580781	170581767	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
chr5	137797379	137797379	chr5	137796946	137797471	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
chr5	137802403	137802403	chr5	137802356	137802418	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
chr5	137805651	137805651	chr5	137805324	137806774	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
chr5	137822865	137822865	chr5	137822754	137823038	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
chr5	167913602	167913602	chr5	167913187	167913805	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
chr6	138409766	138409766	chr6	138409390	138409783	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
chr6	170862335	170862335	chr6	170862239	170862627	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
chr7	130009352	130009352	chr7	130009015	130009511	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
chr8	95316255	95316255	chr8	95315815	95316385	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
chr9	14199421	14199421	chr9	14199195	14199445	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
chr9	98541231	98541231	chr9	98541183	98541676	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
chr9	115983539	115983539	chr9	115983428	115984081	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
chr10	13341377	13341377	chr10	13341300	13342328	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
chr11	12290811	12290811	chr11	12290648	12291009	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
chr11	36056921	36056921	chr11	36056366	36056950	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
chr11	47600437	47600437	chr11	47600078	47600833	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
chr11	47907640	47907640	chr11	47907594	47907943	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
chr11	119219123	119219123	chr11	119218992	119219195	FIBROBLASTS_PARK	Fibroblasts_parkDukeDNaseSeq.pk
