Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	36789545	36789545	chr1	36785616	36790289	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr1	113248364	113248364	chr1	113246722	113250739	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr2	102315056	102315056	chr2	102312893	102317890	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr3	19931169	19931169	chr3	19930159	19931583	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr3	44380487	44380487	chr3	44378751	44381490	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr4	88313178	88313178	chr4	88310639	88313409	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr4	170580817	170580817	chr4	170580459	170582537	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr5	137802403	137802403	chr5	137798963	137804337	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr5	149310446	149310446	chr5	149309638	149310470	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr5	167913602	167913602	chr5	167913169	167914990	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr6	26103176	26103176	chr6	26103131	26105217	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr6	84140037	84140037	chr6	84139239	84141557	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr6	136359445	136359445	chr6	136358551	136360601	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr6	160210060	160210060	chr6	160208652	160213137	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr6	170862335	170862335	chr6	170860586	170865025	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr8	26437075	26437075	chr8	26433453	26438955	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr9	115983539	115983539	chr9	115981604	115985649	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr10	13341377	13341377	chr10	13340893	13342694	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr10	114715688	114715688	chr10	114709259	114716173	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr11	35161075	35161075	chr11	35159709	35166259	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr11	47600437	47600437	chr11	47598521	47602142	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr11	119235403	119235403	chr11	119234278	119235507	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr12	49390676	49390676	chr12	49390642	49391244	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr12	50298534	50298534	chr12	50297173	50298604	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr13	111365588	111365588	chr13	111363518	111370933	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr15	90895957	90895957	chr15	90894766	90896387	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr16	57024661	57024661	chr16	57021956	57024834	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr16	57771125	57771125	chr16	57768162	57771335	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr17	48273154	48273154	chr17	48268416	48281478	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr17	78726260	78726260	chr17	78724794	78726488	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr19	1847697	1847697	chr19	1846432	1849235	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr19	2238666	2238666	chr19	2234830	2241888	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr19	4585170	4585170	chr19	4583992	4585299	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr19	49621963	49621963	chr19	49621259	49623691	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr19	53634926	53634926	chr19	53634890	53636625	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr22	18560569	18560569	chr22	18559344	18562229	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
chr22	38144617	38144617	chr22	38140963	38145286	H3K4ME3	BJ	wgEncodeUwHistoneBjH3k4me3StdAln.narrowPeak
