Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727336	7728478	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr1	7727853	7727853	chr1	7727456	7728172	HEPG2	HepG2DukeDNaseSeq.pk
chr1	36789545	36789545	chr1	36787574	36790389	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr1	36789545	36789545	chr1	36788493	36790260	HEPG2	HepG2DukeDNaseSeq.pk
chr1	42680326	42680326	chr1	42680080	42680617	HEPG2	idrPool.HepG2_FAIRE_BP_TP_peaks_OV_HepG2_B2_peaks_VS_UncFAIRE_HepG2_B3_peaks.npk2.narrowPeak
chr1	42680326	42680326	chr1	42680147	42680600	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr1	42680326	42680326	chr1	42680240	42680389	HEPG2	HEPG2-DS7768.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680251	42680551	HEPG2	HepG2DukeDNaseSeq.pk
chr1	42680326	42680326	chr1	42680300	42680449	HEPG2	HEPG2-DS7764.peaks.fdr0.01.hg19.bed
chr1	113248364	113248364	chr1	113247169	113250742	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr1	202075668	202075668	chr1	202075640	202075789	HEPG2	HEPG2-DS7768.peaks.fdr0.01.hg19.bed
chr2	295254	295254	chr2	295073	295358	HEPG2	HepG2DukeDNaseSeq.pk
chr3	44380487	44380487	chr3	44378950	44380535	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr3	44380487	44380487	chr3	44379388	44380498	HEPG2	HepG2DukeDNaseSeq.pk
chr3	52968725	52968725	chr3	52968668	52969043	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr3	52968725	52968725	chr3	52968678	52969071	HEPG2	idrPool.HepG2_FAIRE_BP_TP_peaks_OV_HepG2_B2_peaks_VS_UncFAIRE_HepG2_B3_peaks.npk2.narrowPeak
chr3	52968725	52968725	chr3	52968708	52969004	HEPG2	HepG2DukeDNaseSeq.pk
chr4	3454453	3454453	chr4	3453848	3454508	HEPG2	idrPool.HepG2_FAIRE_BP_TP_peaks_OV_HepG2_B2_peaks_VS_UncFAIRE_HepG2_B3_peaks.npk2.narrowPeak
chr4	3454453	3454453	chr4	3454121	3454667	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr4	3454453	3454453	chr4	3454169	3454587	HEPG2	HepG2DukeDNaseSeq.pk
chr4	185400747	185400747	chr4	185400700	185400849	HEPG2	HEPG2-DS7764.peaks.fdr0.01.hg19.bed
chr5	137802403	137802403	chr5	137799044	137802858	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr5	137802403	137802403	chr5	137802041	137802584	HEPG2	HepG2DukeDNaseSeq.pk
chr5	137802403	137802403	chr5	137802156	137802490	HEPG2	idrPool.HepG2_FAIRE_BP_TP_peaks_OV_HepG2_B2_peaks_VS_UncFAIRE_HepG2_B3_peaks.npk2.narrowPeak
chr5	137805651	137805651	chr5	137805560	137805709	HEPG2	HEPG2-DS7764.peaks.fdr0.01.hg19.bed
chr5	167913602	167913602	chr5	167913081	167914088	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr5	167913602	167913602	chr5	167913119	167913983	HEPG2	HepG2DukeDNaseSeq.pk
chr5	173738576	173738576	chr5	173738334	173739712	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr5	173738576	173738576	chr5	173738491	173739503	HEPG2	HepG2DukeDNaseSeq.pk
chr6	6712344	6712344	chr6	6712294	6713542	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr6	16332729	16332729	chr6	16332303	16332739	HEPG2	HepG2DukeDNaseSeq.pk
chr6	16332729	16332729	chr6	16332256	16332798	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr6	130073290	130073290	chr6	130073006	130073400	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr6	130073290	130073290	chr6	130073014	130073398	HEPG2	idrPool.HepG2_FAIRE_BP_TP_peaks_OV_HepG2_B2_peaks_VS_UncFAIRE_HepG2_B3_peaks.npk2.narrowPeak
chr6	130073290	130073290	chr6	130073066	130073352	HEPG2	HepG2DukeDNaseSeq.pk
chr6	160210060	160210060	chr6	160209852	160212089	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr6	160581910	160581910	chr6	160581459	160581982	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr6	170862335	170862335	chr6	170861984	170862579	HEPG2	HepG2DukeDNaseSeq.pk
chr6	170862335	170862335	chr6	170861913	170862615	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr6	170862335	170862335	chr6	170862140	170862429	HEPG2	HEPG2-DS7768.peaks.fdr0.01.hg19.bed
chr6	170862335	170862335	chr6	170862160	170862449	HEPG2	HEPG2-DS7764.peaks.fdr0.01.hg19.bed
chr7	112538377	112538377	chr7	112537930	112539054	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr7	130009352	130009352	chr7	130009240	130009389	HEPG2	HEPG2-DS7764.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009260	130009409	HEPG2	HEPG2-DS7768.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009265	130009465	HEPG2	HepG2DukeDNaseSeq.pk
chr8	119356465	119356465	chr8	119356223	119356619	HEPG2	HepG2DukeDNaseSeq.pk
chr8	119356465	119356465	chr8	119356174	119356663	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr8	119356465	119356465	chr8	119356400	119356549	HEPG2	HEPG2-DS7764.peaks.fdr0.01.hg19.bed
chr9	115983539	115983539	chr9	115983199	115984188	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr9	115983539	115983539	chr9	115983281	115984102	HEPG2	HepG2DukeDNaseSeq.pk
chr10	5705899	5705899	chr10	5705852	5706252	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr10	5706021	5706021	chr10	5705915	5706200	HEPG2	HepG2DukeDNaseSeq.pk
chr10	5706021	5706021	chr10	5705852	5706252	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr10	13341377	13341377	chr10	13341247	13342386	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr10	13341377	13341377	chr10	13341302	13342338	HEPG2	HepG2DukeDNaseSeq.pk
chr10	71890629	71890629	chr10	71890520	71890669	HEPG2	HEPG2-DS7764.peaks.fdr0.01.hg19.bed
chr10	71890629	71890629	chr10	71890452	71891153	HEPG2	idrPool.HepG2_FAIRE_BP_TP_peaks_OV_HepG2_B2_peaks_VS_UncFAIRE_HepG2_B3_peaks.npk2.narrowPeak
chr10	71890629	71890629	chr10	71890580	71893070	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr10	73820000	73820000	chr10	73819177	73822165	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr10	82311824	82311824	chr10	82311793	82312459	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr10	123455601	123455601	chr10	123455580	123455729	HEPG2	HEPG2-DS7768.peaks.fdr0.01.hg19.bed
chr10	123455601	123455601	chr10	123455359	123456200	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr10	123455601	123455601	chr10	123455302	123456078	HEPG2	idrPool.HepG2_FAIRE_BP_TP_peaks_OV_HepG2_B2_peaks_VS_UncFAIRE_HepG2_B3_peaks.npk2.narrowPeak
chr10	123455601	123455601	chr10	123455424	123456026	HEPG2	HepG2DukeDNaseSeq.pk
chr11	2933064	2933064	chr11	2932402	2934946	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr11	35161075	35161075	chr11	35160169	35161799	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr11	35161075	35161075	chr11	35160341	35161694	HEPG2	HepG2DukeDNaseSeq.pk
chr11	47600437	47600437	chr11	47599899	47601190	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr11	47600437	47600437	chr11	47599967	47601084	HEPG2	HepG2DukeDNaseSeq.pk
chr11	128729844	128729844	chr11	128729676	128730128	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr11	128729844	128729844	chr11	128729721	128730081	HEPG2	HepG2DukeDNaseSeq.pk
chr11	128729844	128729844	chr11	128729840	128729989	HEPG2	HEPG2-DS7764.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729840	128729989	HEPG2	HEPG2-DS7768.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390467	49394133	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr12	49390676	49390676	chr12	49390507	49390970	HEPG2	HepG2DukeDNaseSeq.pk
chr12	49390676	49390676	chr12	49390640	49390789	HEPG2	HEPG2-DS7768.peaks.fdr0.01.hg19.bed
chr12	50303926	50303926	chr12	50303180	50304155	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr12	50303926	50303926	chr12	50303264	50304038	HEPG2	HepG2DukeDNaseSeq.pk
chr12	58299249	58299249	chr12	58298984	58299546	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr12	58299249	58299249	chr12	58299045	58299458	HEPG2	idrPool.HepG2_FAIRE_BP_TP_peaks_OV_HepG2_B2_peaks_VS_UncFAIRE_HepG2_B3_peaks.npk2.narrowPeak
chr12	58299249	58299249	chr12	58299050	58299507	HEPG2	HepG2DukeDNaseSeq.pk
chr12	58299249	58299249	chr12	58299220	58299369	HEPG2	HEPG2-DS7764.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299220	58299369	HEPG2	HEPG2-DS7768.peaks.fdr0.01.hg19.bed
chr13	111365588	111365588	chr13	111364486	111366335	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr13	111365588	111365588	chr13	111364540	111366224	HEPG2	HepG2DukeDNaseSeq.pk
chr13	111365588	111365588	chr13	111365244	111365640	HEPG2	idrPool.HepG2_FAIRE_BP_TP_peaks_OV_HepG2_B2_peaks_VS_UncFAIRE_HepG2_B3_peaks.npk2.narrowPeak
chr14	50433110	50433110	chr14	50432997	50433590	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr14	50433110	50433110	chr14	50433069	50433560	HEPG2	HepG2DukeDNaseSeq.pk
chr14	50433110	50433110	chr14	50433052	50433546	HEPG2	idrPool.HepG2_FAIRE_BP_TP_peaks_OV_HepG2_B2_peaks_VS_UncFAIRE_HepG2_B3_peaks.npk2.narrowPeak
chr14	93328536	93328536	chr14	93327994	93328732	HEPG2	HepG2DukeDNaseSeq.pk
chr14	93328536	93328536	chr14	93327881	93328778	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr14	93328536	93328536	chr14	93328420	93328569	HEPG2	HEPG2-DS7764.peaks.fdr0.01.hg19.bed
chr15	90895957	90895957	chr15	90894895	90896191	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr15	90895957	90895957	chr15	90895006	90896111	HEPG2	HepG2DukeDNaseSeq.pk
chr16	1481019	1481019	chr16	1478372	1482291	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr16	1481019	1481019	chr16	1480028	1481419	HEPG2	HepG2DukeDNaseSeq.pk
chr16	1481019	1481019	chr16	1480920	1481069	HEPG2	HEPG2-DS7768.peaks.fdr0.01.hg19.bed
chr16	1495299	1495299	chr16	1492334	1497117	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr16	57771125	57771125	chr16	57768558	57771263	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr16	57771125	57771125	chr16	57768615	57771171	HEPG2	HepG2DukeDNaseSeq.pk
chr16	57771125	57771125	chr16	57770482	57771163	HEPG2	idrPool.HepG2_FAIRE_BP_TP_peaks_OV_HepG2_B2_peaks_VS_UncFAIRE_HepG2_B3_peaks.npk2.narrowPeak
chr17	959514	959514	chr17	959044	959757	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr17	959514	959514	chr17	959114	959681	HEPG2	HepG2DukeDNaseSeq.pk
chr17	959514	959514	chr17	959400	959549	HEPG2	HEPG2-DS7768.peaks.fdr0.01.hg19.bed
chr17	4316477	4316477	chr17	4316268	4316918	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr17	4316477	4316477	chr17	4316379	4316888	HEPG2	HepG2DukeDNaseSeq.pk
chr17	13956666	13956666	chr17	13956136	13957000	HEPG2	idrPool.HepG2_FAIRE_BP_TP_peaks_OV_HepG2_B2_peaks_VS_UncFAIRE_HepG2_B3_peaks.npk2.narrowPeak
chr17	13956666	13956666	chr17	13956356	13956969	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr17	13956666	13956666	chr17	13956463	13956927	HEPG2	HepG2DukeDNaseSeq.pk
chr17	36605489	36605489	chr17	36605381	36606482	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr17	36605489	36605489	chr17	36605483	36606370	HEPG2	HepG2DukeDNaseSeq.pk
chr17	36898392	36898392	chr17	36898332	36898598	HEPG2	HepG2DukeDNaseSeq.pk
chr17	41046439	41046439	chr17	41046298	41046724	HEPG2	HepG2DukeDNaseSeq.pk
chr17	41046439	41046439	chr17	41046241	41046821	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr17	41046439	41046439	chr17	41046299	41046774	HEPG2	idrPool.HepG2_FAIRE_BP_TP_peaks_OV_HepG2_B2_peaks_VS_UncFAIRE_HepG2_B3_peaks.npk2.narrowPeak
chr17	74519373	74519373	chr17	74519124	74519647	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr17	74519373	74519373	chr17	74519160	74519578	HEPG2	HepG2DukeDNaseSeq.pk
chr17	74519373	74519373	chr17	74519260	74519409	HEPG2	HEPG2-DS7764.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519260	74519409	HEPG2	HEPG2-DS7768.peaks.fdr0.01.hg19.bed
chr17	76560376	76560376	chr17	76560141	76560498	HEPG2	HepG2DukeDNaseSeq.pk
chr17	79026484	79026484	chr17	79026365	79026546	HEPG2	HepG2DukeDNaseSeq.pk
chr17	80769811	80769811	chr17	80769796	80770002	HEPG2	HepG2DukeDNaseSeq.pk
chr18	46102927	46102927	chr18	46101869	46102995	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr19	495721	495721	chr19	495242	495979	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr19	495721	495721	chr19	495361	495941	HEPG2	HepG2DukeDNaseSeq.pk
chr19	495721	495721	chr19	495700	495849	HEPG2	HEPG2-DS7764.peaks.fdr0.01.hg19.bed
chr19	495721	495721	chr19	495700	495849	HEPG2	HEPG2-DS7768.peaks.fdr0.01.hg19.bed
chr19	1847697	1847697	chr19	1847528	1849048	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr19	1847697	1847697	chr19	1847578	1849011	HEPG2	HepG2DukeDNaseSeq.pk
chr19	4585170	4585170	chr19	4583122	4585333	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr19	4585170	4585170	chr19	4584794	4585249	HEPG2	HepG2DukeDNaseSeq.pk
chr19	4769739	4769739	chr19	4769366	4769978	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr19	4769739	4769739	chr19	4769429	4769949	HEPG2	HepG2DukeDNaseSeq.pk
chr19	4769739	4769739	chr19	4769640	4769789	HEPG2	HEPG2-DS7768.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769640	4769789	HEPG2	HEPG2-DS7764.peaks.fdr0.01.hg19.bed
chr19	4941455	4941455	chr19	4941372	4941562	HEPG2	HepG2DukeDNaseSeq.pk
chr19	49621963	49621963	chr19	49621139	49623716	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr19	49621963	49621963	chr19	49621760	49623630	HEPG2	HepG2DukeDNaseSeq.pk
chr19	51173217	51173217	chr19	51172049	51173454	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr20	60379459	60379459	chr20	60377603	60383346	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr20	60379459	60379459	chr20	60379179	60379844	HEPG2	HepG2DukeDNaseSeq.pk
chr20	62852929	62852929	chr20	62852373	62853106	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr21	42694666	42694666	chr21	42694345	42695366	HEPG2	HepG2DukeDNaseSeq.pk
chr21	42694666	42694666	chr21	42694038	42695750	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr21	42694666	42694666	chr21	42694206	42694995	HEPG2	idrPool.HepG2_FAIRE_BP_TP_peaks_OV_HepG2_B2_peaks_VS_UncFAIRE_HepG2_B3_peaks.npk2.narrowPeak
chr21	42694666	42694666	chr21	42694640	42694789	HEPG2	HEPG2-DS7764.peaks.fdr0.01.hg19.bed
chr22	18560569	18560569	chr22	18560334	18561598	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr22	18560569	18560569	chr22	18560390	18561519	HEPG2	HepG2DukeDNaseSeq.pk
chr22	38158740	38158740	chr22	38158272	38159555	HEPG2	idrPool.HepG2_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HepG2_B2_peaks_VS_DukeDNase_HepG2_B3_peaks.npk2.narrowPeak
chr22	38158740	38158740	chr22	38158341	38158974	HEPG2	HepG2DukeDNaseSeq.pk
