Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr3	12038263	12038263	chr3	12038005	12038274	P300	SKNSHRA	spp.optimal.wgEncodeHaibTfbsSknshraP300V0416102AlnRep0_VS_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak
chr4	170040859	170040859	chr4	170040791	170041060	P300	SKNSHRA	spp.optimal.wgEncodeHaibTfbsSknshraP300V0416102AlnRep0_VS_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak
chr8	18467518	18467518	chr8	18467289	18467558	P300	SKNSHRA	spp.optimal.wgEncodeHaibTfbsSknshraP300V0416102AlnRep0_VS_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak
chr8	30177968	30177968	chr8	30177913	30178529	P300	SKNSHRA	spp.optimal.wgEncodeHaibTfbsSknshraP300V0416102AlnRep0_VS_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak
chr10	29402288	29402288	chr10	29402241	29402510	P300	SKNSHRA	spp.optimal.wgEncodeHaibTfbsSknshraP300V0416102AlnRep0_VS_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak
chr10	65483181	65483181	chr10	65483129	65483398	P300	SKNSHRA	spp.optimal.wgEncodeHaibTfbsSknshraP300V0416102AlnRep0_VS_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak
chr11	47600437	47600437	chr11	47600389	47600658	P300	SKNSHRA	spp.optimal.wgEncodeHaibTfbsSknshraP300V0416102AlnRep0_VS_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak
chr14	34155697	34155697	chr14	34155673	34155769	P300	SKNSHRA	spp.optimal.wgEncodeHaibTfbsSknshraP300V0416102AlnRep0_VS_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak
chr14	52250689	52250689	chr14	52250532	52250801	P300	SKNSHRA	spp.optimal.wgEncodeHaibTfbsSknshraP300V0416102AlnRep0_VS_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak
chr14	90917191	90917191	chr14	90917049	90917318	P300	SKNSHRA	spp.optimal.wgEncodeHaibTfbsSknshraP300V0416102AlnRep0_VS_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak
