Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr14	100705102	100705102	ZBTB33_K562	100705063	100705282	NM_213646	100700124	100790123	3D	WARS	7453	hsa00970
chr14	100705102	100705102	ZBTB33_K562	100705063	100705282	NM_213645	100700124	100790123	3D	WARS	7453	hsa00970
chr14	100705102	100705102	ZBTB33_K562	100705063	100705282	NM_173701	100700124	100790123	3D	WARS	7453	hsa00970
chr14	100705102	100705102	ZBTB33_K562	100705063	100705282	NM_004184	100700124	100790123	3D	WARS	7453	hsa00970
chr14	100705102	100705102	ZBTB33_GM12878	100705070	100705235	NM_213646	100700124	100790123	3D	WARS	7453	hsa00970
chr14	100705102	100705102	ZBTB33_GM12878	100705070	100705235	NM_213645	100700124	100790123	3D	WARS	7453	hsa00970
chr14	100705102	100705102	ZBTB33_GM12878	100705070	100705235	NM_173701	100700124	100790123	3D	WARS	7453	hsa00970
chr14	100705102	100705102	ZBTB33_GM12878	100705070	100705235	NM_004184	100700124	100790123	3D	WARS	7453	hsa00970
chr14	100705102	100705102	ZBTB33_HEPG2	100705081	100705204	NM_213646	100700124	100790123	3D	WARS	7453	hsa00970
chr14	100705102	100705102	ZBTB33_HEPG2	100705081	100705204	NM_213645	100700124	100790123	3D	WARS	7453	hsa00970
chr14	100705102	100705102	ZBTB33_HEPG2	100705081	100705204	NM_173701	100700124	100790123	3D	WARS	7453	hsa00970
chr14	100705102	100705102	ZBTB33_HEPG2	100705081	100705204	NM_004184	100700124	100790123	3D	WARS	7453	hsa00970
