Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	36789545	36789545	chr1	36788313	36790064	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr1	40426921	40426921	chr1	40425404	40427227	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr1	89546802	89546802	chr1	89546304	89547575	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr1	113248364	113248364	chr1	113246754	113250894	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr1	183188061	183188061	chr1	183187463	183189244	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr1	207631204	207631204	chr1	207626892	207631405	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr1	224972013	224972013	chr1	224969383	224973002	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr1	234348401	234348401	chr1	234348048	234351189	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr2	74847454	74847454	chr2	74845108	74848034	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr2	102315056	102315056	chr2	102312924	102315687	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr3	23204023	23204023	chr3	23202355	23205459	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr3	44380487	44380487	chr3	44378453	44382280	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr3	52968725	52968725	chr3	52967972	52969620	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr3	122388463	122388463	chr3	122387872	122389053	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr3	196019679	196019679	chr3	196017940	196020087	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr4	54465286	54465286	chr4	54464560	54466907	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr4	88313178	88313178	chr4	88310576	88313766	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr4	170580817	170580817	chr4	170579486	170582544	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr5	137797379	137797379	chr5	137794768	137797880	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr5	159880355	159880355	chr5	159878852	159883379	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr5	167913602	167913602	chr5	167911814	167914762	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr5	173738576	173738576	chr5	173738319	173739690	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr6	6712344	6712344	chr6	6711435	6714278	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr6	20408918	20408918	chr6	20408716	20410906	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr6	22322003	22322003	chr6	22321407	22323726	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr6	26103176	26103176	chr6	26102031	26106396	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr6	84140037	84140037	chr6	84139173	84142268	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr6	130069290	130069290	chr6	130068302	130074371	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr6	130071840	130071840	chr6	130068302	130074371	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr6	130073290	130073290	chr6	130068302	130074371	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr6	160210060	160210060	chr6	160209815	160212802	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr6	164368086	164368086	chr6	164366624	164368398	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr6	170862335	170862335	chr6	170861449	170864316	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr7	20331712	20331712	chr7	20329906	20332408	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr7	77044447	77044447	chr7	77041952	77046917	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr7	130009352	130009352	chr7	130008298	130010367	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr7	150130751	150130751	chr7	150128689	150133501	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr8	26437075	26437075	chr8	26432607	26437524	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr8	94944608	94944608	chr8	94944349	94945588	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr8	104089617	104089617	chr8	104089514	104093470	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr8	128377467	128377467	chr8	128377349	128379734	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr8	128568855	128568855	chr8	128568073	128570179	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr8	135612744	135612744	chr8	135611997	135615725	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr9	6184164	6184164	chr9	6183653	6187645	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr9	115983539	115983539	chr9	115981873	115985829	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr10	13341377	13341377	chr10	13340954	13342761	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr10	61595109	61595109	chr10	61594165	61596031	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr10	63524978	63524978	chr10	63524768	63526170	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr10	73820000	73820000	chr10	73818784	73820198	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr10	73832858	73832858	chr10	73832329	73836205	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr10	97123884	97123884	chr10	97122177	97124065	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr11	9648720	9648720	chr11	9648093	9649292	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr11	35109674	35109674	chr11	35108385	35110604	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr11	35161075	35161075	chr11	35159843	35162166	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr11	47600437	47600437	chr11	47599658	47601922	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
chr11	47907640	47907640	chr11	47906907	47908039	H2AZ	GM12878	wgEncodeBroadHistoneGm12878H2azStdAln.narrowPeak
