Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	42757156	42757156	chr1	42755600	42758647	H4K20ME1	HEPG2	wgEncodeBroadHistoneHepg2H4k20me1StdAln.narrowPeak
chr1	97198330	97198330	chr1	97192151	97198841	H4K20ME1	HEPG2	wgEncodeBroadHistoneHepg2H4k20me1StdAln.narrowPeak
chr2	73329871	73329871	chr2	73316116	73331466	H4K20ME1	HEPG2	wgEncodeBroadHistoneHepg2H4k20me1StdAln.narrowPeak
chr2	73330953	73330953	chr2	73316116	73331466	H4K20ME1	HEPG2	wgEncodeBroadHistoneHepg2H4k20me1StdAln.narrowPeak
chr2	102315056	102315056	chr2	102314783	102319969	H4K20ME1	HEPG2	wgEncodeBroadHistoneHepg2H4k20me1StdAln.narrowPeak
chr2	128264245	128264245	chr2	128263662	128275960	H4K20ME1	HEPG2	wgEncodeBroadHistoneHepg2H4k20me1StdAln.narrowPeak
chr2	153572155	153572155	chr2	153548155	153574719	H4K20ME1	HEPG2	wgEncodeBroadHistoneHepg2H4k20me1StdAln.narrowPeak
chr2	238635136	238635136	chr2	238630187	238635572	H4K20ME1	HEPG2	wgEncodeBroadHistoneHepg2H4k20me1StdAln.narrowPeak
chr3	172087897	172087897	chr3	172086058	172092240	H4K20ME1	HEPG2	wgEncodeBroadHistoneHepg2H4k20me1StdAln.narrowPeak
chr5	137802403	137802403	chr5	137801355	137804050	H4K20ME1	HEPG2	wgEncodeBroadHistoneHepg2H4k20me1StdAln.narrowPeak
chr5	167913602	167913602	chr5	167913401	167914086	H4K20ME1	HEPG2	wgEncodeBroadHistoneHepg2H4k20me1StdAln.narrowPeak
chr5	167976668	167976668	chr5	167975788	167980647	H4K20ME1	HEPG2	wgEncodeBroadHistoneHepg2H4k20me1StdAln.narrowPeak
chr6	16332729	16332729	chr6	16329913	16334792	H4K20ME1	HEPG2	wgEncodeBroadHistoneHepg2H4k20me1StdAln.narrowPeak
chr6	20408918	20408918	chr6	20407489	20413562	H4K20ME1	HEPG2	wgEncodeBroadHistoneHepg2H4k20me1StdAln.narrowPeak
chr6	52436647	52436647	chr6	52421830	52441827	H4K20ME1	HEPG2	wgEncodeBroadHistoneHepg2H4k20me1StdAln.narrowPeak
chr6	160210060	160210060	chr6	160207870	160210788	H4K20ME1	HEPG2	wgEncodeBroadHistoneHepg2H4k20me1StdAln.narrowPeak
chr6	170847180	170847180	chr6	170843798	170849561	H4K20ME1	HEPG2	wgEncodeBroadHistoneHepg2H4k20me1StdAln.narrowPeak
chr6	170862335	170862335	chr6	170849645	170862678	H4K20ME1	HEPG2	wgEncodeBroadHistoneHepg2H4k20me1StdAln.narrowPeak
chr7	130704374	130704374	chr7	130702046	130704941	H4K20ME1	HEPG2	wgEncodeBroadHistoneHepg2H4k20me1StdAln.narrowPeak
chr10	11582343	11582343	chr10	11580633	11583079	H4K20ME1	HEPG2	wgEncodeBroadHistoneHepg2H4k20me1StdAln.narrowPeak
chr10	114715688	114715688	chr10	114712532	114725810	H4K20ME1	HEPG2	wgEncodeBroadHistoneHepg2H4k20me1StdAln.narrowPeak
chr10	128602100	128602100	chr10	128601077	128605138	H4K20ME1	HEPG2	wgEncodeBroadHistoneHepg2H4k20me1StdAln.narrowPeak
chr10	128604612	128604612	chr10	128601077	128605138	H4K20ME1	HEPG2	wgEncodeBroadHistoneHepg2H4k20me1StdAln.narrowPeak
chr11	2712285	2712285	chr11	2676923	2721189	H4K20ME1	HEPG2	wgEncodeBroadHistoneHepg2H4k20me1StdAln.narrowPeak
chr11	2715531	2715531	chr11	2676923	2721189	H4K20ME1	HEPG2	wgEncodeBroadHistoneHepg2H4k20me1StdAln.narrowPeak
chr12	124983615	124983615	chr12	124980182	124984045	H4K20ME1	HEPG2	wgEncodeBroadHistoneHepg2H4k20me1StdAln.narrowPeak
