Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727619	7727935	CTCF	AG09319	spp.optimal.wgEncodeUwTfbsAg09319CtcfStdAlnRep0_VS_wgEncodeUwTfbsAg09319InputStdAlnRep1.narrowPeak
chr3	52968725	52968725	chr3	52968715	52968966	CTCF	AG09319	spp.optimal.wgEncodeUwTfbsAg09319CtcfStdAlnRep0_VS_wgEncodeUwTfbsAg09319InputStdAlnRep1.narrowPeak
chr4	3454453	3454453	chr4	3454248	3454511	CTCF	AG09319	spp.optimal.wgEncodeUwTfbsAg09319CtcfStdAlnRep0_VS_wgEncodeUwTfbsAg09319InputStdAlnRep1.narrowPeak
chr6	130073290	130073290	chr6	130073069	130073297	CTCF	AG09319	spp.optimal.wgEncodeUwTfbsAg09319CtcfStdAlnRep0_VS_wgEncodeUwTfbsAg09319InputStdAlnRep1.narrowPeak
chr6	136359445	136359445	chr6	136359440	136359629	CTCF	AG09319	spp.optimal.wgEncodeUwTfbsAg09319CtcfStdAlnRep0_VS_wgEncodeUwTfbsAg09319InputStdAlnRep1.narrowPeak
chr11	128729844	128729844	chr11	128729823	128730041	CTCF	AG09319	spp.optimal.wgEncodeUwTfbsAg09319CtcfStdAlnRep0_VS_wgEncodeUwTfbsAg09319InputStdAlnRep1.narrowPeak
chr12	49390676	49390676	chr12	49390575	49390813	CTCF	AG09319	spp.optimal.wgEncodeUwTfbsAg09319CtcfStdAlnRep0_VS_wgEncodeUwTfbsAg09319InputStdAlnRep1.narrowPeak
chr12	58299249	58299249	chr12	58299163	58299458	CTCF	AG09319	spp.optimal.wgEncodeUwTfbsAg09319CtcfStdAlnRep0_VS_wgEncodeUwTfbsAg09319InputStdAlnRep1.narrowPeak
chr17	959514	959514	chr17	959358	959588	CTCF	AG09319	spp.optimal.wgEncodeUwTfbsAg09319CtcfStdAlnRep0_VS_wgEncodeUwTfbsAg09319InputStdAlnRep1.narrowPeak
chr17	74519373	74519373	chr17	74519200	74519494	CTCF	AG09319	spp.optimal.wgEncodeUwTfbsAg09319CtcfStdAlnRep0_VS_wgEncodeUwTfbsAg09319InputStdAlnRep1.narrowPeak
chr19	495721	495721	chr19	495717	495929	CTCF	AG09319	spp.optimal.wgEncodeUwTfbsAg09319CtcfStdAlnRep0_VS_wgEncodeUwTfbsAg09319InputStdAlnRep1.narrowPeak
chr19	4941455	4941455	chr19	4941313	4941576	CTCF	AG09319	spp.optimal.wgEncodeUwTfbsAg09319CtcfStdAlnRep0_VS_wgEncodeUwTfbsAg09319InputStdAlnRep1.narrowPeak
