Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr6	170862335	170862335	chr6	170862271	170862532	ELF1SC631	K562	spp.optimal.wgEncodeHaibTfbsK562Elf1sc631V0416102AlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr7	29284272	29284272	chr7	29284046	29284295	ELF1SC631	K562	spp.optimal.wgEncodeHaibTfbsK562Elf1sc631V0416102AlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr7	130009352	130009352	chr7	130009267	130009516	ELF1SC631	K562	spp.optimal.wgEncodeHaibTfbsK562Elf1sc631V0416102AlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr9	115983539	115983539	chr9	115983404	115983653	ELF1SC631	K562	spp.optimal.wgEncodeHaibTfbsK562Elf1sc631V0416102AlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr11	47600437	47600437	chr11	47600418	47600677	ELF1SC631	K562	spp.optimal.wgEncodeHaibTfbsK562Elf1sc631V0416102AlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr11	128729844	128729844	chr11	128729808	128730057	ELF1SC631	K562	spp.optimal.wgEncodeHaibTfbsK562Elf1sc631V0416102AlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr19	4769739	4769739	chr19	4769537	4769786	ELF1SC631	K562	spp.optimal.wgEncodeHaibTfbsK562Elf1sc631V0416102AlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr20	48407126	48407126	chr20	48406909	48407158	ELF1SC631	K562	spp.optimal.wgEncodeHaibTfbsK562Elf1sc631V0416102AlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr22	18560569	18560569	chr22	18560454	18560827	ELF1SC631	K562	spp.optimal.wgEncodeHaibTfbsK562Elf1sc631V0416102AlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr22	38158740	38158740	chr22	38158655	38158788	ELF1SC631	K562	spp.optimal.wgEncodeHaibTfbsK562Elf1sc631V0416102AlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
