Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727457	7728062	HESCT0	idrPool.hESCT0-DS11909-DS13133.z_OV_hESCT0-DS11909.z_VS_hESCT0-DS13133.z.npk2.narrowPeak
chr1	36789545	36789545	chr1	36789028	36789657	HESCT0	idrPool.hESCT0-DS11909-DS13133.z_OV_hESCT0-DS11909.z_VS_hESCT0-DS13133.z.npk2.narrowPeak
chr1	39059002	39059002	chr1	39058900	39059049	HESCT0	hESCT0-DS11909.peaks.fdr0.01.hg19.bed
chr1	39059002	39059002	chr1	39058940	39059089	HESCT0	hESCT0-DS13133.peaks.fdr0.01.hg19.bed
chr1	63225911	63225911	chr1	63225840	63225989	HESCT0	hESCT0-DS11909.peaks.fdr0.01.hg19.bed
chr1	63225911	63225911	chr1	63225681	63226090	HESCT0	idrPool.hESCT0-DS11909-DS13133.z_OV_hESCT0-DS11909.z_VS_hESCT0-DS13133.z.npk2.narrowPeak
chr1	63225911	63225911	chr1	63225820	63225969	HESCT0	hESCT0-DS13133.peaks.fdr0.01.hg19.bed
chr1	165186489	165186489	chr1	165186440	165186589	HESCT0	hESCT0-DS13133.peaks.fdr0.01.hg19.bed
chr1	183188061	183188061	chr1	183187980	183188565	HESCT0	idrPool.hESCT0-DS11909-DS13133.z_OV_hESCT0-DS11909.z_VS_hESCT0-DS13133.z.npk2.narrowPeak
chr1	209211967	209211967	chr1	209211820	209211969	HESCT0	hESCT0-DS11909.peaks.fdr0.01.hg19.bed
chr1	223960535	223960535	chr1	223960520	223960669	HESCT0	hESCT0-DS13133.peaks.fdr0.01.hg19.bed
chr1	223960535	223960535	chr1	223960520	223960669	HESCT0	hESCT0-DS11909.peaks.fdr0.01.hg19.bed
chr2	102315056	102315056	chr2	102314940	102315089	HESCT0	hESCT0-DS11909.peaks.fdr0.01.hg19.bed
chr3	3749435	3749435	chr3	3749399	3749837	HESCT0	idrPool.hESCT0-DS11909-DS13133.z_OV_hESCT0-DS11909.z_VS_hESCT0-DS13133.z.npk2.narrowPeak
chr3	12857492	12857492	chr3	12857360	12857509	HESCT0	hESCT0-DS11909.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352820	99352969	HESCT0	hESCT0-DS11909.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352800	99352949	HESCT0	hESCT0-DS13133.peaks.fdr0.01.hg19.bed
chr4	7529366	7529366	chr4	7529240	7529389	HESCT0	hESCT0-DS13133.peaks.fdr0.01.hg19.bed
chr4	7529366	7529366	chr4	7529260	7529409	HESCT0	hESCT0-DS11909.peaks.fdr0.01.hg19.bed
