Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727720	7727869	HMVEC_DLYAD	HMVEC_dLyAd-DS13256.peaks.fdr0.01.hg19.bed
chr1	7727853	7727853	chr1	7727720	7727869	HMVEC_DLYAD	HMVEC_dLyAd-DS13261.peaks.fdr0.01.hg19.bed
chr2	102315056	102315056	chr2	102314920	102315069	HMVEC_DLYAD	HMVEC_dLyAd-DS13261.peaks.fdr0.01.hg19.bed
chr2	102315056	102315056	chr2	102314920	102315069	HMVEC_DLYAD	HMVEC_dLyAd-DS13256.peaks.fdr0.01.hg19.bed
chr3	37952593	37952593	chr3	37952560	37952709	HMVEC_DLYAD	HMVEC_dLyAd-DS13256.peaks.fdr0.01.hg19.bed
chr3	37962689	37962689	chr3	37962640	37962789	HMVEC_DLYAD	HMVEC_dLyAd-DS13256.peaks.fdr0.01.hg19.bed
chr3	37969438	37969438	chr3	37969400	37969549	HMVEC_DLYAD	HMVEC_dLyAd-DS13256.peaks.fdr0.01.hg19.bed
chr3	37969438	37969438	chr3	37969400	37969549	HMVEC_DLYAD	HMVEC_dLyAd-DS13261.peaks.fdr0.01.hg19.bed
chr3	52968725	52968725	chr3	52968720	52968869	HMVEC_DLYAD	HMVEC_dLyAd-DS13256.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352840	99352989	HMVEC_DLYAD	HMVEC_dLyAd-DS13256.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352840	99352989	HMVEC_DLYAD	HMVEC_dLyAd-DS13261.peaks.fdr0.01.hg19.bed
chr4	158634768	158634768	chr4	158634620	158634769	HMVEC_DLYAD	HMVEC_dLyAd-DS13256.peaks.fdr0.01.hg19.bed
chr4	158634768	158634768	chr4	158634620	158634769	HMVEC_DLYAD	HMVEC_dLyAd-DS13261.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767160	70767309	HMVEC_DLYAD	HMVEC_dLyAd-DS13261.peaks.fdr0.01.hg19.bed
chr5	137805651	137805651	chr5	137805400	137805689	HMVEC_DLYAD	HMVEC_dLyAd-DS13261.peaks.fdr0.01.hg19.bed
chr5	137805651	137805651	chr5	137805400	137805689	HMVEC_DLYAD	HMVEC_dLyAd-DS13256.peaks.fdr0.01.hg19.bed
chr7	29447268	29447268	chr7	29447240	29447389	HMVEC_DLYAD	HMVEC_dLyAd-DS13256.peaks.fdr0.01.hg19.bed
chr7	29447268	29447268	chr7	29447260	29447409	HMVEC_DLYAD	HMVEC_dLyAd-DS13261.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009300	130009449	HMVEC_DLYAD	HMVEC_dLyAd-DS13256.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009320	130009469	HMVEC_DLYAD	HMVEC_dLyAd-DS13261.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356320	119356469	HMVEC_DLYAD	HMVEC_dLyAd-DS13256.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356340	119356489	HMVEC_DLYAD	HMVEC_dLyAd-DS13261.peaks.fdr0.01.hg19.bed
chr10	5621627	5621627	chr10	5621480	5621629	HMVEC_DLYAD	HMVEC_dLyAd-DS13256.peaks.fdr0.01.hg19.bed
chr10	5706021	5706021	chr10	5705940	5706089	HMVEC_DLYAD	HMVEC_dLyAd-DS13261.peaks.fdr0.01.hg19.bed
chr10	5706021	5706021	chr10	5706000	5706149	HMVEC_DLYAD	HMVEC_dLyAd-DS13256.peaks.fdr0.01.hg19.bed
chr10	111794553	111794553	chr10	111794440	111794589	HMVEC_DLYAD	HMVEC_dLyAd-DS13256.peaks.fdr0.01.hg19.bed
chr10	111794553	111794553	chr10	111794440	111794589	HMVEC_DLYAD	HMVEC_dLyAd-DS13261.peaks.fdr0.01.hg19.bed
chr10	129041540	129041540	chr10	129041480	129041629	HMVEC_DLYAD	HMVEC_dLyAd-DS13261.peaks.fdr0.01.hg19.bed
chr10	129041540	129041540	chr10	129041520	129041669	HMVEC_DLYAD	HMVEC_dLyAd-DS13256.peaks.fdr0.01.hg19.bed
chr11	2712285	2712285	chr11	2712160	2712309	HMVEC_DLYAD	HMVEC_dLyAd-DS13261.peaks.fdr0.01.hg19.bed
chr11	12290811	12290811	chr11	12290680	12290829	HMVEC_DLYAD	HMVEC_dLyAd-DS13256.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729840	128729989	HMVEC_DLYAD	HMVEC_dLyAd-DS13256.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390600	49390749	HMVEC_DLYAD	HMVEC_dLyAd-DS13256.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390620	49390769	HMVEC_DLYAD	HMVEC_dLyAd-DS13261.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299200	58299349	HMVEC_DLYAD	HMVEC_dLyAd-DS13261.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299220	58299369	HMVEC_DLYAD	HMVEC_dLyAd-DS13256.peaks.fdr0.01.hg19.bed
chr14	52250689	52250689	chr14	52250640	52250789	HMVEC_DLYAD	HMVEC_dLyAd-DS13261.peaks.fdr0.01.hg19.bed
chr14	52250689	52250689	chr14	52250680	52250829	HMVEC_DLYAD	HMVEC_dLyAd-DS13256.peaks.fdr0.01.hg19.bed
chr16	19196303	19196303	chr16	19196160	19196309	HMVEC_DLYAD	HMVEC_dLyAd-DS13261.peaks.fdr0.01.hg19.bed
chr16	19196303	19196303	chr16	19196220	19196369	HMVEC_DLYAD	HMVEC_dLyAd-DS13256.peaks.fdr0.01.hg19.bed
chr17	959514	959514	chr17	959380	959529	HMVEC_DLYAD	HMVEC_dLyAd-DS13261.peaks.fdr0.01.hg19.bed
