Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr17	41046439	41046439	GR_A549	41046313	41046485	NM_005789	41005777	41095776	3D	PSME3	10197	hsa03050
chr17	41046439	41046439	GR_A549	41046313	41046485	NM_176863	41005777	41095776	3D	PSME3	10197	hsa03050
chr17	41046439	41046439	GR_A549	41046313	41046485	NM_001267045	41005777	41095776	3D	PSME3	10197	hsa03050
chr17	41046439	41046439	GR_A549	41046313	41046485	NR_049772	41005777	41095776	3D	PSME3	10197	hsa03050
chr17	41046439	41046439	GR_A549	41046278	41046533	NM_005789	41005777	41095776	3D	PSME3	10197	hsa03050
chr17	41046439	41046439	GR_A549	41046278	41046533	NM_176863	41005777	41095776	3D	PSME3	10197	hsa03050
chr17	41046439	41046439	GR_A549	41046278	41046533	NM_001267045	41005777	41095776	3D	PSME3	10197	hsa03050
chr17	41046439	41046439	GR_A549	41046278	41046533	NR_049772	41005777	41095776	3D	PSME3	10197	hsa03050
chr17	41046439	41046439	GR_A549	41046292	41046541	NM_005789	41005777	41095776	3D	PSME3	10197	hsa03050
chr17	41046439	41046439	GR_A549	41046292	41046541	NM_176863	41005777	41095776	3D	PSME3	10197	hsa03050
chr17	41046439	41046439	GR_A549	41046292	41046541	NM_001267045	41005777	41095776	3D	PSME3	10197	hsa03050
chr17	41046439	41046439	GR_A549	41046292	41046541	NR_049772	41005777	41095776	3D	PSME3	10197	hsa03050
