Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr9	115983539	115983539	TAF1_H1HESC	115983374	115983643	NM_001244926	115937913	116027912	5D	PRPF4	9128	hsa03040
chr9	115983539	115983539	TAF1_H1HESC	115983374	115983643	NM_004697	115937913	116027912	5D	PRPF4	9128	hsa03040
chr9	115983539	115983539	TAF1_H1HESC	115983374	115983643	NM_001244926	115937913	116027912	5D	PRPF4	9128	hsa03040
chr9	115983539	115983539	TAF1_H1HESC	115983374	115983643	NM_004697	115937913	116027912	5D	PRPF4	9128	hsa03040
chr9	115983539	115983539	TAF1_HEPG2	115983403	115983666	NM_001244926	115937913	116027912	5D	PRPF4	9128	hsa03040
chr9	115983539	115983539	TAF1_HEPG2	115983403	115983666	NM_004697	115937913	116027912	5D	PRPF4	9128	hsa03040
chr9	115983539	115983539	TAF1_K562	115983437	115983686	NM_001244926	115937913	116027912	5D	PRPF4	9128	hsa03040
chr9	115983539	115983539	TAF1_K562	115983437	115983686	NM_004697	115937913	116027912	5D	PRPF4	9128	hsa03040
chr19	49621963	49621963	TAF1_HEPG2	49621843	49622106	NM_003089	49621870	49711869	3D	SNRNP70	6625	hsa03040
chr19	49621963	49621963	TAF1_GM12891	49621852	49622091	NM_003089	49621870	49711869	3D	SNRNP70	6625	hsa03040
chr19	49621963	49621963	TAF1_H1HESC	49621924	49622048	NM_003089	49621870	49711869	3D	SNRNP70	6625	hsa03040
chr19	49621963	49621963	TAF1_H1HESC	49621924	49622048	NM_003089	49621870	49711869	3D	SNRNP70	6625	hsa03040
