Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	36789545	36789545	chr1	36788218	36790137	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr1	40426921	40426921	chr1	40425362	40426948	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr1	113248364	113248364	chr1	113245746	113250963	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr2	85514931	85514931	chr2	85514760	85516581	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr2	102315056	102315056	chr2	102312661	102317432	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr2	153572155	153572155	chr2	153571255	153577325	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr3	19931169	19931169	chr3	19930251	19931485	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr3	44380487	44380487	chr3	44378757	44382541	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr4	88313178	88313178	chr4	88311063	88313373	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr4	170580817	170580817	chr4	170579564	170583737	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr5	137802403	137802403	chr5	137798897	137804615	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr5	167913602	167913602	chr5	167912860	167915302	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr5	173738576	173738576	chr5	173738413	173739340	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr6	26103176	26103176	chr6	26103080	26105140	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr6	84140037	84140037	chr6	84138856	84141821	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr6	160210060	160210060	chr6	160207549	160214079	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr6	170862335	170862335	chr6	170860210	170865516	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr7	77044447	77044447	chr7	77044326	77046764	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr8	26437075	26437075	chr8	26433273	26437725	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr9	115983539	115983539	chr9	115981420	115985689	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr10	13341377	13341377	chr10	13340800	13342939	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr10	114715688	114715688	chr10	114709109	114716532	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr11	35161075	35161075	chr11	35159543	35168284	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr11	47600437	47600437	chr11	47599129	47602658	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr11	118231583	118231583	chr11	118229495	118231931	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr12	49390676	49390676	chr12	49390584	49391472	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr13	111365588	111365588	chr13	111363274	111370852	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr15	90895957	90895957	chr15	90894565	90896624	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr16	637211	637211	chr16	637062	640063	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr16	15980246	15980246	chr16	15980174	15983107	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr16	57771125	57771125	chr16	57768008	57771342	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr17	13956666	13956666	chr17	13956235	13956989	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr19	1847697	1847697	chr19	1846287	1849019	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr19	2238666	2238666	chr19	2234711	2241958	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr19	4585170	4585170	chr19	4584074	4585244	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr19	49621963	49621963	chr19	49621177	49624038	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr19	53634926	53634926	chr19	53634852	53636672	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr20	60379459	60379459	chr20	60378474	60379461	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr22	18560569	18560569	chr22	18558831	18562856	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
chr22	38144617	38144617	chr22	38141018	38145076	H3K4ME3	HEE	wgEncodeUwHistoneHeeH3k4me3StdAln.narrowPeak
